Block,Location,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
3,144,BB_119,3,,,DNE,,
3,145,BB_083,4,5.7,,complete,y,
3,145,BB_216,6,,,DNE,,
3,146,BB_039,6,,,DNE,,
3,146,BB_102,2,54.8,,Complete,y,
3,146,BB_102,7,,,DNE,,
3,146,BB_102,8,,,DNE,,
3,146,BB_116,4,,,DNE,,
3,146,BB_158,8,,,DNE,,
3,147,BB_025,4,,,DNE,,
3,147,BB_111,5,,,DNE,,
3,147,BB_187,7,,,DNE,,
3,148,BB_029,8,30.37,,complete,y,
3,149,BB_056,8,12.01,,complete,y,
3,149,BB_138,5,27.15,,complete,y,
3,149,BB_139,7,18.7,,complete,n,
3,151,BB_008,7,16.14,,complete,y,
3,151,BB_051,2,,,DNE,,
3,151,BB_051,3,16.28,,complete,y,
3,151,BB_211,2,,,DNE,,
3,152,BB_007,1,,,DNE,,
3,152,BB_043,5,23.88,,complete,y,
3,152,BB_114,8,,,DNE,,
3,153,BB_145,1,30.42,,complete,y,
3,153,BB_148,8,,,DNE,,
3,153,BB_179,7,9.02,,complete,y,
3,154,BB_095,2,,,DNE,,
3,154,BB_166,8,,,DNE,,
3,154,BB_205 A,5,21.81,,complete,y,
3,155,BB_059,6,11.54,,complete,y,
3,155,BB_059,7,,,incomplete,n,
3,155,BB_059,8,20.9,,complete,n,
3,155,BB_147,2,13.76,,Complete,y,
3,155,BB_157,7,25.3,,Complete,y,
3,156,BB_009,7,50.13,,complete,y,
