Transect,Recipient,Fitness Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
7,AC_113,8,,,DNE,,
7,AC_120,7,,,Incomplete,y,
7,AC_122,3,,,Incomplete,y,
7,AC_128,3,26.13,,complete,y,
7,AC_130,7,,,DNE,,
7,AC_143,4,,,DNE,,
7,AC_160,8,91.38,,complete,y,
7,AC_171,10,53.45,,complete,y,
7,AC_172,3,,,DNE,,
7,AC_178,4,,,Incomplete,y,
7,AC_186,9,10.61,,complete,y,
7,AC_190,1,29.01,,complete,n,
7,AC_190,4,133.21,,complete,n,
7,AC_190,8,43.88,,complete,y,
7,AC_193,5,28.66,,complete,y,
7,AC_201,8,24.72,,complete,y,
7,AC_203,5,4.09,,complete,y,
7,AC_215,2,,,incomplete,y,
7,AC_217,2,24.97,,complete,n,
7,AC_217,9,64.04,,complete,n,
7,AC_217,10,14.85,,complete,y,
8,AC_005,6,12.63,,complete,y,
8,AC_010,8,8.68,,complete,y,
8,AC_014,5,177.82,,complete,y,
8,AC_015,3,6.6,,complete,y,
8,AC_016,6,18.42,,complete,y,
8,AC_051,7,,,incomplete,y,
8,AC_052,9,10.17,,complete,y,
8,AC_056,6,,,Incomplete,y,
8,AC_066,1,8.77,,complete,y,
8,AC_070,2,11.98,,complete,n,
8,AC_070,4,6.46,,complete,y,
8,AC_070,5,8.93,,complete,n,
8,AC_082,6,3.98,,complete,n,
8,AC_082,7,10.06,,complete,n,
8,AC_082,8,4.03,,complete,y,
8,AC_086,1,101.87,,complete,y,
8,AC_088,2,15.6,,complete,y,
8,AC_092,2,37.29,,complete,y,
8,AC_114,8,44.25,,complete,y,
8,AC_131,7,895.47,,complete; double-checked and correct (DEG),y,
8,AC_133,3,13.74,,complete,y,
8,AC_136,3,8.33,,complete,y,
8,AC_144,2,,,DNE,,
8,AC_148,5,1.91,,complete,y,
8,AC_154,10,16.85,,complete,y,
8,AC_158,5,34.85,,complete,y,
8,AC_159,7,,,DNE,,
8,AC_179,1,18.24,,complete,y,
8,AC_181,10,11.24,,complete,y,
8,AC_182,3,24.72,,complete,y,
8,AC_185,6,86.25,,complete,y,
8,AC_191,,,,DNE,,
8,AC_192,1,6.01,,complete,y,
8,AC_195,5,2.58,,complete,y,
8,AC_199,4,25.13,,complete,y,
8,AC_200,7,24.85,,complete,y,
8,AC_206,7,8.71,,complete,y,
8,AC_208,2,5.85,,complete,y,
8,AC_208,5,,,DNE,,
8,AC_208,6,,,incomplete,n,
8,AC_211,7,11.67,,complete,y,
8,AC_213,4,24.38,,complete,y,
9,AC_011,2,9.05,,complete,y,
9,AC_030,9,22.7,,complete,y,
9,AC_034,3,57.47,,complete,n,
9,AC_034,7,33.07,,complete,y,
9,AC_034,9,9.09,,complete,n,
9,AC_055,3,,,Incomplete,y,
9,AC_055,5,36.79,,complete,n,
9,AC_055,6,,,Incomplete,n,
9,AC_064,2,9.58,,complete,y,
9,AC_075,6,6.59,,complete,y,
9,AC_083,7,2.12,,complete,y,
9,AC_089,2,16.37,,complete,y,
9,AC_090,10,15.34,,complete,y,
9,AC_095,10,28.44,,complete,y,
9,AC_096,10,9.33,,complete,y,
9,AC_099,3,6.3,,complete,n,
9,AC_099,6,,,incomplete,n,
9,AC_099,7,10.84,,complete,y,
9,AC_109,1,15.09,,complete,y,
9,AC_109,5,22.56,,complete,n,
9,AC_109,8,23.51,,complete,n,
9,AC_110,10,77.28,,complete,y,
9,AC_115,1,25.41,,complete,y,
9,AC_118,2,9.84,,complete,y,
9,AC_119,6,,,Incomplete,y,
9,AC_123,10,18.94,,complete,y,
9,AC_142,10,4.84,,complete,y,
9,AC_147,4,15.7,,complete,y,
9,AC_151,1,,,DNE,,
9,AC_152,6,,,Incomplete,y,
9,AC_153,9,12.91,,complete,y,
9,AC_155,5,77.25,,complete,y,
9,AC_168,9,,,Incomplete,y,
9,AC_187,2,,,DNE,,
9,AC_187,3,,,DNE,,
9,AC_187,6,34.21,,complete,y,
9,AC_188,7,3.25,,complete,y,
9,AC_189,2,,,incomplete,n,
9,AC_189,4,,,incomplete,y,
9,AC_189,9,,,incomplete,n,
9,AC_197,5,52.84,,complete,n,
9,AC_197,8,90.13,,complete,y,
9,AC_197,10,22.44,,complete,n,
9,AC_204,3,26.81,,complete,n,
9,AC_204,6,28.69,,complete,y,
9,AC_204,10,,,DNE,,
9,AC_205,1,17.82,,complete,y,
9,AC_212,10,8.95,,complete,y,
9,AC_216,1,,,DNE,,
9,AC_216,3,9.45,,complete,y,
9,AC_216,8,,,incomplete,n,
9,AC_218,2,22.86,,complete,y,
9,AC_218,8,,,DNE,,
9,AC_218,10,74.32,,complete,n,
