Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes,Chosen for Pulverization? (y/n)
9,BO_131,8,18.36,,complete,y
9,BO_135,7,,,"EXCLUDE. lost, not found for pulverization; had weight for BO_053, most likely DNE",
9,BO_143,3,,,incomplete,y
9,BO_146,5,14.71,,complete,y
9,BO_148,8,,,DNE,
9,BO_154,2,15.79,,complete,y
9,BO_155,6,29.27,,complete,y
9,BO_174,3,,,incomplete,y
9,BO_199,2,,,incomplete,n
9,BO_199,4,17.52,,complete,n
9,BO_199,7,32.99,,complete,y
9,BO_053,7,77.85,,complete,y
10,BO_018,4,,,incomplete,y
10,BO_027,6,,,DNE,
10,BO_028,1,,,incomplete,y
10,BO_031,5,5.31,,complete,y
10,BO_043,4,,,incomplete,n
10,BO_043,4,53.14,,complete,y
10,BO_044,6,9.2,,complete,y
10,BO_045,6,112.4,,complete,y
10,BO_052,2,11.66,,complete,y
10,BO_054,1,28.53,,complete,y
10,BO_055,4,,,DNE,n
10,BO_055,5,,,incomplete,y
10,BO_056,7,58.38,,complete,y
10,BO_063,7,8.44,,complete,y
10,BO_063,8,,,DNE,n
10,BO_078,6,,,DNE,
10,BO_080,1,13.97,,complete,y
10,BO_080,3,30.67,,complete,n
10,BO_080,4,67.4,,complete,n
10,BO_085,2,,,DNE,
10,BO_089,2,,,DNE,
10,BO_091,6,,,incomplete,y
10,BO_098,1,,,incomplete,y
10,BO_121,8,,,DNE,
10,BO_126,2,21.28,,complete,y
10,BO_126,4,,,DNE,
10,BO_126,6,8.57,,complete,n
10,BO_127,2,17.92,,complete,y
10,BO_127,3,,,DNE,n
10,BO_127,7,,,DNE,
10,BO_140,4,,,DNE,
10,BO_142,1,25.7,,complete,y
10,BO_142,7,9.54,,complete,n
10,BO_142,8,,,incomplete,n
10,BO_145,2,42.66,,complete,y
10,BO_149,3,,,DNE,
10,BO_149,5,,,DNE,
10,BO_149,6,,,DNE,
10,BO_157,5,4.62,,complete,y
10,BO_161,6,,,DNE,
10,BO_169,5,31.94,,complete ,y
10,BO_171,3,14.36,,complete,y
10,BO_178,3,10.49,,complete,y
10,BO_184,5,4.04,,complete,y
10,BO_189,3,,,incomplete,
10,BO_189,4,157.48,,complete,y
10,BO_189,5,11.86,,complete,n
10,BO_195,4,43.78,,complete,y
10,BO_195,6,,,incomplete,n
10,BO_195,8,18.92,,complete,n
10,BO_198,8,28.19,,complete,y
10,BO_201,2,,,incomplete ,y
11,BO_012,5,60.85,,complete,y
