Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Tray Name,Well ID,Type of Material,Analysis,Enriched
9,BO_004,3,BO_004-009-03,142,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_021,7,BO_021-009-07,143,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_024,5,BO_024-009-05,144,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_053,7,BO_053-009-07,145,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_070,4,BO_070-009-04,146,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_072,3,BO_072-009-03,147,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_088,5,BO_088-009-05,148,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_090,2,BO_090-009-02,149,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_102,1,BO_102-009-01,150,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_106,6,BO_106-009-06,151,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_116,3,BO_116-009-03,152,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_123,7,BO_123-009-07,153,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_125,8,BO_125-009-08,154,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_131,8,BO_131-009-08,155,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_143,3,BO_143-009-03,156,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_146,5,BO_146-009-05,157,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_154,2,BO_154-009-02,158,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_155,6,BO_155-009-06,159,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_174,3,BO_174-009-03,160,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_199,7,BO_199-009-07,161,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
9,BO_053,7,BO_053-009-07,162,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_018,4,BO_018-010-04,163,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_028,1,BO_028-010-01,164,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_031,5,BO_031-010-05,165,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_043,4,BO_043-010-04,166,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_044,6,BO_044-010-06,167,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_045,6,BO_045-010-06,168,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_052,2,BO_052-010-02,169,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_054,1,BO_054-010-01,170,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_055,5,BO_055-010-05,171,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_056,7,BO_056-010-07,172,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_063,7,BO_063-010-07,173,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_080,1,BO_080-010-01,174,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_091,6,BO_091-010-06,175,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_098,1,BO_098-010-01,176,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_126,2,BO_126-010-02,177,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_127,2,BO_127-010-02,178,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_142,1,BO_142-010-01,179,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_145,2,BO_145-010-02,180,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_157,5,BO_157-010-05,181,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_169,5,BO_169-010-05,182,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_171,3,BO_171-010-03,183,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_178,3,BO_178-010-03,184,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_184,5,BO_184-010-05,185,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_189,4,BO_189-010-04,186,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_195,4,BO_195-010-04,187,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_198,8,BO_198-010-08,188,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
10,BO_201,2,BO_201-010-02,189,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
11,BO_012,5,BO_012-011-05,190,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
11,BO_013,6,BO_013-011-06,191,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
11,BO_015,6,BO_015-011-06,192,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
11,BO_022,5,BO_022-011-05,193,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_025,6,BO_025-011-06,194,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_032,1,BO_032-011-01,195,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_051,2,BO_051-011-02,196,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_061,1,BO_061-011-01,197,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_066,4,BO_066-011-04,198,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_069,6,BO_069-011-06,199,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_071,4,BO_071-011-04,200,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_082,1,BO_082-011-01,201,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_099,4,BO_099-011-04,202,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_104,4,BO_104-011-04,203,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_115,1,BO_115-011-01,204,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_117,8,BO_117-011-08,205,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_118,6,BO_118-011-06,206,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_130,5,BO_130-011-05,207,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_134,1,BO_134-011-01,208,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_137,7,BO_137-011-07,209,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_015,6,BO_015-011-06,210,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_150,2,BO_150-011-02,211,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_152,2,BO_152-011-02,212,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_159,7,BO_159-011-07,213,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_175,5,BO_175-011-05,214,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_180,1,BO_180-011-01,215,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_182,2,BO_182-011-02,216,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_200,6,BO_200-011-06,217,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_051,2,BO_051-011-02,218,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_061,1,BO_061-011-01,219,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_071,4,BO_071-011-04,220,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_082,1,BO_082-011-01,221,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
11,BO_099,4,BO_099-011-04,222,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_001,8,BO_001-012-08,223,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_008,1,BO_008-012-01,224,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_009,3,BO_009-012-03,225,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_020,6,BO_020-012-06,226,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_029,2,BO_029-012-02,227,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_048,4,BO_048-012-04,228,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_009,3,BO_009-012-03,229,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_114,8,BO_114-012-08,230,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_132,4,BO_132-012-04,231,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_151,2,BO_151-012-02,232,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_166,1,BO_166-012-01,233,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_167,6,BO_167-012-06,234,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_186,2,BO_186-012-02,235,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_190,1,BO_190-012-01,236,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
12,BO_191,4,BO_191-012-04,237,,,Nemo_2022_BO_3,,plant stem tissue,"13C, 15N",No
