Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
3,12,BO_008,6,29.456,brightmax: 217,,
3,12,BO_009,NA,,,,
3,12,BO_014,1,101.513,brightmax: 179,,
3,12,BO_020,4,27.531,brightmax: 193,,
3,12,BO_029,1,57.954,brightmax: 208,,
3,12,BO_048,6,83.235,brightmax: 205,,
3,12,BO_086,6,43.385,brightmax: 166,,
3,12,BO_096,8,89.365,brightmax: 219,,
3,12,BO_111,NA,,,,
3,12,BO_114,4,50.381,brightmax: 219,,
3,12,BO_132,2,47.037,brightmax: 191,,
3,12,BO_141,2,12.364,brightmax: 222,,
3,12,BO_144,8,72.767,brightmax: 218,,
3,12,BO_151,4,32.945,brightmax: 217,,
3,12,BO_153,1,31.903,brightmax: 210,,
3,12,BO_166,8,21.932,brightmax: 205,,
3,12,BO_167,8,32.909,brightmax: 230,,
3,12,BO_177,NA,,,,
3,12,BO_186,NA,,,,
3,12,BO_190,3,17.669,brightmax: 192,,
3,12,BO_191,3,18.826,brightmax: 211,,
W,W1,BO_004,NA,,,,
W,W1,BO_021,2,44.567,brightmax: 255 I had to outline the leaf like this -> (-Sage T),,
W,W1,BO_021,6,16.826,brightmax: 209,,
W,W1,BO_024,4,33.279,brightmax: 199,,
W,W1,BO_025,NA,,,,
W,W1,BO_048,NA,,,,
W,W1,BO_082,NA,,,,
W,W1,BO_086,NA,,,,
W,W1,BO_126,NA,,,,
W,W1,BO_130,3,37.807,brightmax: 177,,
W,W1,BO_137,NA,,,,
W,W1,BO_142,NA,,,,
W,W1,BO_151,NA,,,,
W,W1,BO_152,NA,,,,
W,W1,BO_166,NA,,,,
W,W1,BO_182,NA,,,,
W,W1,BO_189,NA,,,,
W,W1,BO_195,NA,,,,
W,W1,BO_199,NA,,,,
W,W2,BO_004,NA,,,,
W,W2,BO_021,NA,,,,
W,W2,BO_024,3,83.306,brightmax: 164,,
W,W2,BO_048,NA,,,,
W,W2,BO_080,NA,,,,
W,W2,BO_082,NA,,,,
W,W2,BO_126,NA,,,,
W,W2,BO_127,NA,,,,
W,W2,BO_130,NA,,,,
W,W2,BO_137,NA,,,,
W,W2,BO_142,NA,,,,
W,W2,BO_149,NA,,,,
W,W2,BO_151,NA,,,,
W,W2,BO_152,NA,,,,
W,W2,BO_166,3,59.828,brightmax: 155,,
W,W2,BO_182,7,17.601,brightmax: 182,,
W,W2,BO_189,NA,,,,
W,W2,BO_195,2,122.455,brightmax: 183,,
W,W2,BO_195,8,235.009,brightmax: 186,,
W,W2,BO_195,8,71.956,brightmax: 190,,
W,W2,BO_199,NA,,,,
