Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
159,5,16R,G2,AC_186,AC_048,5
160,5,17L,G1,AC_103,AC_144,1
160,5,17R,G1,AC_161,AC_213,4
161,5,18L,G1,AC_071,AC_115,3
161,5,18R,G2,AC_156,AC_090,2
162,5,19L,G2,AC_094,AC_109,4
162,5,19R,G1,AC_156,AC_090,4
163,5,20L,G2,AC_159,AC_192,4
163,5,20R,G2,AC_064,AC_205,2
164,5,21L,G1,AC_015,AC_097,5
164,5,21R,G2,AC_169,AC_182,1
165,5,22L,G1,AC_002,AC_160,4
165,5,22R,G2,AC_091,AC_204,3
166,5,23L,G1,AC_054,AC_155,4
166,5,23R,G2,AC_068,AC_056,
167,5,24L,G2,AC_159,AC_192,4
167,5,24R,G1,AC_054,AC_046,4
168,5,25L,G2,AC_096,AC_181,2
168,5,25R,G2,AC_045,AC_123,1
169,5,26L,G2,AC_071,AC_215,2
169,5,26R,G1,AC_125,AC_095,4
170,5,27L,G2,AC_168,AC_142,5
170,5,27R,G2,AC_165,AC_206,1
171,5,28L,G2,AC_169,AC_120,3
171,5,28R,G2,AC_179,AC_171,4
172,5,29L,G1,AC_170,AC_185,4
172,5,29R,G1,AC_007,AC_147,1
173,5,30L,G1,AC_107,AC_130,1
173,5,30R,G1,AC_216,AC_058,1
174,5,31L,G1,AC_168,AC_159,5
174,5,31R,G2,AC_061,AC_158,3
175,5,32L,G1,AC_186,AC_011,2
175,5,32R,G1,AC_039,AC_168,
176,5,33L,G1,AC_179,AC_114,2
176,5,33R,G1,AC_124,AC_100,5
177,5,34L,G1,AC_186,AC_153,3
177,5,34R,G2,AC_007,AC_081,3
178,5,35L,G2,AC_094,AC_216,3
178,5,35R,G2,AC_039,AC_168,3
179,5,36L,G1,AC_064,AC_205,1
179,5,36R,G1,AC_216,AC_034,3
180,6,1L,G1,AC_150,AC_083,5
180,6,1R,G2,AC_156,AC_016,2
181,6,2L,G1,AC_071,AC_115,5
181,6,2R,G2,AC_002,AC_160,4
182,6,3L,G1,AC_159,AC_094,
182,6,3R,G1,AC_169,AC_120,3
183,6,4L,G1,AC_216,AC_099,1
183,6,4R,G1,AC_052,AC_131,4
184,6,5L,G2,AC_150,AC_110,3
184,6,5R,G1,AC_097,AC_054,5
185,6,6L,G1,AC_002,AC_104,2
185,6,6R,G1,AC_179,AC_171,2
186,6,7L,G1,AC_170,AC_185,3
186,6,7R,G1,AC_068,AC_089,
187,6,8L,G1,AC_007,AC_187,2
187,6,8R,G2,AC_068,AC_195,
188,6,9L,G2,AC_179,AC_136,2
188,6,9R,G1,AC_102,AC_191,
189,6,10L,G2,AC_007,AC_187,4
189,6,10R,G1,AC_156,AC_016,
190,6,11L,G1,AC_172,AC_111,5
190,6,11R,G1,AC_125,AC_095,5
191,6,12L,G1,AC_177,AC_211,
191,6,12R,G1,AC_015,AC_197,
192,6,13L,G1,AC_107,AC_172,
192,6,13R,G1,AC_002,AC_122,5
193,6,14L,G2,AC_015,AC_197,1
193,6,14R,G2,AC_169,AC_120,3
194,6,15L,G2,AC_161,AC_213,3
194,6,15R,G1,AC_061,AC_158,5
195,6,16L,G1,AC_094,AC_109,4
195,6,16R,G2,AC_064,AC_205,
196,6,17L,G1,AC_107,AC_172,3
196,6,17R,G2,AC_159,AC_143,3
197,6,18L,G2,AC_159,AC_094,
197,6,18R,G1,AC_216,AC_099,2
198,6,19L,G2,AC_170,AC_185,
198,6,19R,G1,AC_198,AC_066,5
199,6,20L,G1,AC_107,AC_172,4
199,6,20R,G2,AC_168,AC_142,4
200,6,21L,G2,AC_179,AC_171,4
200,6,21R,G2,AC_165,AC_199,5
201,6,22L,G1,AC_096,AC_074,
201,6,22R,G1,AC_195,AC_193,3
202,6,23L,G2,AC_071,AC_115,1
