Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
44,131,131R,G1,BB_167,BB_114,1,38.31449,-123.06962
44,132,132L,G2,BB_215,BB_148,1,38.31449,-123.06962
44,132,132R,G1,BB_197,BB_199,1,38.31449,-123.06962
45,133,133L,G2,BB_026,BB_053,1,38.31442,-123.06953
45,133,133R,G2,BB_171,BB_039,5,38.31442,-123.06953
45,134,134L,G1,BB_057,BB_200,1,38.31442,-123.06953
45,134,134R,G1,BB_167,BB_110,5,38.31442,-123.06953
45,135,135L,G2,BB_100,BB_135,1,38.31442,-123.06953
45,135,135R,G2,BB_065,BB_013,4,38.31442,-123.06953
46,136,136L,G2,BB_196,BB_088,3,38.31441,-123.0695
46,136,136R,G1,BB_057,BB_146,,38.31441,-123.0695
46,137,137L,G2,BB_047,BB_193,4,38.31441,-123.0695
46,137,137R,G1,BB_028,BB_109,4,38.31441,-123.0695
46,138,138L,G1,BB_125,BB_137,2,38.31441,-123.0695
46,138,138R,G1,BB_177,BB_117,4,38.31441,-123.0695
47,139,139L,G1,BB_028,BB_209,2,38.31437,-123.06944
47,139,139R,G2,BB_051,BB_105,1,38.31437,-123.06944
47,140,140L,G2,BB_177,BB_134,2,38.31437,-123.06944
47,140,140R,G1,BB_196,BB_186,1,38.31437,-123.06944
47,141,141L,G1,BB_177,BB_134,3,38.31437,-123.06944
47,141,141R,G2,BB_198,BB_138,4,38.31437,-123.06944
48,142,142L,G1,BB_213,BB_132,,38.31436,-123.0694
48,142,142R,G2,BB_057,BB_200,5,38.31436,-123.0694
48,143,143L,G1,BB_198,BB_045,3,38.31436,-123.0694
48,143,143R,G1,BB_188,BB_009,3,38.31436,-123.0694
48,144,144L,G1,BB_217,BB_054,4,38.31436,-123.0694
48,144,144R,G2,BB_028,BB_083,,38.31436,-123.0694
49,145,145L,G1,BB_001,BB_043,1,38.31434,-123.06943
49,145,145R,G1,BB_175,BB_050,,38.31434,-123.06943
49,146,146L,G1,BB_075,BB_085,4,38.31434,-123.06943
49,146,146R,G1,BB_177,BB_140,,38.31434,-123.06943
49,147,147L,G1,BB_122,BB_208,3,38.31434,-123.06943
49,147,147R,G2,BB_217,BB_054,3,38.31434,-123.06943
50,148,148L,G1,BB_055,BB_145,2,38.31431,-123.06944
50,148,148R,G2,BB_057,BB_146,5,38.31431,-123.06944
50,149,149L,G1,BB_122,BB_126,1,38.31431,-123.06944
50,149,149R,G2,BB_171,BB_157,2,38.31431,-123.06944
50,150,150L,G1,BB_176,BB_059,1,38.31431,-123.06944
50,150,150R,G2,BB_188,BB_009,,38.31431,-123.06944
51,151,151L,G1,BB_173,BB_044,3,38.3143,-123.06956
51,151,151R,G2,BB_108,BB_189,3,38.3143,-123.06956
51,152,152L,G2,BB_142,BB_093,,38.3143,-123.06956
51,152,152R,G2,BB_196,BB_088,5,38.3143,-123.06956
51,153,153L,G1,BB_174,BB_002,1,38.3143,-123.06956
51,153,153R,G1,BB_055,BB_145,3,38.3143,-123.06956
52,154,154L,G2,BB_162,BB_154,,38.31432,-123.06963
52,154,154R,G2,BB_015,BB_111,1,38.31432,-123.06963
52,155,155L,G2,BB_023,BB_206,4,38.31432,-123.06963
52,155,155R,G1,BB_051,BB_143,5,38.31432,-123.06963
52,156,156L,G2,BB_023,BB_190,3,38.31432,-123.06963
52,156,156R,G1,BB_130,BB_007,5,38.31432,-123.06963
53,157,157L,G2,BB_115,BB_020,4,38.31435,-123.06964
53,157,157R,G1,BB_099,BB_032,,38.31435,-123.06964
53,158,158L,G2,BB_011,BB_116,2,38.31435,-123.06964
53,158,158R,G1,BB_065,BB_192,2,38.31435,-123.06964
