Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
161,5,37R,G1,BO_101,BO_080,
162,5,38L,G2,BO_198,BO_159,
162,5,38R,G1,BO_189,BO_086,
163,5,39L,G1,BO_096,BO_134,
163,5,39R,G1,BO_188,BO_154,
164,5,40L,G1,BO_128,BO_060,
164,5,40R,G1,BO_163,BO_034,
165,5,41L,G2,BO_029,BO_090,
165,5,41R,G1,BO_106,BO_191,
166,5,42L,G2,BO_194,BO_037,
166,5,42R,G1,BO_192,BO_127,
167,5,43L,G2,BO_073,BO_070,
167,5,43R,G1,BO_065,BO_014,
168,6,22L,G2,BO_188,BO_052,5
168,6,22R,G2,BO_187,BO_031,3
169,6,1L,G2,BO_119,BO_051,
169,6,1R,G1,BO_149,BO_185,3
170,6,2L,G1,BO_151,BO_056,5
170,6,2R,G2,BO_040,BO_067,1
171,6,3L,G1,BO_153,BO_022,1
171,6,3R,G1,BO_162,BO_089,5
172,6,4L,G1,BO_198,BO_158,1
172,6,4R,G1,BO_101,BO_182,5
173,6,5L,G1,BO_106,BO_131,3
173,6,5R,G2,BO_194,BO_098,
174,6,6L,G2,BO_185,BO_153,
174,6,6R,G1,BO_039,BO_102,
175,6,7L,G2,BO_106,BO_191,1
175,6,7R,G2,BO_088,BO_050,
176,6,8L,G2,BO_163,BO_072,1
176,6,8R,G1,BO_177,BO_121,2
177,6,9L,G1,BO_192,BO_166,1
177,6,9R,G1,BO_039,BO_087,4
178,6,10L,G1,BO_143,BO_195,
178,6,10R,G1,BO_163,BO_034,
179,6,11L,G2,BO_199,BO_015,2
179,6,11R,G2,BO_109,BO_001,3
180,6,12L,G1,BO_069,BO_145,2
180,6,12R,G1,BO_198,BO_158,4
181,6,13L,G1,BO_201,BO_199,1
181,6,13R,G2,BO_128,BO_060,3
182,6,14L,G2,BO_029,BO_061,
182,6,14R,G2,BO_201,BO_130,4
183,6,15L,G2,BO_119,BO_013,
183,6,15R,G2,BO_039,BO_200,
184,6,16L,G1,BO_074,BO_027,3
184,6,16R,G2,BO_069,BO_043,
185,6,17L,G1,BO_069,BO_201,1
185,6,17R,G2,BO_198,BO_100,
186,6,18L,G1,BO_151,BO_167,
186,6,18R,G1,BO_001,BO_048,3
187,6,19L,G1,BO_199,BO_069,1
187,6,19R,G2,BO_001,BO_048,3
188,6,20L,G1,BO_073,BO_117,4
188,6,20R,G1,BO_185,BO_071,4
189,6,21L,G2,BO_163,BO_034,5
189,6,21R,G2,BO_101,BO_182,
190,6,23L,G1,BO_013,BO_114,
190,6,23R,G1,BO_088,BO_140,3
191,6,24L,G1,BO_185,BO_071,
191,6,24R,G2,BO_188,BO_154,
192,6,25L,G2,BO_199,BO_018,2
192,6,25R,G2,BO_192,BO_021,5
193,6,26L,G2,BO_029,BO_190,1
193,6,26R,G1,BO_001,BO_025,
194,6,27L,G1,BO_130,BO_120,4
194,6,27R,G1,BO_040,BO_029,5
195,6,28L,G1,BO_073,BO_186,
195,6,28R,G1,BO_022,BO_020,
196,6,29L,G1,BO_022,BO_020,
196,6,29R,G2,BO_189,BO_086,2
197,6,30L,G1,BO_005,BO_019,5
197,6,30R,G2,BO_149,BO_032,
198,6,31L,G1,BO_130,BO_161,5
198,6,31R,G2,BO_033,BO_099,1
199,7,1L,G2,BO_065,BO_115,5
199,7,1R,G2,BO_005,BO_176,4
200,7,2L,G1,BO_022,BO_009,
200,7,2R,G2,BO_162,BO_089,5
201,7,3L,G1,BO_185,BO_085,5
201,7,3R,G2,BO_153,BO_022,
202,7,4L,G1,BO_029,BO_061,
202,7,4R,G2,BO_096,BO_134,
203,7,5L,G1,BO_088,BO_050,3
203,7,5R,G1,BO_183,BO_116,1
204,7,6L,G1,BO_168,BO_155,5
204,7,6R,G2,BO_189,BO_126,
205,7,7L,G1,BO_033,BO_099,1
205,7,7R,G2,BO_032,BO_088,
206,7,8L,G2,BO_163,BO_034,1
206,7,8R,G1,BO_069,BO_043,2
207,7,9L,G1,BO_001,BO_048,5
207,7,9R,G1,BO_029,BO_061,
208,7,10L,G1,BO_096,BO_012,1
208,7,10R,G1,BO_038,BO_137,
209,7,11L,G1,BO_151,BO_148,
209,7,11R,G1,BO_153,BO_157,
210,7,12L,G2,BO_162,BO_164,1
210,7,12R,G1,BO_187,BO_150,4
211,7,13L,G2,BO_189,BO_126,3
211,7,13R,G1,BO_149,BO_185,
212,7,14L,G2,BO_170,BO_045,
212,7,14R,G2,BO_163,BO_034,
213,7,15L,G1,BO_088,BO_050,4
213,7,15R,G1,BO_183,BO_198,2
214,7,16L,G1,BO_058,BO_094,3
214,7,16R,G1,BO_143,BO_152,
215,7,17L,G1,BO_074,BO_047,
215,7,17R,G1,BO_149,BO_185,
216,7,18L,G2,BO_199,BO_018,
216,7,18R,G1,BO_032,BO_088,
217,7,19L,G1,BO_096,BO_134,
217,7,19R,G1,BO_101,BO_024,5
218,7,20L,G1,BO_013,BO_053,5
218,7,20R,G2,BO_185,BO_071,5
219,7,21L,G2,BO_192,BO_021,4
219,7,21R,G1,BO_001,BO_048,
220,7,22L,G2,BO_032,BO_132,
220,7,22R,G1,BO_038,BO_149,
221,7,23L,G1,BO_013,BO_114,
221,7,23R,G1,BO_168,BO_155,
222,7,24L,G2,BO_187,BO_135,
222,7,24R,G2,BO_162,BO_164,2
223,7,25L,G2,BO_168,BO_155,
223,7,25R,G1,BO_074,BO_118,1
224,7,26L,G2,BO_106,BO_191,
224,7,26R,G1,BO_022,BO_146,5
225,8,1L,G2,BO_119,BO_017,
225,8,1R,G1,BO_153,BO_157,4
226,8,2L,G1,BO_189,BO_126,
226,8,2R,G2,BO_101,BO_080,3
227,8,3L,G2,BO_074,BO_027,5
227,8,3R,G1,BO_088,BO_050,
228,8,4L,G2,BO_188,BO_008,1
228,8,4R,G1,BO_039,BO_087,1
229,8,5L,G1,BO_074,BO_027,3
229,8,5R,G2,BO_088,BO_169,1
230,8,6L,G1,BO_005,BO_122,1
230,8,6R,G1,BO_065,BO_115,2
231,8,7L,G2,BO_088,BO_169,3
231,8,7R,G1,BO_005,BO_122,2
232,8,8L,G2,BO_151,BO_056,2
232,8,8R,G2,BO_040,BO_171,
233,8,9L,G1,BO_038,BO_082,2
233,8,9R,G1,BO_109,BO_028,2
234,8,10L,G1,BO_088,BO_140,1
234,8,10R,G2,BO_173,BO_091,
235,8,11L,G2,BO_029,BO_090,1
235,8,11R,G1,BO_199,BO_069,3
236,8,12L,G2,BO_013,BO_141,
236,8,12R,G2,BO_029,BO_090,2
237,8,13L,G1,BO_162,BO_164,5
237,8,13R,G2,BO_013,BO_141,
238,8,14L,G1,BO_101,BO_080,
238,8,14R,G1,BO_128,BO_044,1
239,8,15L,G2,BO_065,BO_078,
239,8,15R,G1,BO_173,BO_079,2
240,8,16L,G1,BO_029,BO_090,5
240,8,16R,G1,BO_119,BO_051,
241,8,17L,G1,BO_038,BO_149,1
241,8,17R,G2,BO_109,BO_001,
242,8,18L,G2,BO_001,BO_048,
242,8,18R,G1,BO_074,BO_027,3
243,8,19L,G1,BO_163,BO_072,4
243,8,19R,G2,BO_143,BO_152,5
244,8,20L,G1,BO_188,BO_008,3
244,8,20R,G2,BO_038,BO_137,2
245,8,21L,G1,BO_188,BO_008,2
245,8,21R,G1,BO_173,BO_091,2
246,8,22L,G1,BO_001,BO_025,
246,8,22R,G2,BO_187,BO_135,
247,8,23L,G2,BO_038,BO_149,5
247,8,23R,G2,BO_106,BO_191,
248,8,24L,G2,BO_143,BO_152,2
248,8,24R,G1,BO_070,BO_066,4
249,8,25L,G2,BO_073,BO_070,
249,8,25R,G1,BO_163,BO_144,5
250,9,1L,G2,BO_201,BO_130,
250,9,1R,G2,BO_038,BO_149,
251,9,2L,G1,BO_149,BO_032,3
251,9,2R,G1,BO_073,BO_117,4
252,9,3L,G1,BO_173,BO_079,
252,9,3R,G1,BO_070,BO_046,
253,9,4L,G1,BO_038,BO_137,5
253,9,4R,G2,BO_177,BO_121,4
254,9,5L,G1,BO_173,BO_054,
254,9,5R,G1,BO_096,BO_134,1
255,9,6L,G1,BO_038,BO_082,5
255,9,6R,G1,BO_005,BO_176,5
256,9,7L,G1,BO_170,BO_111,
256,9,7R,G2,BO_065,BO_115,3
257,9,8L,G2,BO_168,BO_155,5
257,9,8R,G2,BO_074,BO_027,5
258,9,9L,G1,BO_074,BO_118,1
258,9,9R,G1,BO_073,BO_070,4
259,9,10L,G1,BO_192,BO_127,4
259,9,10R,G1,BO_198,BO_159,3
260,9,11L,G2,BO_022,BO_146,1
260,9,11R,G1,BO_151,BO_056,4
261,9,12L,G1,BO_128,BO_105,5
261,9,12R,G1,BO_192,BO_127,5
262,9,13L,G2,BO_101,BO_080,5
262,9,13R,G2,BO_058,BO_123,1
263,9,14L,G1,BO_192,BO_021,
263,9,14R,G1,BO_173,BO_091,3
264,9,15L,G1,BO_162,BO_089,1
264,9,15R,G1,BO_194,BO_125,1
265,9,16L,G1,BO_198,BO_159,2
265,9,16R,G1,BO_201,BO_130,3
266,9,17L,G1,BO_070,BO_066,1
266,9,17R,G1,BO_005,BO_176,3
267,9,18L,G2,BO_187,BO_150,3
267,9,18R,G2,BO_194,BO_125,1
268,9,19L,G1,BO_065,BO_014,5
268,9,19R,G1,BO_106,BO_131,
269,9,20L,G1,BO_109,BO_095,5
269,9,20R,G1,BO_143,BO_195,3
270,9,21L,G2,BO_069,BO_043,3
270,9,21R,G1,BO_185,BO_085,5
