Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
149,4,14L,G1,HR_008,HR_042,5
149,4,14R,G1,HR_131,HR_046,3
150,4,15L,G2,HR_157,HR_088,1
150,4,15R,G1,HR_100,HR_192,1
151,4,16L,G1,HR_006,HR_142,
151,4,16R,G2,HR_196,HR_170,5
152,4,17L,G2,HR_171,HR_001,1
152,4,17R,G1,HR_147,HR_118,5
153,4,18L,G1,HR_168,HR_064,3
153,4,18R,G1,HR_139,HR_127,3
154,4,19L,G2,HR_108,HR_177,5
154,4,19R,G2,HR_108,HR_016,5
155,4,20L,G2,HR_171,HR_073,4
155,4,20R,G1,HR_100,HR_192,3
156,4,21L,G2,HR_133,HR_158,2
156,4,21R,G1,HR_034,HR_112,2
157,4,22L,G2,HR_005,HR_180,4
157,4,22R,G2,HR_027,HR_043,1
158,4,23L,G2,HR_164,HR_201,3
158,4,23R,G1,HR_157,HR_088,3
159,4,24L,G2,HR_006,HR_162,3
159,4,24R,G2,HR_110,HR_039,2
160,4,25L,G1,HR_002,HR_056,1
160,4,25R,G1,HR_095,HR_124,2
161,4,26L,G2,HR_057,HR_110,1
161,4,26R,G2,HR_110,HR_039,3
162,4,27L,G2,HR_062,HR_134,3
162,4,27R,G2,HR_070,HR_123,3
163,4,28L,G1,HR_148,HR_050,3
163,4,28R,G2,HR_175,HR_164,3
164,4,29L,G1,HR_053,HR_038,5
164,4,29R,G1,HR_180,HR_023,3
165,4,30L,G2,HR_085,HR_107,3
165,4,30R,G1,HR_195,HR_181,3
166,4,31L,G1,HR_148,HR_050,4
166,4,31R,G2,HR_139,HR_062,4
167,4,32L,G1,HR_149,HR_007,1
167,4,32R,G1,HR_008,HR_042,3
168,4,33L,G1,HR_189,HR_018,2
168,4,33R,G1,HR_164,HR_005,4
169,4,34L,G2,HR_155,HR_009,5
169,4,34R,G2,HR_160,HR_033,4
170,4,35L,G2,HR_195,HR_181,1
170,4,35R,G1,HR_088,HR_182,1
171,4,36L,G2,HR_135,HR_083,1
171,4,36R,G2,HR_074,HR_115,4
172,4,37L,G1,HR_108,HR_016,5
172,4,37R,G2,HR_148,HR_114,4
173,4,38L,G2,HR_074,HR_070,2
173,4,38R,G2,HR_131,HR_113,3
174,4,39L,G1,HR_027,HR_043,1
174,4,39R,G1,HR_147,HR_021,4
175,4,40L,G2,HR_034,HR_017,5
175,4,40R,G2,HR_005,HR_149,4
176,4,41L,G2,HR_160,HR_079,5
176,4,41R,G2,HR_006,HR_142,2
