Sequence,Location,position,Gen,Recipient,Fit_plant
298,100,R,G2,BB_087,4
299,100,L,G2,BB_088,
299,100,R,G1,BB_143,5
300,100,L,G1,BB_049,1
300,100,R,G1,BB_121,1
301,101,L,G2,BB_002,4
301,101,R,G1,BB_132,1
302,101,L,G1,BB_085,4
302,101,R,G2,BB_166,1
303,101,L,G2,BB_150,3
303,101,R,G1,BB_007,3
304,102,L,G1,BB_215,5
304,102,R,G1,BB_061,3
305,102,L,G2,BB_098,3
305,102,R,G1,BB_083,
306,102,L,G1,BB_187,
306,102,R,G2,BB_114,1
307,103,L,G1,BB_113,4
307,103,R,G1,BB_069,
308,103,L,G1,BB_186,3
308,103,R,G2,BB_209,4
309,103,L,G2,BB_020,2
309,103,R,G2,BB_149,5
310,104,L,G1,BB_200,2
310,104,R,G1,BB_008,
311,104,L,G1,BB_148,1
311,104,R,G1,BB_195,
312,104,L,G1,BB_204,5
312,104,R,G2,BB_080,3
313,105,L,G1,BB_068,2
313,105,R,G2,BB_045,2
314,105,L,G1,BB_109,5
314,105,R,G1,BB_101,
315,105,L,G1,BB_123,3
315,105,R,G2,BB_151,
316,106,L,G1,BB_126,2
316,106,R,G1,BB_042,4
317,106,L,G2,BB_018,3
317,106,R,G1,BB_206,4
318,106,L,G1,BB_043,
318,106,R,G1,BB_118,
319,107,L,G1,BB_105,1
319,107,R,G1,BB_218,1
320,107,L,G1,BB_160,4
320,107,R,G2,BB_111,3
321,107,L,G1,BB_216,2
321,107,R,G1,BB_024,3
322,108,L,G1,BB_030,3
322,108,R,NULL,BB_ NA,
