Year,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
1933,BB,.,38.318682,-123.071828,-9999,11.6,14.2,6.8,7.3,683,60,31.6,234.9,31,2395,2384,32,326,80,329,249,7,-11.5,33.6,-9999,902,575,65
1933,HA,.,36.379264,-121.562935,-9999,13.4,21.4,6.5,14.9,537,30,43.5,722.8,38,3134,2018,328,307,109,327,218,7,-11.5,39.6,-9999,1192,983,56
1934,AC,.,39.718477,-123.652786,-9999,13.4,19.4,7.6,11.8,1634,131,14.3,147.8,26,3051,1897,178,336,60,330,270,9,-15.1,38.9,-9999,1076,547,60
1934,BO,.,37.38199,-121.736746,-9999,15.1,21.1,8.9,12.2,468,55,53.6,387.2,19,3666,1476,392,359,13,356,343,2,-8.7,38.9,-9999,1037,801,69
1934,BB,.,38.318682,-123.071828,-9999,13,14.4,10,4.4,689,57,33.4,253,15,2847,1914,47,352,27,340,313,2,-11.5,33.6,-9999,927,571,66
1934,HA,.,36.379264,-121.562935,-9999,14.9,21.6,8.8,12.8,546,49,45.6,442,19,3601,1534,371,340,56,336,280,2,-11.5,39.6,-9999,1259,970,57
1935,AC,.,39.718477,-123.652786,-9999,11.8,18.7,6.2,12.5,1652,65,13.2,288,49,2566,2440,151,299,98,316,218,24,-15.1,38.9,-9999,1029,611,60
1935,BO,.,37.38199,-121.736746,-9999,13.8,20.9,8.4,12.5,585,13,40.8,1554.3,30,3257,1886,352,343,38,345,307,4,-8.7,38.9,-9999,1018,723,68
1935,BB,.,38.318682,-123.071828,-9999,11.8,14.1,8.5,5.6,794,17,27.4,808.9,26,2443,2324,37,331,51,330,279,4,-11.5,33.6,-9999,908,531,66
1935,HA,.,36.379264,-121.562935,-9999,13.5,21.1,8.3,12.8,701,19,33.5,1117.9,32,3148,1979,319,311,94,327,232,6,-11.5,39.6,-9999,1219,847,56
1936,AC,.,39.718477,-123.652786,-9999,12.5,19,6.6,12.4,1987,145,11.3,130.4,40,2789,2205,172,306,92,310,218,24,-15.1,38.9,-9999,1052,564,59
