Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
5,AC_070,G1,-,5,11R,21.496,04/28/23,non-fitness plant,,
5,AC_142,G1,-,3,12R,14.067,04/28/23,,,
5,AC_153,G2,X,2,13L,,,,,
5,AC_128,G2,X,2,14L,,,,,
5,AC_040,G1,-,2,14R,,,,,
5,AC_040,G1,-,4,14R,22.765,04/28/23,non-fitness plant,,
5,AC_104,G1,-,1,15L,,,,,
5,AC_104,G1,-,4,15L,21.912,04/28/23,non-fitness plant,,
5,AC_005,G1,-,2,15R,19.515,04/28/23,non-fitness plant,,
5,AC_005,G1,-,3,15R,,,,,
5,AC_030,G1,-,1,16L,23.477,04/28/23,,,
5,AC_048,G2,X,5,16R,17.064,04/28/23,,,
5,AC_144,G1,-,1,17L,25.389,04/28/23,,,
5,AC_213,G1,-,4,17R,,,,,
5,AC_115,G1,-,3,18L,18.553,04/28/23,,,
5,AC_090,G2,X,2,18R,,,,,
5,AC_090,G2,X,4,18R,26.686,04/28/23,non-fitness plant,,
5,AC_109,G2,X,4,19L,19.999,04/28/23,,,
5,AC_090,G1,-,1,19R,23.128,04/28/23,non-fitness plant,,
5,AC_090,G1,-,4,19R,,,,,
5,AC_192,G2,X,4,20L,17.854,04/28/23,,,
5,AC_205,G2,X,2,20R,21.433,04/28/23,tips of 3 petals are eaten,,
5,AC_097,G1,-,5,21L,23.981,04/28/23,,,
5,AC_182,G2,X,1,21R,,,,,
5,AC_182,G2,X,4,21R,19.796,04/28/23,non-fitness plant,,
5,AC_160,G1,-,4,22L,,,,,
5,AC_204,G2,X,3,22R,15.367,04/28/23,,,
5,AC_155,G1,-,4,23L,,,,,
5,AC_192,G2,X,4,24L,,,,,
5,AC_046,G1,-,2,24R,15.335,04/14/23,non-fitness plant,,
5,AC_046,G1,-,4,24R,,,,,
5,AC_181,G2,X,2,25L,,,,,
5,AC_123,G2,X,1,25R,,,,,
5,AC_215,G2,X,2,26L,,,,,
5,AC_095,G1,-,3,26R,15.939,04/14/23,non-fitness plant,,
5,AC_095,G1,-,4,26R,,,,,
5,AC_142,G2,X,3,27L,18.964,04/14/23,non-fitness plant,,
5,AC_142,G2,X,5,27L,,,,,
5,AC_206,G2,X,1,27R,,,,,
5,AC_120,G2,X,3,28L,,,,,
5,AC_120,G2,X,4,28L,18.562,04/14/23,non-fitness plant,,
5,AC_171,G2,X,4,28R,,,,,
5,AC_185,G1,-,4,29L,,,,,
5,AC_147,G1,-,1,29R,20.969,04/14/23,,,
5,AC_130,G1,-,1,30L,,,,,
5,AC_058,G1,-,1,30R,15.604,04/28/23,,,
5,AC_159,G1,-,5,31L,,,,,
5,AC_158,G2,X,3,31R,,,,,
5,AC_011,G1,-,2,32L,,,,,
5,AC_114,G1,-,2,33L,,,,,
5,AC_100,G1,-,5,33R,,,,,
5,AC_153,G1,-,3,34L,24.166,04/14/23,the tip of 1 petal is hidden,,
5,AC_081,G2,X,3,34R,,,,,
5,AC_216,G2,X,3,35L,16.721,04/14/23,,,
5,AC_168,G2,X,3,35R,,,,,
5,AC_168,G2,X,4,35R,17.716,04/14/23,non-fitness plant,,
5,AC_205,G1,-,1,36L,16.701,04/14/23,,,
5,AC_034,G1,-,3,36R,15.753,04/14/23,,,
6,AC_083,G1,-,1,1L,21.953,5/12/23,non fitness,,
6,AC_083,G1,-,5,1L,,,,,
6,AC_016,G2,X,2,1R,24.503,5/12/23,,,
6,AC_115,G1,-,5,2L,18.805,4/28,,,
6,AC_160,G2,X,4,2R,26.681,5/12/23,,,
6,AC_120,G1,-,1,3R,19.944,4/28,non-fitness plant,,
6,AC_120,G1,-,3,3R,23.298,5/12/23,,,
6,AC_099,G1,-,1,4L,18.77,04/28/23,,,
6,AC_131,G1,-,3,4R,22.908,4/28,non-fitness plant,,
6,AC_131,G1,-,4,4R,22.135,5/12/23,,,
6,AC_110,G2,X,3,5L,17.282,4/28,,,
6,AC_054,G1,-,5,5R,20.842,4/28,,,
6,AC_104,G1,-,2,6L,,,,,
6,AC_171,G1,-,2,6R,,,,,
6,AC_185,G1,-,3,7L,18.903,4/28,,,
6,AC_187,G1,-,2,8L,20.785,4/28,,,
6,AC_136,G2,X,2,9L,16.697,5/12/23,,,
6,AC_136,G2,X,5,9L,18.141,4/28,non-fitness plant,,
6,AC_187,G2,X,4,10L,18.498,4/28,,,
6,AC_111,G1,-,5,11L,,,,,
6,AC_095,G1,-,5,11R,19.269,04/28/23,,,
6,AC_122,G1,-,5,13R,21.487,4/28,,,
6,AC_197,G2,X,1,14L,17.594,4/28,,,
6,AC_120,G2,X,3,14R,20.004,4/28,,,
6,AC_213,G2,X,3,15L,18.277,4/28,,,
6,AC_158,G1,-,5,15R,19.279,4/28,,,
6,AC_109,G1,-,4,16L,20.493,4/28,duplicate images,,
6,AC_172,G1,-,3,17L,15.4,4/28,,,
6,AC_143,G2,X,3,17R,18.018,4/28,,,
6,AC_099,G1,-,2,18R,17.576,04/28/23,,,
6,AC_066,G1,-,5,19R,18.856,04/28/23,,,
6,AC_172,G1,-,4,20L,17.5,4/28,,,
6,AC_142,G2,X,4,20R,,,,,
6,AC_171,G2,X,4,21L,17.843,4/28,,,
6,AC_199,G2,X,3,21R,19.35,4/28,non-fitness plant,,
6,AC_199,G2,X,5,21R,,,,,
6,AC_193,G1,-,3,22R,,,,,
6,AC_115,G2,X,1,23L,21.949,4/28,,,
6,AC_062,G1,-,5,23R,20.431,04/28/23,,,
6,AC_189,G1,-,3,24R,,,,,
6,AC_090,G2,X,1,25L,,,,,
6,AC_055,G1,-,5,25R,19.425,04/14/23,,,
6,AC_182,G2,X,2,27L,,,,,
6,AC_182,G2,X,5,27L,15.957,5/12/23,non fitness,,
6,AC_130,G1,-,5,27R,,,,,
6,AC_016,G2,X,2,28L,,,,,
6,AC_131,G2,X,5,28R,21.723,04/14/23,,,
6,AC_086,G2,X,2,29L,15.997,04/14/23,,,
6,AC_086,G2,X,3,29L,15.633,04/28/23,non-fitness plant,,
6,AC_186,G2,X,1,29R,,,,,
6,AC_052,G2,X,3,30L,,,,,
6,AC_158,G2,X,5,30R,,,,,
6,AC_034,G2,X,3,31L,,,,,
6,AC_171,G1,-,5,31R,19.127,04/14/23,,,
6,AC_182,G1,-,3,33R,15.075,04/14/23,,,
6,AC_128,G1,-,1,34L,,,,,
6,AC_147,G2,X,4,34R,,,,,
6,AC_118,G1,-,5,35R,,,,,
7,AC_142,G1,-,3,1L,,,,,
7,AC_072,G2,X,5,2L,19.179,4/28,,,
7,AC_110,G1,-,5,2R,,,,,
7,AC_191,G2,X,5,3L,20.234,4/28,,,
7,AC_070,G2,X,1,3R,,,,,
7,AC_187,G2,X,2,4L,,,,,
