Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
6,HR_137,G1,3,40L,,
6,HR_197,G1,4,40R,,
6,HR_064,G2,1,41L,,
6,HR_133,G2,1,41R,,
6,HR_101,G2,1,42L,,
6,HR_133,G2,2,42R,,
6,HR_021,G2,1,43L,,
6,HR_039,G1,1,43R,,
6,HR_057,G1,3,44L,,
6,HR_088,G2,3,44R,,
6,HR_139,G2,4,45L,,
6,HR_113,G1,1,45R,,
7,HR_066,G2,2,3L,,
7,HR_054,G1,2,3R,,
7,HR_056,G2,5,4L,,
7,HR_025,G1,2,4R,,
7,HR_020,G1,4,5L,,
7,HR_166,G2,5,5R,,
7,HR_067,G2,3,1L,,
7,HR_149,G1,1,1R,,
7,HR_009,G1,3,2L,,
7,HR_026,G1,2,2R,,
7,HR_139,G2,3,7L,,
7,HR_133,G1,4,7R,,
7,HR_014,G2,3,8L,,
7,HR_092,G1,4,8R,,
7,HR_095,G1,2,9L,,
7,HR_011,G1,4,9R,,
7,HR_195,G2,2,10L,,
7,HR_080,G1,4,10R,,
7,HR_073,G2,5,11L,,
7,HR_072,G2,2,11R,,
7,HR_135,G2,4,12L,,
7,HR_177,G1,2,12R,,
7,HR_178,G1,1,13L,,
7,HR_007,G1,2,13R,,
7,HR_134,G1,4,14L,,
7,HR_110,G1,5,14R,,
7,HR_047,G2,5,15L,,
7,HR_136,G1,2,15R,,
7,HR_014,G1,3,16R,,
7,HR_170,G1,2,17L,,
7,HR_035,G2,1,18L,,
7,HR_039,G1,3,19L,,
7,HR_050,G2,1,19R,,
7,HR_150,G2,4,20L,,
7,HR_127,G1,5,21R,,
7,HR_184,G1,2,22L,,
7,HR_148,G1,2,22R,,
7,HR_033,G1,4,23L,,
7,HR_156,G1,4,23R,,
7,HR_129,G1,2,24L,,
7,HR_087,G2,5,24R,,
7,HR_095,G2,5,6L,,
7,HR_083,G2,1,6R,,
7,HR_006,G2,5,25L,,
7,HR_110,G2,2,25R,,
7,HR_087,G1,5,26L,,
7,HR_173,G1,1,26R,,
7,HR_131,G2,5,27L,,
7,HR_083,G1,5,27R,,
7,HR_011,G2,1,28L,,
