Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
3,11,BO_101,BO_182,NA,0,0,0,0.75,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.54468085106383
3,11,BO_106,BO_104,1.6666666666666663,5,3,1,0.25,0.4166666666666666,1.25,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.12467868302368892,0.8437935843793585,0.26760935641601685,1.6805555555555556,0.4556451612903226,0.5148936170212766
3,11,BO_119,BO_013,8.75,7,4,5,0.375,3.28125,2.625,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.9818446288115504,1.771966527196653,1.404949121184089,2.352777777777778,2.278225806451613,0.772340425531915
3,11,BO_119,BO_051,NA,0,0,0,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.0297872340425531
3,11,BO_128,BO_060,NA,0,0,0,0.5,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.0297872340425531
3,11,BO_128,BO_105,NA,0,0,0,0.125,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,0.2574468085106383
3,11,BO_143,BO_152,15,5,2,6,0.75,11.25,3.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,3.3663244416396014,2.5313807531380754,2.408484207744152,1.6805555555555556,2.7338709677419355,1.54468085106383
3,11,BO_149,BO_032,2,2,2,2,0.375,0.75,0.75,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0.2244216294426401,0.5062761506276151,0.3211312276992203,0.6722222222222223,0.9112903225806452,0.772340425531915
3,11,BO_153,BO_022,0,1,1,0,0.5,0,0.5,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,0,0.3375174337517434,0,0.33611111111111114,0,1.0297872340425531
3,11,BO_162,BO_108,NA,0,0,0,0.75,NA,0,3.3419238683127572,1.4814049586776858,6.22798353909465,2.975206611570248,2.1946902654867255,0.4855371900826446,NA,0,NA,0,0,1.54468085106383
