Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes
W2,HR_112,5,,,
W2,HR_119,3,,,
W2,HR_119,4,,,
W2,HR_119,5,,,
W2,HR_142,5,,,
W2,HR_142,6,,,
W2,HR_142,8,,,
W2,HR_145,2,,,
W2,HR_145,4,,,
W2,HR_145,6,,,
W2,HR_146,1,,,
W2,HR_146,7,,,
W2,HR_146,8,,,
W2,HR_148,1,,,
W2,HR_148,3,,,
W2,HR_148,4,,,
W2,HR_149,2,,,
W2,HR_149,4,,,
W2,HR_149,7,,,
W2,HR_162,1,,,
W2,HR_162,2,,,
W2,HR_162,3,,,
W2,HR_180,2,,,
W2,HR_180,4,,,
W2,HR_180,8,,,
W2,HR_184,1,,,
W2,HR_184,5,,,
W2,HR_184,8,,,
