Transect,Donor,Recipient,Stage,Plant_ID,date_1,date_2,date_3,date_4,date_5,Transect,Recipient,Plant_ID,date_1,date_2,date_3,date_4,date_5,flr_P
1,AC_195,AC_193,Flow Date,2,,,,,,1,AC_193,7,,,,,,
1,AC_195,AC_193,Flow Date,3,,,,,,1,AC_193,8,,,,,,
1,AC_195,AC_193,Flow Date,4,,,,,,1,AC_193,9,,,,,,
1,AC_195,AC_193,Flow Date,5,,,,,,1,AC_193,10,,,,,,
1,AC_89,AC_57,Flow Date,1,,,,,,1,AC_57,6,,,,,,
1,AC_89,AC_57,Flow Date,2,,,,,,1,AC_57,7,,,,,,
1,AC_89,AC_57,Flow Date,3,,,,,,1,AC_57,8,,,,,,
1,AC_89,AC_57,Flow Date,4,,,,,,1,AC_57,9,,,,,,
1,AC_89,AC_57,Flow Date,5,,,,,,1,AC_57,10,,,,,,
1,AC_160,AC_15,Flow Date,1,,,,,,1,AC_15,6,,,,,,
1,AC_160,AC_15,Flow Date,2,,,,,,1,AC_15,7,,,,,,
1,AC_160,AC_15,Flow Date,3,,,,,,1,AC_15,8,,,,,,
1,AC_160,AC_15,Flow Date,4,,,,,,1,AC_15,9,,,,,,
1,AC_160,AC_15,Flow Date,5,,,,,,1,AC_15,10,,,,,,
1,AC_161,AC_88,Flow Date,1,,,,,,1,AC_88,6,,,,,,
1,AC_161,AC_88,Flow Date,2,,,,,,1,AC_88,7,,,,,,
1,AC_161,AC_88,Flow Date,3,,,,,,1,AC_88,8,,,,,,
1,AC_161,AC_88,Flow Date,4,,,,,,1,AC_88,9,,,,,,
1,AC_161,AC_88,Flow Date,5,,,,,,1,AC_88,10,,,,,,
1,AC_45,AC_96,Flow Date,1,,,,,,1,AC_96,6,,,,,,
1,AC_45,AC_96,Flow Date,2,,,,,,1,AC_96,7,,,,,,
1,AC_45,AC_96,Flow Date,3,,,,,,1,AC_96,8,,,,,,
1,AC_45,AC_96,Flow Date,4,,,,,,1,AC_96,9,,,,,,
1,AC_45,AC_96,Flow Date,5,,,,,,1,AC_96,10,,,,,,
1,AC_216,AC_58,Flow Date,1,,,,,,1,AC_58,6,,,,,,
1,AC_216,AC_58,Flow Date,2,,,,,,1,AC_58,7,,,,,,
1,AC_216,AC_58,Flow Date,3,,,,,,1,AC_58,8,,,,,,
1,AC_216,AC_58,Flow Date,4,,,,,,1,AC_58,9,,,,,,
1,AC_216,AC_58,Flow Date,5,,,,,,1,AC_58,10,,,,,,
1,AC_91,AC_218,Flow Date,1,,,,,,1,AC_218,6,,,,,,
1,AC_91,AC_218,Flow Date,2,,,,,,1,AC_218,7,,,,,,
