,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,2,50,AC_159,AC_94,Germ Date,,2022-12-05,2022-12-05,2022-11-03,2022-12-05,,2022-12-05,,,
1,2,50,AC_159,AC_94,Flow Date,,,,Dead 12/5,,,,,,
1,2,51,AC_169,AC_182,Germ Date,,,,,,2022-12-05,2022-12-05,,2022-12-05,2022-12-05
1,2,51,AC_169,AC_182,Flow Date,,,,,,,,,,
1,2,52,AC_179,AC_171,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-11-03
1,2,52,AC_179,AC_171,Flow Date,,,,,,,,,,
1,2,53,AC_061,AC_158,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,,2022-12-05,2022-11-03,2022-11-03
1,2,53,AC_061,AC_158,Flow Date,,,,,,,,,,
1,2,54,AC_97,AC_54,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05
1,2,54,AC_97,AC_54,Flow Date,Dead 12/5,,,,,,Dead 12/5,,,
1,2,55,AC_107,AC_172,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,2,55,AC_107,AC_172,Flow Date,,,,,,,,,,
1,2,56,AC_102,AC_178,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03
1,2,56,AC_102,AC_178,Flow Date,,,,,,,,,,
1,2,57,AC_165,AC_199,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,2,57,AC_165,AC_199,Flow Date,,,,,,,,,,
1,2,58,AC_198,AC_72,Germ Date,,,,2022-12-05,2022-12-05,2022-12-05,2022-11-03,,2022-12-05,2022-12-05
1,2,58,AC_198,AC_72,Flow Date,,,,,,,,,,
1,2,59,AC_159,AC_143,Germ Date,,2022-12-05,,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,
1,2,59,AC_159,AC_143,Flow Date,,,,Dead 12/5,,,,,,
1,2,60,AC_45,AC_123,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
1,2,60,AC_45,AC_123,Flow Date,,,,,,,,,,
1,2,61,AC_061,AC_52,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,2,61,AC_061,AC_52,Flow Date,,,,,,,,,Dead 12/5,
1,2,62,AC_124,AC_30,Germ Date,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,2,62,AC_124,AC_30,Flow Date,,,,,,,,,,
1,2,63,AC_103,AC_144,Germ Date,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,
1,2,63,AC_103,AC_144,Flow Date,,,,,,,,,,
1,2,64,AC_207,AC_82,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03
1,2,64,AC_207,AC_82,Flow Date,,,Dead 12/5,Dead 12/5,Dead 12/5,Dead 12/5,,,,
1,2,65,AC_47,AC_152,Germ Date,,,,,,,2022-12-05,,2022-12-05,
1,2,65,AC_47,AC_152,Flow Date,,,,,,,,,,
1,2,66,AC_71,AC_215,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,2,66,AC_71,AC_215,Flow Date,,,Dead 12/5,,,,,Dead 12/5,,
1,2,67,AC_160,AC_186,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
1,2,67,AC_160,AC_186,Flow Date,,,,,,,,,,
1,2,68,AC_170,AC_118,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
1,2,68,AC_170,AC_118,Flow Date,,,,Dead 12/5,,,,,,
1,2,69,AC_168,AC_159,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05
1,2,69,AC_168,AC_159,Flow Date,Dead 12/5,,,,,,Dead 12/5,,,
1,2,70,AC_68,AC_195,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,2022-11-03,,
1,2,70,AC_68,AC_195,Flow Date,,,,,,,,,,
1,2,71,AC_039,AC_148,Germ Date,,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
1,2,71,AC_039,AC_148,Flow Date,,,Dead 12/5,,,Dead 12/5,,,,
1,2,72,AC_165,AC_206,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,
1,2,72,AC_165,AC_206,Flow Date,,,,,,,,,,
1,3,73,AC_64,AC_17,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05
1,3,73,AC_64,AC_17,Flow Date,,,,Dead 12/5,Dead 12/5,,,,,
1,3,74,AC_124,AC_100,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,3,74,AC_124,AC_100,Flow Date,,,,,,,,,,
1,3,75,AC_8,AC_92,Germ Date,,2022-12-05,2022-12-05,,2022-12-05,,2022-12-05,2022-12-05,,
1,3,75,AC_8,AC_92,Flow Date,,,,,,,,,,
1,3,76,AC_168,AC_10,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
1,3,76,AC_168,AC_10,Flow Date,,,,,,,,,,
1,3,77,AC_89,AC_32,Germ Date,2022-11-03,2022-11-03,,,,,2022-12-05,2022-12-05,2022-11-03,2022-12-05
1,3,77,AC_89,AC_32,Flow Date,Dead 12/5,,,,,,,,,Dead 12/5
1,3,78,AC_15,AC_197,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
1,3,78,AC_15,AC_197,Flow Date,,,,,,Dead 12/5,,,,
