,Site:  Hastings Ranch 2021-22,,,,,Plant ID,,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Transect (1-12),Sequence (1-396),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10,Notes 12/6,Notes 12/17,Oak leaves removed when ontop of seedlings
1,2,85,HR_027,HR_43,Flow Date,,,,,,,,,,,,,
1,2,86,HR_189,HR_51,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,,,
1,2,86,HR_189,HR_51,Flow Date,,,,,,,,,,,,,
1,2,87,HR_69,HR_133,Germ Date,2022-11-19,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-11-19,,2022-12-06,,,,,
1,2,87,HR_69,HR_133,Flow Date,,,,,,,,,,,,,
1,2,88,HR_66,HR_78,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-11-19,,,,,
1,2,88,HR_66,HR_78,Flow Date,,,,,,,,,,,,,
1,2,89,HR_175,HR_164,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,,,,,
1,2,89,HR_175,HR_164,Flow Date,,,,,,,,,,,,,
1,2,90,HR_148,HR_109,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
1,2,90,HR_148,HR_109,Flow Date,,,,,,,,,,,,,
1,2,91,HR_002,HR_71,Germ Date,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-12-06,2022-12-06,,,D-1,,
1,2,91,HR_002,HR_71,Flow Date,,,,,,,,,,,,,
1,2,92,HR_002,HR_59,Germ Date,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-11-19,2022-12-06,2022-11-19,,,,,
1,2,92,HR_002,HR_59,Flow Date,,,,,,,,,,,,,
1,3,93,HR_74,HR_70,Germ Date,2022-12-17,,,,2022-12-17,2022-11-19,2022-12-06,2022-12-06,,,,"*-1,6",
1,3,93,HR_74,HR_70,Flow Date,,,,,,,,,,,,,
1,3,94,HR_155,HR_9,Germ Date,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,"D-2,3",,
1,3,94,HR_155,HR_9,Flow Date,,,,,,,,,,,,,
1,3,95,HR_115,HR_131,Germ Date,,,,,,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,95,HR_115,HR_131,Flow Date,,,,,,,,,,,,,
1,3,96,HR_66,HR_87,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
1,3,96,HR_66,HR_87,Flow Date,,,,,,,,,,,,,
1,3,97,HR_147,HR_118,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,97,HR_147,HR_118,Flow Date,,,,,,,,,,,,,
1,3,98,HR_88,HR_182,Germ Date,2022-12-06,,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,D-5,,
1,3,98,HR_88,HR_182,Flow Date,,,,,,,,,,,,,
1,3,99,HR_34,HR_17,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-1,
1,3,99,HR_34,HR_17,Flow Date,,,,,,,,,,,,,
1,3,100,HR_64,HR_28,Germ Date,2022-11-19,2022-11-19,2022-11-19,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,,,M-2;G-2,,
1,3,100,HR_64,HR_28,Flow Date,,,,,,,,,,,,,
1,3,101,HR_135,HR_4,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,*-1,
1,3,101,HR_135,HR_4,Flow Date,,,,,,,,,,,,,
1,3,102,HR_90,HR_103,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,?-7,,
1,3,102,HR_90,HR_103,Flow Date,,,,,,,,,,,,,
1,3,103,HR_147,HR_21,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-17,2022-11-19,,2022-11-19,,,,*-8,
1,3,103,HR_147,HR_21,Flow Date,,,,,,,,,,,,,
1,3,104,HR_149,HR_174,Germ Date,2022-12-06,2022-11-19,2022-12-06,,,2022-11-19,2022-11-19,2022-11-19,,,"D-2,6;*-7",C-7*-8,
1,3,104,HR_149,HR_174,Flow Date,,,,,,,,,,,,,
1,3,105,HR_156,HR_193,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,"D-1,7;*-4",*-3;C-4,
1,3,105,HR_156,HR_193,Flow Date,,,,,,,,,,,,,
1,3,106,HR_135,HR_152,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,2022-11-19,2022-12-06,2022-11-19,,,"*-6,7",*-3,
1,3,106,HR_135,HR_152,Flow Date,,,,,,,,,,,,,
1,3,107,HR_147,HR_150,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-17,2022-12-06,2022-12-06,,,,,
1,3,107,HR_147,HR_150,Flow Date,,,,,,,,,,,,,
1,3,108,HR_62,HR_116,Germ Date,2022-12-06,,,2022-12-06,,2022-12-17,2022-11-19,,,,,D-6;*-7,
1,3,108,HR_62,HR_116,Flow Date,,,,,,,,,,,,,
1,3,109,HR_64,HR_190,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,,*-5,*-6,
1,3,109,HR_64,HR_190,Flow Date,,,,,,,,,,,,,
1,3,110,HR_64,HR_19,Germ Date,2022-11-19,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,110,HR_64,HR_19,Flow Date,,,,,,,,,,,,,
