Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
2,7,216,11,6,1,BO_128,BO_105,55,27,9
2,7,217,11,7,1,BO_101,BO_24,125,62,20.66666667
2,7,218,11,8,3,BO_39,BO_87,82,41,13.66666667
2,7,219,11,9,5,BO_194,BO_125,99,49,16.33333333
2,7,220,11,10,1,BO_119,BO_13,120,60,20
2,7,221,11,11,2,BO_187,BO_150,106,53,17.66666667
2,7,222,11,12,5,BO_58,BO_94,100,50,16.66666667
2,7,223,11,13,6,BO_149,BO_185,29,14,4.666666667
2,7,224,11,14,4,BO_33,BO_124,81,40,13.33333333
2,7,225,11,15,4,BO_192,BO_166,139,69,23
2,7,226,11,16,3,BO_163,BO_72,50,25,8.333333333
2,7,227,11,17,2,BO_199,BO_69,51,25,8.333333333
2,7,228,11,18,3,BO_198,BO_159,126,63,21
2,7,229,11,19,4,BO_33,BO_99,121,60,20
2,7,230,11,20,5,BO_162,BO_164,91,45,15
2,7,231,11,21,5,BO_168,BO_155,100,50,16.66666667
2,7,232,12,1,5,BO_58,BO_123,99,49,16.33333333
2,8,233,12,2,5,BO_143,BO_152,100,50,16.66666667
2,8,234,12,3,6,BO_32,BO_88,100,50,16.66666667
2,8,235,12,4,5,BO_173,BO_54,100,50,16.66666667
2,8,236,12,5,6,BO_183,BO_116,100,50,16.66666667
2,8,237,12,6,1,BO_151,BO_148,137,68,22.66666667
2,8,238,12,7,5,BO_168,BO_180,99,49,16.33333333
2,8,239,12,8,3,BO_198,BO_100,76,38,12.66666667
2,8,240,12,9,5,BO_194,BO_37,100,50,16.66666667
2,8,241,12,10,2,BO_199,BO_18,146,73,24.33333333
2,8,242,12,11,5,BO_70,BO_184,99,49,16.33333333
2,8,243,12,12,5,BO_5,BO_19,99,49,16.33333333
2,8,244,12,13,5,BO_70,BO_66,100,50,16.66666667
2,8,245,12,14,4,BO_33,BO_143,100,50,16.66666667
2,8,246,12,15,3,BO_163,BO_34,59,29,9.666666667
2,8,247,12,16,5,BO_168,BO_175,100,50,16.66666667
2,8,248,12,17,2,BO_096,BO_134,103,51,17
2,8,249,12,18,5,BO_173,BO_91,100,50,16.66666667
2,8,250,12,19,6,BO_1,BO_48,100,50,16.66666667
2,8,251,12,20,2,BO_189,BO_126,155,77,25.66666667
2,8,252,12,21,4,BO_192,BO_21,149,74,24.66666667
2,8,253,13,1,2,BO_029,BO_190,100,50,16.66666667
2,8,254,13,2,5,BO_188,BO_154,100,50,16.66666667
2,8,255,13,3,6,BO_69,BO_201,99,49,16.33333333
2,8,256,13,4,2,BO_096,BO_178,254,127,42.33333333
2,8,257,13,5,2,BO_199,BO_15,148,74,24.66666667
2,8,258,13,6,5,BO_143,BO_4,100,50,16.66666667
2,8,259,13,7,5,BO_5,BO_176,95,47,15.66666667
2,8,260,13,8,2,BO_022,BO_9,68,34,11.33333333
2,8,261,13,9,3,BO_163,BO_144,124,62,20.66666667
2,8,262,13,10,1,BO_088,BO_169,150,75,25
2,8,263,13,11,1,BO_151,BO_167,108,54,18
2,8,264,13,12,3,BO_39,BO_102,131,65,21.66666667
3,9,265,13,13,6,BO_13,BO_53,98,49,16.33333333
3,9,266,13,14,6,BO_183,BO_116,100,50,16.66666667
3,9,267,13,15,6,BO_149,BO_106,101,50,16.66666667
3,9,268,13,16,6,BO_32,BO_88,100,50,16.66666667
3,9,269,13,17,5,BO_194,BO_125,99,49,16.33333333
3,9,270,13,18,2,BO_022,BO_146,113,56,18.66666667
3,9,271,13,19,4,BO_73,BO_70,154,77,25.66666667
3,9,272,13,20,5,BO_58,BO_123,99,49,16.33333333
3,9,273,13,21,5,BO_58,BO_94,100,50,16.66666667
3,9,274,14,1,3,BO_163,BO_72,50,25,8.333333333
3,9,275,14,2,3,BO_39,BO_102,131,65,21.66666667
3,9,276,14,3,4,BO_33,BO_143,100,50,16.66666667
3,9,277,14,4,2,BO_130,BO_174,123,61,20.33333333
3,9,278,14,5,5,BO_109,BO_95,100,50,16.66666667
3,9,279,14,6,6,BO_201,BO_199,100,50,16.66666667
3,9,280,14,7,3,BO_163,BO_34,59,29,9.666666667
3,9,281,14,8,5,BO_188,BO_154,100,50,16.66666667
3,9,282,14,9,1,BO_151,BO_148,137,68,22.66666667
3,9,283,14,10,1,BO_101,BO_24,125,62,20.66666667
3,9,284,14,11,2,BO_029,BO_90,128,64,21.33333333
3,9,285,14,12,5,BO_143,BO_4,100,50,16.66666667
3,9,286,14,13,5,BO_168,BO_155,100,50,16.66666667
3,9,287,14,14,2,BO_187,BO_135,145,72,24
3,9,288,14,15,1,BO_106,BO_131,77,38,12.66666667
3,9,289,14,16,4,BO_33,BO_124,81,40,13.33333333
3,9,290,14,17,4,BO_192,BO_21,149,74,24.66666667
3,9,291,14,18,3,BO_198,BO_158,138,69,23
3,9,292,14,19,4,BO_74,BO_47,115,57,19
3,9,293,14,20,5,BO_5,BO_19,99,49,16.33333333
3,10,294,14,21,4,BO_74,BO_27,125,62,20.66666667
3,10,295,15,1,6,BO_69,BO_43,101,50,16.66666667
3,10,296,15,2,2,BO_038,BO_149,111,55,18.33333333
3,10,297,15,3,2,BO_199,BO_18,146,73,24.33333333
3,10,298,15,4,1,BO_101,BO_80,110,55,18.33333333
3,10,299,15,5,5,BO_194,BO_98,100,50,16.66666667
3,10,300,15,6,1,BO_088,BO_169,150,75,25
3,10,301,15,7,5,BO_162,BO_89,100,50,16.66666667
3,10,302,15,8,1,BO_185,BO_85,109,54,18
3,10,303,15,9,4,BO_170,BO_45,132,66,22
