,,,,,,Collection Date: 2022-04-13 ,,,,Collection Date: 2022-04-21 to 2022-04-22,,,,Collection Date: 2022-04-28 to 2022-04-29,,,,Collection Date: 2022-05-05,,,,Collection Date: 2022-05-11 to 2022-05-13,,,,Collection Date: 2022-05-20,,,,Collection Date: 2022-05-25 to 2022-05-27,,,,Collection Date: 2022-06-13 to 2022-06-14,,,,Collection Date: NA,,,,closed_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,Germ_Date
Transect,Sequence,Donor,Block,Recipient,Plant_ID,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,15,37,0,12,0.8,29.6,12/6/2021
4,119,BO_199,1,BO_015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
4,116,BO_022,1,BO_020,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,12/6/2021
4,118,BO_070,1,BO_046,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,12/6/2021
4,117,BO_029,1,BO_090,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,NA
4,124,BO_106,1,BO_131,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
4,122,BO_163,1,BO_144,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
4,127,BO_177,1,BO_147,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,2,4,12/6/2021
4,130,BO_130,1,BO_161,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,12/15/2021
4,128,BO_151,1,BO_167,7,,,,,,,,,,,,,,,,,,,,,,,2,6.62,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
4,132,BO_070,1,BO_184,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,0,0,12/6/2021
4,120,BO_143,1,BO_195,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,NA,NA,0,0,NA
5,143,BO_109,2,BO_001,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,4,2,6,12/6/2021
5,137,BO_096,2,BO_012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,0,0,0,12/6/2021
5,142,BO_065,2,BO_014,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
5,149,BO_119,2,BO_017,6,,,,,,,,,,,,,,,,,,,6,23.38,,,,,,,,,,,,,,,,,1,4,8,2,2,8,12/6/2021
5,138,BO_022,2,BO_020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
5,139,BO_153,2,BO_022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,NA,0,0,12/6/2021
5,161,BO_109,2,BO_028,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/15/2021
5,168,BO_187,2,BO_031,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,2,2,12,12/6/2021
5,148,BO_170,2,BO_045,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.54,,,,,,,,,3,6,0,6,2,12,12/6/2021
5,174,BO_074,2,BO_047,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
5,158,BO_119,2,BO_051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,2,0.666667,2,12/6/2021
5,135,BO_128,2,BO_060,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,NA,0,0,12/6/2021
5,136,BO_183,2,BO_063,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,12/6/2021
5,151,BO_185,2,BO_071,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,0,1,0.5,10,12/6/2021
5,153,BO_173,2,BO_079,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8.09,,,,,,,,,0,0,0,NA,0,0,12/6/2021
5,147,BO_038,2,BO_082,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4,4,4,12/15/2021
5,154,BO_185,2,BO_085,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,15,3,15,12/6/2021
