,,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-05,,,,,Collection Date: 2023-05-17,,,,,Collection Date: 2023-06-02,,,,,Collection Date: 2023-06-15,,,,,Collection Date: 2023-06-28,,,,,Collection Date: NA,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-05,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-17,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-02,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-15,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-28,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
192,6,25L,G2,X,BO_018,2,,,,,,,1,0,0,,,1,0,0,,,,,,,,,,,,,,,,,
192,6,25R,G2,X,BO_021,5,3.111857143,,,,,,4,15,15,19.62,1.308,4,7,7,34.41,4.915714286,,,,,,,,,,,,,,,
193,6,26L,G2,X,BO_190,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,6,27L,G1,-,BO_120,4,2.35,,,,,,2,2,2,4.7,2.35,,,,,,,,,,,,,,,,,,,,
194,6,27R,G1,-,BO_029,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,29R,G2,X,BO_086,2,1.455,,,,,,,,,,,1,2,2,2.91,1.455,,,,,,,,,,,,,,,
197,6,30L,G1,-,BO_019,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6,31L,G1,-,BO_161,5,4.4234375,,,,,,2,16,16,28.75,1.796875,1,4,4,28.2,7.05,,,,,,,,,,,,,,,
198,6,31R,G2,X,BO_099,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,7,1L,G2,X,BO_115,5,4.626923077,,,,,,,,,,,4,26,26,95.13,3.658846154,1,4,4,22.38,5.595,,,,,,,,,,
199,7,1R,G2,X,BO_176,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,7,2R,G2,X,BO_089,5,5.35375,,,,,,,,,,,,,,,,5,8,8,42.83,5.35375,,,,,,,,,,
201,7,3L,G1,-,BO_085,5,1.06,,,,,,,,,,,2,0,0,,,1,1,1,1.06,1.06,,,,,,,,,,
203,7,5L,G1,-,BO_050,3,2.94,,,,,,1,2,2,5.88,2.94,,,,,,,,,,,,,,,,,,,,
203,7,5R,G1,-,BO_116,1,3.534117647,,,,,,,,,,,2,17,17,60.08,3.534117647,,,,,,,,,,,,,,,
204,7,6L,G1,-,BO_155,5,4.114761905,,,,,,,,,,,6,21,21,86.41,4.114761905,,,,,,,,,,,,,,,
205,7,7L,G1,-,BO_099,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
206,7,8L,G2,X,BO_034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,7,8R,G1,-,BO_043,2,3.683076923,,,,,,,,,,,4,13,13,47.88,3.683076923,,,,,,,,,,,,,,,
207,7,9L,G1,-,BO_048,5,4.712222222,,,,,,,,,,,5,9,9,46.3,5.144444444,1,1,1,4.28,4.28,,,,,,,,,,
208,7,10L,G1,-,BO_012,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
210,7,12L,G2,X,BO_164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,7,12R,G1,-,BO_150,4,3.900386844,2,2,2,1.63,1.226993865,,,,,,3,12,12,60.41,5.034166667,2,3,3,16.32,5.44,,,,,,,,,,
211,7,13L,G2,X,BO_126,3,2.371818182,,,,,,,,,,,3,11,11,26.09,2.371818182,,,,,,,,,,,,,,,
213,7,15L,G1,-,BO_050,4,3.665,,,,,,2,2,2,7.33,3.665,,,,,,,,,,,,,,,,,,,,
213,7,15R,G1,-,BO_198,2,3.748666667,,,,,,2,0,0,,,4,15,15,56.23,3.748666667,,,,,,,,,,,,,,,
214,7,16L,G1,-,BO_094,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,7,19R,G1,-,BO_024,5,1.895,,,,,,1,6,6,11.37,1.895,,,,,,,,,,,,,,,,,,,,
218,7,20L,G1,-,BO_053,5,2.83,,,,,,,,,,,2,4,4,11.32,2.83,,,,,,,,,,,,,,,
218,7,20R,G2,X,BO_071,5,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
219,7,21L,G2,X,BO_021,4,3.09,,,,,,,,,,,1,3,3,9.27,3.09,,,,,,,,,,,,,,,
222,7,24R,G2,X,BO_164,2,3.24,,,,,,,,,,,,,,,,1,1,1,3.24,3.24,,,,,,,,,,
223,7,25R,G1,-,BO_118,1,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
224,7,26R,G1,-,BO_146,5,3.128863636,,,,,,4,11,11,20.16,1.832727273,2,4,4,17.7,4.425,,,,,,,,,,,,,,,
225,8,1R,G1,-,BO_157,4,4.604,,,,,,,,,,,3,5,5,23.02,4.604,,,,,,,,,,,,,,,
226,8,2R,G2,X,BO_080,3,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
227,8,3L,G2,X,BO_027,5,7.066666667,,,,,,,,,,,1,0,0,,,2,3,3,21.2,7.066666667,1,0,0,,,,,,,
228,8,4L,G2,X,BO_008,1,0.841666667,,,,,,2,12,12,10.1,0.841666667,1,0,0,,,,,,,,,,,,,,,,,
228,8,4R,G1,-,BO_087,1,2.883452381,,,,,,2,2,2,5.97,2.985,2,7,7,26.9,3.842857143,2,4,4,7.29,1.8225,,,,,,,,,,
229,8,5L,G1,-,BO_027,3,4.525,,,,,,1,4,4,18.1,4.525,,,,,,,,,,,,,,,,,,,,
229,8,5R,G2,X,BO_169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,8,6L,G1,-,BO_122,1,3.708888889,,,,,,3,9,9,33.38,3.708888889,,,,,,,,,,,,,,,,,,,,
230,8,6R,G1,-,BO_115,2,4.3525,,,,,,,,,,,2,4,4,17.41,4.3525,,,,,,,,,,,,,,,
231,8,7L,G2,X,BO_169,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,8,7R,G1,-,BO_122,2,2.357692308,,,,,,3,13,13,30.65,2.357692308,,,,,,,,,,,,,,,,,,,,
232,8,8L,G2,X,BO_056,2,2.68,,,,,,,,,,,2,1,1,2.68,2.68,,,,,,,,,,,,,,,
233,8,9L,G1,-,BO_082,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,8,9R,G1,-,BO_028,2,3.37,,,,,,2,1,1,3.37,3.37,,,,,,,,,,,,,,,,,,,,
234,8,10L,G1,-,BO_140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,8,11L,G2,X,BO_090,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,8,11R,G1,-,BO_069,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,8,12R,G2,X,BO_090,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,8,13L,G1,-,BO_164,5,2.261666667,,,,,,,,,,,1,6,6,13.57,2.261666667,,,,,,,,,,,,,,,
238,8,14R,G1,-,BO_044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,8,15R,G1,-,BO_079,2,5.0675,,,,,,2,0,0,,,3,4,4,20.27,5.0675,,,,,,,,,,,,,,,
240,8,16L,G1,-,BO_090,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
241,8,17L,G1,-,BO_149,1,3.821666667,,,,,,1,0,0,,,3,6,6,22.93,3.821666667,,,,,,,,,,,,,,,
242,8,18R,G1,-,BO_027,3,3.055619048,,,,,,6,15,15,33.74,2.249333333,4,21,21,81.1,3.861904762,,,,,,,,,,,,,,,
243,8,19L,G1,-,BO_072,4,3.173125,,,,,,1,8,8,12.77,1.59625,1,2,2,9.5,4.75,,,,,,,,,,,,,,,
243,8,19R,G2,X,BO_152,5,4.9825,,,,,,,,,,,2,4,4,19.93,4.9825,,,,,,,,,,,,,,,
244,8,20L,G1,-,BO_008,3,5.305,,,,,,3,2,2,8.85,4.425,2,2,2,12.37,6.185,,,,,,,,,,,,,,,
244,8,20R,G2,X,BO_137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,8,21L,G1,-,BO_008,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,8,21R,G1,-,BO_091,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,8,23L,G2,X,BO_149,5,3.11,,,,,,2,0,0,,,1,2,2,6.22,3.11,,,,,,,,,,,,,,,
248,8,24L,G2,X,BO_152,2,4.573333333,,,,,,1,0,0,,,2,6,6,27.44,4.573333333,,,,,,,,,,,,,,,
