Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
57,2,21L,G1,-,AC_181,1,,,,,,,,,,,,,,,,,,,,,,,,
57,2,21R,G2,X,AC_131,5,,,,,,,,,,,,,,,,,,,,,,,,
58,2,22L,G1,-,AC_032,3,,,,,,,,,,,,,,,,,,,,,,,,
58,2,22R,G1,-,AC_109,2,,,,,,,,,,,,,,,,,,,,,,,,
59,2,23L,G1,-,AC_055,3,,,,,,,,,,,,,,,,,,,,,,,,
59,2,23R,G1,-,AC_154,1,,,,,,,,,,,,,,,,,,,,,,,,
60,2,24L,G2,X,AC_128,5,,,,,,,,,,,,,,,,,,,,,,,,
61,2,25L,G1,-,AC_154,4,,,,,,,,,,,,,,,,,,,,,,,,
61,2,25R,G1,-,AC_122,1,,,,,,,,,,,,,,,,,,,,,,,,
62,2,26L,G1,-,AC_133,3,,,,,,,,,,,,,,,,,,,,,,,,
62,2,26R,G1,-,AC_197,4,,,,,,,,,,,,,,,,,,,,,,,,
63,2,27L,G2,X,AC_058,4,,,,,,,,,,,,,,,,,,,,,,,,
63,2,27R,G1,-,AC_014,5,,,,,,,,,,,,,,,,,,,,,,,,
64,2,28L,G2,X,AC_054,5,,,,,,,,,,,,,,,,,,,,,,,,
64,2,28R,G2,X,AC_133,2,,,,,,,,,,,,,,,,,,,,,,,,
65,2,29L,G1,-,AC_107,2,,,,,,,,,,,,,,,,,,,,,,,,
65,2,29R,G2,X,AC_046,3,,,,,,,,,,,,,,,,,,,,,,,,
66,2,30L,G1,-,AC_088,3,,,,,,,,,,,,,,,,,,,,,,,,
66,2,30R,G2,X,AC_114,2,,,,,,,,,,,,,,,,,,,,,,,,
67,2,31L,G2,X,AC_200,2,,,,,,,,,,,,,,,,,,,,,,,,
67,2,31R,G2,X,AC_203,5,,,,,,,,,,,,,,,,,,,,,,,,
68,2,32L,G2,X,AC_074,4,,,,,,,,,,,,,,,,,,,,,,,,
68,2,32R,G1,-,AC_046,3,,,,,,,,,,,,,,,,,,,,,,,,
69,2,33L,G1,-,AC_187,4,,,,,,,,,,,,,,,,,,,,,,,,
69,2,33R,G1,-,AC_182,2,,,,,,,,,,,,,,,,,,,,,,,,
70,2,34L,G2,X,AC_095,5,,,,,,,,,,,,,,,,,,,,,,,,
70,2,34R,G2,X,AC_092,2,,,,,,,,,,,,,,,,,,,,,,,,
71,2,35L,G2,X,AC_205,4,,,,,,,,,,,,,,,,,,,,,,,,
72,2,36L,G1,-,AC_158,2,,,,,,,,,,,,,,,,,,,,,,,,
72,2,36R,G2,X,AC_048,4,,,,,,,,,,,,,,,,,,,,,,,,
73,3,1L,G1,-,AC_052,3,,,,,,,,,,,,,,,,,,,,,,,,
73,3,1R,G2,X,AC_113,2,,,,,,,,,,,,,,,,,,,,,,,,
74,3,2L,G1,-,AC_215,1,,,,,,,,,,,,,,,,,,,,,,,,
74,3,2R,G1,-,AC_038,3,,,,,,,,,,,,,,,,,,,,,,,,
75,3,3L,G2,X,AC_089,3,,,,,,,,,,,,,,,,,,,,,,,,
75,3,3R,G1,-,AC_190,2,,,,,,,,,,,,,,,,,,,,,,,,
76,3,4L,G2,X,AC_197,2,,,,,,,,,,,,,,,,,,,,,,,,
76,3,4R,G1,-,AC_057,1,,,,,,,,,,,,,,,,,,,,,,,,
77,3,5L,G2,X,AC_197,1,,,,,,,,,,,,,,,,,,,,,,,,
78,3,6L,G1,-,AC_082,4,,,,,,,,,,,,,,,,,,,,,,,,
78,3,6R,G2,X,AC_096,2,,,,,,,,,,,,,,,,,,,,,,,,
79,3,7L,G1,-,AC_099,5,,,,,,,,,,,,,,,,,,,,,,,,
79,3,7R,G2,X,AC_154,3,,,,,,,,,,,,,,,,,,,,,,,,
80,3,8L,G1,-,AC_010,1,,,,,,,,,,,,,,,,,,,,,,,,
80,3,8R,G2,X,AC_181,3,,,,,,,,,,,,,,,,,,,,,,,,
81,3,9L,G1,-,AC_005,1,,,,,,,,,,,,,,,,,,,,,,,,
81,3,9R,G1,-,AC_187,1,,,,,,,,,,,,,,,,,,,,,,,,
82,3,10L,G1,-,AC_094,3,,,,,,,,,,,,,,,,,,,,,,,,
82,3,10R,G2,X,AC_190,4,,,,,,,,,,,,,,,,,,,,,,,,
83,3,11L,G2,X,AC_148,2,,,,,,,,,,,,,,,,,,,,,,,,
83,3,11R,G1,-,AC_096,1,,,,,,,,,,,,,,,,,,,,,,,,
84,3,12L,G2,X,AC_068,5,,,,,,,,,,,,,,,,,,,,,,,,
84,3,12R,G1,-,AC_057,4,,,,,,,,,,,,,,,,,,,,,,,,
85,3,13L,G2,X,AC_064,5,,,,,,,,,,,,,,,,,,,,,,,,
85,3,13R,G2,X,AC_100,3,,,,,,,,,,,,,,,,,,,,,,,,
86,3,14L,G2,X,AC_075,3,,,,,,,,,,,,,,,,,,,,,,,,
86,3,14R,G2,X,AC_185,2,,,,,,,,,,,,,,,,,,,,,,,,
87,3,15R,G2,X,AC_088,1,,,,,,,,,,,,,,,,,,,,,,,,
88,3,16L,G2,X,AC_114,3,,,,,,,,,,,,,,,,,,,,,,,,
88,3,16R,G1,-,AC_144,5,,,,,,,,,,,,,,,,,,,,,,,,
89,3,17L,G1,-,AC_122,2,,,,,,,,,,,,,,,,,,,,,,,,
89,3,17R,G1,-,AC_159,3,,,,,,,,,,,,,,,,,,,,,,,,
90,3,18L,G2,X,AC_068,5,,,,,,,,,,,,,,,,,,,,,,,,
90,3,18R,G1,-,AC_064,4,,,,,,,,,,,,,,,,,,,,,,,,
91,3,19L,G1,-,AC_215,2,,,,,,,,,,,,,,,,,,,,,,,,
91,3,19R,G2,X,AC_099,5,,,,,,,,,,,,,,,,,,,,,,,,
92,3,20L,G1,-,AC_016,5,,,,,,,,,,,,,,,,,,,,,,,,
92,3,20R,G1,-,AC_038,4,,,,,,,,,,,,,,,,,,,,,,,,
93,3,21L,G1,-,AC_215,2,,,,,,,,,,,,,,,,,,,,,,,,
93,3,21R,G1,-,AC_199,5,,,,,,,,,,,,,,,,,,,,,,,,
94,3,22L,G2,X,AC_206,1,,,,,,,,,,,,,,,,,,,,,,,,
94,3,22R,G1,-,AC_190,1,,,,,,,,,,,,,,,,,,,,,,,,
95,3,23L,G2,X,AC_038,4,,,,,,,,,,,,,,,,,,,,,,,,
95,3,23R,G1,-,AC_199,1,,,,,,,,,,,,,,,,,,,,,,,,
96,3,24L,G1,-,AC_032,5,,,,,,,,,,,,,,,,,,,,,,,,
96,3,24R,G1,-,AC_211,5,,,,,,,,,,,,,,,,,,,,,,,,
97,3,25L,G1,-,AC_181,5,,,,,,,,,,,,,,,,,,,,,,,,
97,3,25R,G1,-,AC_186,4,,,,,,,,,,,,,,,,,,,,,,,,
98,3,26L,G1,-,AC_046,4,,,,,,,,,,,,,,,,,,,,,,,,
98,3,26R,G1,-,AC_016,4,,,,,,,,,,,,,,,,,,,,,,,,
99,3,27L,G1,-,AC_136,2,,,,,,,,,,,,,,,,,,,,,,,,
99,3,27R,G2,X,AC_179,5,,,,,,,,,,,,,,,,,,,,,,,,
100,3,28L,G2,X,AC_081,2,,,,,,,,,,,,,,,,,,,,,,,,
101,3,29L,G1,-,AC_191,2,,,,,,,,,,,,,,,,,,,,,,,,
101,3,29R,G2,X,AC_213,2,,,,,,,,,,,,,,,,,,,,,,,,
102,3,30L,G2,X,AC_144,5,,,,,,,,,,,,,,,,,,,,,,,,
102,3,30R,G2,X,AC_154,3,,,,,,,,,,,,,,,,,,,,,,,,
103,3,31L,G2,X,AC_015,2,,,,,,,,,,,,,,,,,,,,,,,,
103,3,31R,G2,X,AC_171,3,,,,,,,,,,,,,,,,,,,,,,,,
104,3,32L,G1,-,AC_051,5,,,,,,,,,,,,,,,,,,,,,,,,
104,3,32R,G1,-,AC_197,4,,,,,,,,,,,,,,,,,,,,,,,,
105,3,33L,G2,X,AC_058,5,,,,,,,,,,,,,,,,,,,,,,,,
105,3,33R,G1,-,AC_111,4,,,,,,,,,,,,,,,,,,,,,,,,
106,3,34R,G1,-,AC_190,5,,,,,,,,,,,,,,,,,,,,,,,,
107,3,35L,G2,X,AC_034,3,,,,,,,,,,,,,,,,,,,,,,,,
107,3,35R,G2,X,AC_074,4,,,,,,,,,,,,,,,,,,,,,,,,
108,4,1L,G2,X,AC_111,3,,,,,,,,,,,,,,,,,,,,,,,,
108,4,1R,G2,X,AC_187,4,,,,,,,,,,,,,,,,,,,,,,,,
109,4,2L,G2,X,AC_046,3,,,,,,,,,,,,,,,,,,,,,,,,
109,4,2R,G1,-,AC_096,3,,,,,,,,,,,,,,,,,,,,,,,,
110,4,3L,G2,X,AC_055,5,,,,,,,,,,,,,,,,,,,,,,,,
110,4,3R,G1,-,AC_011,2,,,,,,,,,,,,,,,,,,,,,,,,
111,4,4L,G1,-,AC_104,5,,,,,,,,,,,,,,,,,,,,,,,,
111,4,4R,G2,X,AC_107,1,,,,,,,,,,,,,,,,,,,,,,,,
112,4,5L,G2,X,AC_178,4,,,,,,,,,,,,,,,,,,,,,,,,
112,4,5R,G1,-,AC_201,2,,,,,,,,,,,,,,,,,,,,,,,,
113,4,6L,G1,-,AC_179,4,,,,,,,,,,,,,,,,,,,,,,,,
113,4,6R,G2,X,AC_109,1,,,,,,,,,,,,,,,,,,,,,,,,
114,4,7L,G2,X,AC_014,4,,,,,,,,,,,,,,,,,,,,,,,,
114,4,7R,G1,-,AC_136,2,,,,,,,,,,,,,,,,,,,,,,,,
115,4,8L,G1,-,AC_168,2,,,,,,,,,,,,,,,,,,,,,,,,
115,4,8R,G2,X,AC_057,2,,,,,,,,,,,,,,,,,,,,,,,,
116,4,9L,G1,-,AC_147,1,,,,,,,,,,,,,,,,,,,,,,,,
116,4,9R,G1,-,AC_186,2,,,,,,,,,,,,,,,,,,,,,,,,
117,4,10L,G2,X,AC_083,1,,,,,,,,,,,,,,,,,,,,,,,,
117,4,10R,G2,X,AC_110,3,,,,,,,,,,,,,,,,,,,,,,,,
118,4,11L,G1,-,AC_058,3,,,,,,,,,,,,,,,,,,,,,,,,
118,4,11R,G2,X,AC_204,3,,,,,,,,,,,,,,,,,,,,,,,,
119,4,12L,G2,X,AC_054,5,,,,,,,,,,,,,,,,,,,,,,,,
119,4,12R,G1,-,AC_128,3,,,,,,,,,,,,,,,,,,,,,,,,
120,4,13L,G1,-,AC_168,4,,,,,,,,,,,,,,,,,,,,,,,,
120,4,13R,G2,X,AC_070,4,,,,,,,,,,,,,,,,,,,,,,,,
121,4,14L,G2,X,AC_072,3,,,,,,,,,,,,,,,,,,,,,,,,
121,4,14R,G2,X,AC_151,4,,,,,,,,,,,,,,,,,,,,,,,,
122,4,15L,G2,X,AC_099,3,,,,,,,,,,,,,,,,,,,,,,,,
123,4,16L,G1,-,AC_048,3,,,,,,,,,,,,,,,,,,,,,,,,
123,4,16R,G1,-,AC_160,5,,,,,,,,,,,,,,,,,,,,,,,,
124,4,17L,G1,-,AC_068,3,,,,,,,,,,,,,,,,,,,,,,,,
124,4,17R,G2,X,AC_109,3,,,,,,,,,,,,,,,,,,,,,,,,
125,4,18L,G2,X,AC_011,4,,,,,,,,,,,,,,,,,,,,,,,,
125,4,18R,G1,-,AC_088,4,,,,,,,,,,,,,,,,,,,,,,,,
126,4,19L,G2,X,AC_055,3,,,,,,,,,,,,,,,,,,,,,,,,
126,4,19R,G1,-,AC_017,3,,,,,,,,,,,,,,,,,,,,,,,,
127,4,20L,G1,-,AC_203,1,,,,,,,,,,,,,,,,,,,,,,,,
127,4,20R,G2,X,AC_030,3,,,,,,,,,,,,,,,,,,,,,,,,
128,4,21L,G2,X,AC_160,2,,,,,,,,,,,,,,,,,,,,,,,,
128,4,21R,G2,X,AC_195,4,,,,,,,,,,,,,,,,,,,,,,,,
