Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
2,26,62,R,G1,-,AC_197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,63,L,G2,X,AC_058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,63,R,G1,-,AC_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,64,L,G2,X,AC_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,64,R,G2,X,AC_133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,65,L,G1,-,AC_107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,65,R,G2,X,AC_046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,66,L,G1,-,AC_088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,66,R,G2,X,AC_114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,67,L,G2,X,AC_200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,67,R,G2,X,AC_203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32,68,L,G2,X,AC_074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32,68,R,G1,-,AC_046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33,69,L,G1,-,AC_187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33,69,R,G1,-,AC_182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,70,L,G2,X,AC_095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,70,R,G2,X,AC_092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35,71,L,G2,X,AC_205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35,71,R,G2,X,AC_186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,72,L,G1,-,AC_158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,72,R,G2,X,AC_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,73,L,G1,-,AC_052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,73,R,G2,X,AC_113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,74,L,G1,-,AC_215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,74,R,G1,-,AC_038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
