Location,Seg,Gen,GenSym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
30,90L,G1,-,BB_074,2,,,,,,,,,,,,,,,,,,,,,,,,
30,90R,G1,-,BB_084,4,,,,,,,,,,,,,,,,,,,,,,,,
31,91L,G1,-,BB_020,5,,,,,,,,,,,,,,,,,,,,,,,,
31,91R,G1,-,BB_094,2,,,,,,,,,,,,,,,,,,,,,,,,
31,92L,G2,X,BB_019,3,,,,,,,,,,,,,,,,,,,,,,,,
31,92R,G2,X,BB_145,2,,,,,,,,,,,,,,,,,,,,,,,,
31,93R,G2,X,BB_138,4,,,,,,,,,,,,,,,,,,,,,,,,
32,94L,G2,X,BB_039,1,,,,,,,,,,,,,,,,,,,,,,,,
32,94R,G1,-,BB_119,2,,,,,,,,,,,,,,,,,,,,,,,,
32,95R,G1,-,BB_151,3,,,,,,,,,,,,,,,,,,,,,,,,
32,96L,G1,-,BB_044,4,,,,,,,,,,,,,,,,,,,,,,,,
32,96R,G2,X,BB_207,2,,,,,,,,,,,,,,,,,,,,,,,,
33,97L,G1,-,BB_078,3,,,,,,,,,,,,,,,,,,,,,,,,
33,97R,G1,-,BB_163,4,,,,,,,,,,,,,,,,,,,,,,,,
33,98R,G1,-,BB_192,5,,,,,,,,,,,,,,,,,,,,,,,,
34,100L,G1,-,BB_049,5,,,,,,,,,,,,,,,,,,,,,,,,
34,100R,G2,X,BB_135,2,,,,,,,,,,,,,,,,,,,,,,,,
34,101L,G1,-,BB_004,4,,,,,,,,,,,,,,,,,,,,,,,,
34,101R,G2,X,BB_210,2,,,,,,,,,,,,,,,,,,,,,,,,
34,102L,G1,-,BB_037,2,,,,,,,,,,,,,,,,,,,,,,,,
34,102R,G1,-,BB_201,1,,,,,,,,,,,,,,,,,,,,,,,,
35,103L,G2,X,BB_021,2,,,,,,,,,,,,,,,,,,,,,,,,
35,103R,G2,X,BB_148,3,,,,,,,,,,,,,,,,,,,,,,,,
35,104L,G1,-,BB_119,4,,,,,,,,,,,,,,,,,,,,,,,,
35,104R,G1,-,BB_019,4,,,,,,,,,,,,,,,,,,,,,,,,
35,105L,G2,X,BB_046,5,,,,,,,,,,,,,,,,,,,,,,,,
35,105R,G1,-,BB_008,1,,,,,,,,,,,,,,,,,,,,,,,,
36,106L,G2,X,BB_185,3,,,,,,,,,,,,,,,,,,,,,,,,
36,106R,G1,-,BB_046,3,,,,,,,,,,,,,,,,,,,,,,,,
36,107L,G1,-,BB_010,1,,,,,,,,,,,,,,,,,,,,,,,,
36,107R,G1,-,BB_159,3,,,,,,,,,,,,,,,,,,,,,,,,
36,108L,G2,X,BB_101,3,,,,,,,,,,,,,,,,,,,,,,,,
36,108R,G1,-,BB_154,1,,,,,,,,,,,,,,,,,,,,,,,,
37,109L,G1,-,BB_158,2,,,,,,,,,,,,,,,,,,,,,,,,
37,109R,G1,-,BB_018,3,,,,,,,,,,,,,,,,,,,,,,,,
37,110L,G2,X,BB_153,5,,,,,,,,,,,,,,,,,,,,,,,,
37,110R,G1,-,BB_077,5,,,,,,,,,,,,,,,,,,,,,,,,
37,111L,G1,-,BB_205,4,,,,,,,,,,,,,,,,,,,,,,,,
37,111R,G2,X,BB_121,5,,,,,,,,,,,,,,,,,,,,,,,,
38,112L,G1,-,BB_063,2,,,,,,,,,,,,,,,,,,,,,,,,
38,112R,G1,-,BB_087,5,,,,,,,,,,,,,,,,,,,,,,,,
38,114L,G1,-,BB_089,5,,,,,,,,,,,,,,,,,,,,,,,,
38,114R,G1,-,BB_116,3,,,,,,,,,,,,,,,,,,,,,,,,
39,115L,G1,-,BB_088,2,,,,,,,,,,,,,,,,,,,,,,,,
39,115R,G1,-,BB_133,4,,,,,,,,,,,,,,,,,,,,,,,,
39,116L,G1,-,BB_034,2,,,,,,,,,,,,,,,,,,,,,,,,
39,116R,G1,-,BB_046,4,,,,,,,,,,,,,,,,,,,,,,,,
39,117L,G1,-,BB_039,5,,,,,,,,,,,,,,,,,,,,,,,,
39,117R,G1,-,BB_164,3,,,,,,,,,,,,,,,,,,,,,,,,
40,118L,G2,X,BB_029,5,,,,,,,,,,,,,,,,,,,,,,,,
40,118R,G1,-,BB_025,4,,,,,,,,,,,,,,,,,,,,,,,,
40,119L,G2,X,BB_051,1,,,,,,,,,,,,,,,,,,,,,,,,
40,119R,G1,-,BB_021,3,,,,,,,,,,,,,,,,,,,,,,,,
40,120L,G1,-,BB_054,2,,,,,,,,,,,,,,,,,,,,,,,,
40,120R,G1,-,BB_183,5,,,,,,,,,,,,,,,,,,,,,,,,
41,121L,G1,-,BB_189,3,,,,,,,,,,,,,,,,,,,,,,,,
41,121R,G2,X,BB_132,2,,,,,,,,,,,,,,,,,,,,,,,,
41,122L,G1,-,BB_187,5,,,,,,,,,,,,,,,,,,,,,,,,
41,122R,G2,X,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,
41,123L,G1,-,BB_113,4,,,,,,,,,,,,,,,,,,,,,,,,
41,123R,G1,-,BB_080,2,,,,,,,,,,,,,,,,,,,,,,,,
42,124L,G1,-,BB_151,5,,,,,,,,,,,,,,,,,,,,,,,,
42,125L,G1,-,BB_149,1,,,,,,,,,,,,,,,,,,,,,,,,
42,125R,G2,X,BB_109,1,,,,,,,,,,,,,,,,,,,,,,,,
42,126R,G2,X,BB_189,2,,,,,,,,,,,,,,,,,,,,,,,,
43,127L,G1,-,BB_120,5,,,,,,,,,,,,,,,,,,,,,,,,
43,127R,G1,-,BB_039,2,,,,,,,,,,,,,,,,,,,,,,,,
43,128L,G1,-,BB_010,3,,,,,,,,,,,,,,,,,,,,,,,,
43,128R,G1,-,BB_206,1,,,,,,,,,,,,,,,,,,,,,,,,
43,129L,G1,-,BB_040,2,,,,,,,,,,,,,,,,,,,,,,,,
43,129R,G1,-,BB_089,1,,,,,,,,,,,,,,,,,,,,,,,,
44,130L,G1,-,BB_027,2,,,,,,,,,,,,,,,,,,,,,,,,
44,130R,G1,-,BB_152,1,,,,,,,,,,,,,,,,,,,,,,,,
44,131L,G1,-,BB_138,5,,,,,,,,,,,,,,,,,,,,,,,,
44,131R,G1,-,BB_114,1,,,,,,,,,,,,,,,,,,,,,,,,
44,132L,G2,X,BB_148,1,,,,,,,,,,,,,,,,,,,,,,,,
44,132R,G1,-,BB_199,1,,,,,,,,,,,,,,,,,,,,,,,,
45,133L,G2,X,BB_053,1,,,,,,,,,,,,,,,,,,,,,,,,
45,133R,G2,X,BB_039,5,,,,,,,,,,,,,,,,,,,,,,,,
45,134L,G1,-,BB_200,1,,,,,,,,,,,,,,,,,,,,,,,,
45,134R,G1,-,BB_110,5,,,,,,,,,,,,,,,,,,,,,,,,
45,135L,G2,X,BB_135,1,,,,,,,,,,,,,,,,,,,,,,,,
45,135R,G2,X,BB_013,4,,,,,,,,,,,,,,,,,,,,,,,,
46,136L,G2,X,BB_088,3,,,,,,,,,,,,,,,,,,,,,,,,
46,137L,G2,X,BB_193,4,,,,,,,,,,,,,,,,,,,,,,,,
46,137R,G1,-,BB_109,4,,,,,,,,,,,,,,,,,,,,,,,,
46,138L,G1,-,BB_137,2,,,,,,,,,,,,,,,,,,,,,,,,
46,138R,G1,-,BB_117,4,,,,,,,,,,,,,,,,,,,,,,,,
47,139L,G1,-,BB_209,2,,,,,,,,,,,,,,,,,,,,,,,,
47,139R,G2,X,BB_105,1,,,,,,,,,,,,,,,,,,,,,,,,
47,140L,G2,X,BB_134,2,,,,,,,,,,,,,,,,,,,,,,,,
47,140R,G1,-,BB_186,1,,,,,,,,,,,,,,,,,,,,,,,,
47,141L,G1,-,BB_134,3,,,,,,,,,,,,,,,,,,,,,,,,
47,141R,G2,X,BB_138,4,,,,,,,,,,,,,,,,,,,,,,,,
48,142R,G2,X,BB_200,5,,,,,,,,,,,,,,,,,,,,,,,,
48,143L,G1,-,BB_045,3,,,,,,,,,,,,,,,,,,,,,,,,
48,143R,G1,-,BB_009,3,,,,,,,,,,,,,,,,,,,,,,,,
48,144L,G1,-,BB_054,4,,,,,,,,,,,,,,,,,,,,,,,,
49,145L,G1,-,BB_043,1,,,,,,,,,,,,,,,,,,,,,,,,
49,146L,G1,-,BB_085,4,,,,,,,,,,,,,,,,,,,,,,,,
49,147L,G1,-,BB_208,3,,,,,,,,,,,,,,,,,,,,,,,,
49,147R,G2,X,BB_054,3,,,,,,,,,,,,,,,,,,,,,,,,
50,148L,G1,-,BB_145,2,,,,,,,,,,,,,,,,,,,,,,,,
50,148R,G2,X,BB_146,5,,,,,,,,,,,,,,,,,,,,,,,,
50,149L,G1,-,BB_126,1,,,,,,,,,,,,,,,,,,,,,,,,
50,149R,G2,X,BB_157,2,,,,,,,,,,,,,,,,,,,,,,,,
50,150L,G1,-,BB_059,1,,,,,,,,,,,,,,,,,,,,,,,,
51,151L,G1,-,BB_044,3,,,,,,,,,,,,,,,,,,,,,,,,
51,151R,G2,X,BB_189,3,,,,,,,,,,,,,,,,,,,,,,,,
51,152R,G2,X,BB_088,5,,,,,,,,,,,,,,,,,,,,,,,,
51,153L,G1,-,BB_002,1,,,,,,,,,,,,,,,,,,,,,,,,
51,153R,G1,-,BB_145,3,,,,,,,,,,,,,,,,,,,,,,,,
52,154R,G2,X,BB_111,1,,,,,,,,,,,,,,,,,,,,,,,,
52,155L,G2,X,BB_206,4,,,,,,,,,,,,,,,,,,,,,,,,
52,155R,G1,-,BB_143,5,,,,,,,,,,,,,,,,,,,,,,,,
52,156L,G2,X,BB_190,3,,,,,,,,,,,,,,,,,,,,,,,,
52,156R,G1,-,BB_007,5,,,,,,,,,,,,,,,,,,,,,,,,
53,157L,G2,X,BB_020,4,,,,,,,,,,,,,,,,,,,,,,,,
53,158L,G2,X,BB_116,2,,,,,,,,,,,,,,,,,,,,,,,,
53,158R,G1,-,BB_192,2,,,,,,,,,,,,,,,,,,,,,,,,
53,159L,G1,-,BB_104,1,,,,,,,,,,,,,,,,,,,,,,,,
53,159R,G1,-,BB_146,2,,,,,,,,,,,,,,,,,,,,,,,,
54,160L,G1,-,BB_064,5,,,,,,,,,,,,,,,,,,,,,,,,
54,160R,G2,X,BB_114,4,,,,,,,,,,,,,,,,,,,,,,,,
54,161L,G2,X,BB_060,2,,,,,,,,,,,,,,,,,,,,,,,,
54,161R,G1,-,BB_037,3,,,,,,,,,,,,,,,,,,,,,,,,
54,162L,G1,-,BB_101,5,,,,,,,,,,,,,,,,,,,,,,,,
54,162R,G1,-,BB_048,4,,,,,,,,,,,,,,,,,,,,,,,,
55,163L,G1,-,BB_211,5,,,,,,,,,,,,,,,,,,,,,,,,
55,163R,G1,-,BB_114,2,,,,,,,,,,,,,,,,,,,,,,,,
55,164L,G2,X,BB_143,4,,,,,,,,,,,,,,,,,,,,,,,,
55,164R,G1,-,BB_079,3,,,,,,,,,,,,,,,,,,,,,,,,
55,165R,G1,-,BB_092,2,,,,,,,,,,,,,,,,,,,,,,,,
56,166L,G1,-,BB_074,3,,,,,,,,,,,,,,,,,,,,,,,,
56,167L,G2,X,BB_131,1,,,,,,,,,,,,,,,,,,,,,,,,
56,167R,G1,-,BB_059,3,,,,,,,,,,,,,,,,,,,,,,,,
56,168L,G1,-,BB_109,3,,,,,,,,,,,,,,,,,,,,,,,,
56,168R,G1,-,BB_030,1,,,,,,,,,,,,,,,,,,,,,,,,
57,169L,G2,X,BB_103,1,,,,,,,,,,,,,,,,,,,,,,,,
57,169R,G2,X,BB_117,1,,,,,,,,,,,,,,,,,,,,,,,,
57,170L,G1,-,BB_117,3,,,,,,,,,,,,,,,,,,,,,,,,
57,170R,G2,X,BB_076,5,,,,,,,,,,,,,,,,,,,,,,,,
57,171L,G1,-,BB_118,3,,,,,,,,,,,,,,,,,,,,,,,,
57,171R,G1,-,BB_030,4,,,,,,,,,,,,,,,,,,,,,,,,
58,172L,G1,-,BB_211,4,,,,,,,,,,,,,,,,,,,,,,,,
58,172R,G1,-,BB_056,1,,,,,,,,,,,,,,,,,,,,,,,,
58,173L,G1,-,BB_093,2,,,,,,,,,,,,,,,,,,,,,,,,
58,173R,G2,X,BB_145,4,,,,,,,,,,,,,,,,,,,,,,,,
58,174L,G2,X,BB_045,4,,,,,,,,,,,,,,,,,,,,,,,,
58,174R,G1,-,BB_027,4,,,,,,,,,,,,,,,,,,,,,,,,
59,175L,G2,X,BB_166,4,,,,,,,,,,,,,,,,,,,,,,,,
59,175R,G1,-,BB_013,1,,,,,,,,,,,,,,,,,,,,,,,,
