Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
210,7,12L,G2,X,BO_164,1,,,,,,,,,,,,,,,,,,,,,,,,
210,7,12R,G1,-,BO_150,4,,,,,,,,,,,,,,,,,,,,,,,,
211,7,13L,G2,X,BO_126,3,,,,,,,,,,,,,,,,,,,,,,,,
213,7,15L,G1,-,BO_050,4,,,,,,,,,,,,,,,,,,,,,,,,
213,7,15R,G1,-,BO_198,2,,,,,,,,,,,,,,,,,,,,,,,,
214,7,16L,G1,-,BO_094,3,,,,,,,,,,,,,,,,,,,,,,,,
217,7,19R,G1,-,BO_024,5,,,,,,,,,,,,,,,,,,,,,,,,
218,7,20L,G1,-,BO_053,5,,,,,,,,,,,,,,,,,,,,,,,,
218,7,20R,G2,X,BO_071,5,,,,,,,,,,,,,,,,,,,,,,,,
219,7,21L,G2,X,BO_021,4,,,,,,,,,,,,,,,,,,,,,,,,
222,7,24R,G2,X,BO_164,2,,,,,,,,,,,,,,,,,,,,,,,,
223,7,25R,G1,-,BO_118,1,,,,,,,,,,,,,,,,,,,,,,,,
224,7,26R,G1,-,BO_146,5,,,,,,,,,,,,,,,,,,,,,,,,
225,8,1R,G1,-,BO_157,4,,,,,,,,,,,,,,,,,,,,,,,,
226,8,2R,G2,X,BO_080,3,,,,,,,,,,,,,,,,,,,,,,,,
227,8,3L,G2,X,BO_027,5,,,,,,,,,,,,,,,,,,,,,,,,
228,8,4L,G2,X,BO_008,1,,,,,,,,,,,,,,,,,,,,,,,,
228,8,4R,G1,-,BO_087,1,,,,,,,,,,,,,,,,,,,,,,,,
229,8,5L,G1,-,BO_027,3,,,,,,,,,,,,,,,,,,,,,,,,
229,8,5R,G2,X,BO_169,1,,,,,,,,,,,,,,,,,,,,,,,,
230,8,6L,G1,-,BO_122,1,,,,,,,,,,,,,,,,,,,,,,,,
230,8,6R,G1,-,BO_115,2,,,,,,,,,,,,,,,,,,,,,,,,
231,8,7L,G2,X,BO_169,3,,,,,,,,,,,,,,,,,,,,,,,,
231,8,7R,G1,-,BO_122,2,,,,,,,,,,,,,,,,,,,,,,,,
232,8,8L,G2,X,BO_056,2,,,,,,,,,,,,,,,,,,,,,,,,
233,8,9L,G1,-,BO_082,2,,,,,,,,,,,,,,,,,,,,,,,,
233,8,9R,G1,-,BO_028,2,,,,,,,,,,,,,,,,,,,,,,,,
234,8,10L,G1,-,BO_140,1,,,,,,,,,,,,,,,,,,,,,,,,
