Site: Bodega Bay 2022-23,,,,,,,,,
Tray,Point,Row,Positions 1-5 (left),,Positions 6-10 (right),,Pt. Latitude,Pt. Longitude,
,76,16,G2,BB_029,G1,BB_131,38.31422,-123.0698,-123.0698
,,17,G2,BB_179,G1,BB_153,,,
,,18,G1,BB_209,G1,BB_127,,,
,77,19,G2,BB_150,G1,BB_116,38.31425,-123.06976,-123.06976
,,20,G1,BB_58,G1,BB_116,,,
,,21,G2,BB_147,G2,BB_193,,,
Tray 12,78,1,G1,BB_78,G2,BB_109,38.31422,-123.06963,-123.06963
,,2,G2,BB_146,G1,BB_135,,,
,,3,G1,BB_87,G2,BB_101,,,
,79,4,G1,BB_77,G1,BB_131,38.31424,-123.06959,-123.06959
,,5,G1,BB_45,G1,BB_158,,,
,,6,G1,BB_95,G1,BB_186,,,
,80,7,G2,BB_214,G2,BB_123,38.31424,-123.0656,-123.0656
,,8,G1,BB_3,G1,BB_204,,,
,,9,G2,BB_092,G2,BB_151,,,
,81,10,G2,BB_079,G1,BB_170,38.31419,-123.06956,-123.06956
,,11,G1,BB_193,G1,BB_71,,,
,,12,G1,BB_49,G2,BB_053,,,
,82,13,G1,BB_170,G1,BB_60,38.31419,-123.06951,-123.06951
,,14,G1,BB_40,G1,BB_53,,,
,,15,G2,BB_215,G2,BB_103,,,
,83,16,G1,BB_56,G1,BB_104,38.31412,-123.06958,-123.06958
,,17,G1,BB_218,G2,BB_002,,,
,,18,G1,BB_31,G2,BB_089,,,
,84,19,G1,BB_140,G1,BB_205_A,38.3141,-123.0696,-123.0696
,,20,G2,BB_104,G1,BB_179,,,
,,21,G1,BB_103,G1,BB_69,,,
Tray 13,85,1,G1,BB_42,G1,BB_9,38.31403,-123.06953,-123.06953
,,2,G2,BB_206,G1,BB_72,,,
,,3,G1,BB_139,G2,BB_172,,,
,86,4,G1,BB_111,G2,BB_059,38.31403,-123.06956,-123.06956
,,5,G1,BB_27,G1,BB_150,,,
,,6,G1,BB_83,G1,BB_70,,,
,87,7,G2,BB_164,G1,BB_138,38.31396,-123.06951,-123.06951
,,8,G1,BB_214,G1,BB_133,,,
,,9,G2,BB_054,G1,BB_123,,,
,88,10,G2,BB_214,G1,BB_132,38.31395,-123.06953,-123.06953
,,11,G1,BB_16,G1,BB_102,,,
,,12,G1,BB_76,G1,BB_127,,,
,89,13,G2,BB_059,G1,BB_68,38.31392,-123.06953,-123.06953
,,14,G2,BB_013,G2,BB_149,,,
,,15,G2,BB_215,G1,BB_137,,,
,90,16,G2,BB_024,G1,BB_139,38.3139,-123.06945,-123.06945
,,17,G2,BB_133,G1,BB_42,,,
,,18,G2,BB_205_A,G1,BB_143,,,
,91,19,G2,BB_013,G1,BB_21,38.31388,-123.06945,-123.06945
,,20,G1,BB_149,G1,BB_39,,,
,,21,G1,BB_209,G1,BB_204,,,
