rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
135,29,87L,BB_060,G1,5,BB_060-G1-029-87L-5,135,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
136,29,87R,BB_052,G1,1,BB_052-G1-029-87R-1,136,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
137,30,88L,BB_127,G1,5,BB_127-G1-030-88L-5,137,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
138,30,90L,BB_074,G1,2,BB_074-G1-030-90L-2,138,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
139,30,90R,BB_084,G1,4,BB_084-G1-030-90R-4,139,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
140,31,91R,BB_094,G1,2,BB_094-G1-031-91R-2,140,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
141,31,92L,BB_019,G2,3,BB_019-G2-031-92L-3,141,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
142,32,94L,BB_039,G2,1,BB_039-G2-032-94L-1,142,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
143,32,94R,BB_119,G1,2,BB_119-G1-032-94R-2,143,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
144,32,95R,BB_151,G1,3,BB_151-G1-032-95R-3,144,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
145,32,96L,BB_044,G1,4,BB_044-G1-032-96L-4,145,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
146,32,96R,BB_207,G2,2,BB_207-G2-032-96R-2,146,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
147,33,97L,BB_078,G1,3,BB_078-G1-033-97L-3,147,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
148,33,97R,BB_163,G1,4,BB_163-G1-033-97R-4,148,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
149,33,98R,BB_192,G1,5,BB_192-G1-033-98R-5,149,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
150,34,100L,BB_049,G1,5,BB_049-G1-034-100L-5,150,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
151,34,100R,BB_135,G2,2,BB_135-G2-034-100R-2,151,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
152,34,101L,BB_004,G1,4,BB_004-G1-034-101L-4,152,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
153,34,101R,BB_210,G2,2,BB_210-G2-034-101R-2,153,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
154,34,102L,BB_037,G1,2,BB_037-G1-034-102L-2,154,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
