rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
124,2,23R,HR_149,G2,1,HR_149-G2-002-23R-1,124,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
125,2,24L,HR_010,G1,3,HR_010-G1-002-24L-3,125,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
126,2,24R,HR_015,G2,4,HR_015-G2-002-24R-4,126,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
127,2,25L,HR_065,G2,4,HR_065-G2-002-25L-4,127,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
128,2,25R,HR_174,G1,5,HR_174-G1-002-25R-5,128,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
129,2,26L,HR_065,G1,2,HR_065-G1-002-26L-2,129,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
130,2,26R,HR_175,G1,1,HR_175-G1-002-26R-1,130,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
131,2,27L,HR_036,G2,4,HR_036-G2-002-27L-4,131,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
132,2,27R,HR_037,G1,3,HR_037-G1-002-27R-3,132,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
133,2,28R,HR_182,G2,1,HR_182-G2-002-28R-1,133,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
134,2,29L,HR_054,G2,5,HR_054-G2-002-29L-5,134,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
135,2,29R,HR_195,G1,5,HR_195-G1-002-29R-5,135,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
136,2,30R,HR_073,G2,4,HR_073-G2-002-30R-4,136,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
137,2,31L,HR_107,G1,5,HR_107-G1-002-31L-5,137,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
138,2,31R,HR_145,G1,2,HR_145-G1-002-31R-2,138,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
139,2,32L,HR_182,G2,1,HR_182-G2-002-32L-1,139,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
140,2,32R,HR_146,G1,1,HR_146-G1-002-32R-1,140,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
141,2,33L,HR_033,G2,2,HR_033-G2-002-33L-2,141,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
142,2,33R,HR_073,G1,2,HR_073-G1-002-33R-2,142,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
143,2,34L,HR_071,G1,1,HR_071-G1-002-34L-1,143,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
144,2,34R,HR_043,G1,3,HR_043-G1-002-34R-3,144,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
145,2,35R,HR_062,G2,2,HR_062-G2-002-35R-2,145,,Nemo_2023_HR_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
