Location,Sequence (1-meter Segment),side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
63,189,L,G1,BB_034,4,y,24.76,i,y
63,189,R,G1,BB_210,2,y,5.10,c,y
64,190,L,G1,BB_025,3,y,64.98,c,y
64,190,R,G1,BB_052,5,missing?,,,
64,191,L,G1,BB_095,1,y,,i,y
64,191,R,G1,BB_086,4,y,56.88,c,y
64,192,L,G1,BB_113,5,y,342.07,c,y
64,192,R,G1,BB_016,3,n,112.84,i,y
65,193,L,G1,BB_084,3,y,322.81,i,y
65,194,L,G1,BB_077,2,y,170.30,c,y
65,195,R,G1,BB_160,5,y,589.26,c,y
66,196,L,G1,BB_185,1,y,1.48,i,y
66,197,L,G2,BB_093,3,y,197.49,c,y
66,197,R,G1,BB_081,1,y,613.31,c,y
66,198,L,G1,BB_157,5,y,699.14,c,y
66,198,R,G2,BB_205A,5,y,,i,y
67,199,L,G2,BB_160,1,missing?,,,
67,199,R,G1,BB_193,1,y,22.98,c,y
67,200,L,G1,BB_050,4,y,112.38,c,y
67,200,R,G1,BB_201,2,y,226.99,c,y
67,201,L,G1,BB_032,3,y,30.73,c,y
67,201,R,G1,BB_150,5,y,4.34,i,y
68,202,L,G1,BB_189,3,missing?,,,
68,204,L,G1,BB_024,2,y,88.77,c,y
68,204,R,G1,BB_040,1,y,,i,y
69,205,L,G2,BB_131,1,y,41.77,c,y
69,205,R,G1,BB_081,2,y,332.50,c,y
69,206,L,G1,BB_211,4,y,28.80,c,y
69,206,R,G1,BB_079,5,y,142.73,c,y
69,207,L,G1,BB_054,2,y,44.22,c,y
69,207,R,G1,BB_120,1,y,,i,y
70,209,L,G1,BB_046,2,y,25.08,c,y
70,209,R,G1,BB_063,5,y,55.77,c,y
71,211,L,G1,BB_002,4,y,23.28,c,y
71,212,L,G1,BB_098,3,y,5.90,i,y
71,212,R,G2,BB_215,1,y,110.76,c,y
71,213,L,G1,BB_097,5,y,82.75,c,y
71,213,R,G2,BB_089,5,missing?,,,
72,215,L,G2,BB_139,2,y,,i,y
73,217,L,G1,BB_134,4,y,35.58,c,y
73,217,R,G1,BB_183,1,missing?,,,
73,218,L,G1,BB_085,5,missing?,,,
74,220,L,G2,BB_004,2,y,808.52,c,y
74,221,R,G2,BB_121,4,y,29.34,c,y
74,222,L,G1,BB_135,4,y,34.56,i,y
74,222,R,G1,BB_164,4,y,7.65,i,y
75,223,R,G1,BB_070A,2,missing?,,,
75,224,R,G1,BB_070B,4,missing?,,,
76,226,L,G2,BB_029,2,y,11.13,i,y
76,227,L,G2,BB_179,4,missing?,,,
77,229,R,G1,BB_116,2,missing?,,,
78,232,L,G1,BB_078,3,y,97.18,c,y
78,233,R,G1,BB_135,5,y,48.58,c,y
78,234,R,G2,BB_101,3,missing?,,,
79,235,L,G1,BB_077,1,y,81.81,c,y
79,235,R,G1,BB_131,2,y,128.39,c,y
79,236,L,G1,BB_045,3,y,105.18,c,y
79,236,R,G1,BB_158,5,y,42.09,i,y
79,237,L,G1,BB_095,4,y,493.49,c,y
79,237,R,G1,BB_186,1,y,342.38,c,y
80,238,R,G2,BB_123,4,y,187.06,c,y
80,239,L,G1,BB_003,5,y,104.81,c,y
80,239,R,G1,BB_204,1,y,468.07,c,y
80,240,L,G2,BB_092,2,missing?,,,
80,240,R,G2,BB_151,3,y,4.04,i,y
81,241,R,G1,BB_170,5,y,76.32,c,y
81,243,L,G1,BB_049,2,y,203.02,c,y
81,243,R,G2,BB_053,3,y,14.35,c,y
82,244,L,G1,BB_170,2,y,261.85,c,y
82,244,R,G1,BB_060,3,y,52.91,c,y
82,245,L,G1,BB_040,4,y,79.28,c,y
82,245,R,G1,BB_053,2,y,3.68,c,y
82,246,L,G2,BB_215,5,y,170.95,c,y
83,247,L,G1,BB_056,3,y,176.31,c,y
83,247,R,G1,BB_104,5,missing?,,,
83,248,R,G2,BB_002,4,y,55.37,i,y
83,249,L,G1,BB_031,3,y,34.12,i,y
83,249,R,G2,BB_089,5,y,17.23,c,y
84,250,R,G1,BB_205,2,y,111.44,c,y
84,251,L,G2,BB_104,4,y,8.21,i,y
84,251,R,G1,BB_179,5,y,6.21,c,y
84,252,L,G1,BB_103,1,y,36.82,c,y
85,253,R,G1,BB_009,1,missing?,,,
86,256,L,G1,BB_111,2,y,21.99,i,y
86,256,R,G2,BB_059,4,y,95.31,c,y
86,257,R,G1,BB_150,3,y,8.36,c,y
86,258,L,G1,BB_083,1,missing?,,,
87,259,L,G2,BB_164,5,y,68.37,c,y
87,260,L,G1,BB_214,1,missing?,,,
87,260,R,G1,BB_133,3,y,13.28,c,y
87,261,L,G2,BB_054,3,missing?,,,
88,263,L,G1,BB_016,5,y,31.75,c,y
89,266,R,G2,BB_149,3,y,11.02,c,y
90,268,L,G2,BB_024,4,y,107.32,c,y
90,268,R,G1,BB_139,4,missing?,,,
90,269,L,G2,BB_133,5,y,169.91,c,y
90,269,R,G1,BB_042,4,missing?,,,
90,270,L,G2,BB_205A,3,y,17.62,c,y
91,271,L,G2,BB_013,4,y,89.09,c,y
91,271,R,G1,BB_021,2,missing?,,,
91,272,L,G1,BB_149,5,y,107.14,c,y
91,272,R,G1,BB_039,2,y,100.49,c,y
91,273,L,G1,BB_209,2,y,16.38,c,y
91,273,R,G1,BB_204,5,y,23.06,c,y
92,274,L,G1,BB_003,1,y,36.71,c,y
92,274,R,G2,BB_070,4,y,26.04,c,y
92,275,L,G1,BB_134,1,y,22.53,i,y
92,276,L,G1,BB_080,1,y,110.42,c,y
92,276,R,G1,BB_061,4,y,19.80,c,y
93,277,L,G1,BB_216,2,missing?,,,
93,277,R,G2,BB_179,1,missing?,,,
93,278,L,G2,BB_045,2,y,67.67,c,y
93,278,R,G1,BB_060,1,y,63.20,c,y
93,279,L,G1,BB_110,4,y,57.66,c,y
93,279,R,G1,BB_214,4,missing?,,,
94,281,L,G1,BB_018,3,missing?,,,
94,281,R,G1,BB_048,5,missing?,,,
95,283,L,G1,BB_050,2,y,94.39,c,y
95,284,L,G1,BB_053,1,missing?,,,
95,285,R,G1,BB_181,5,missing?,,,
96,287,L,G1,BB_163,2,y,77.18,c,y
96,287,R,G1,BB_097,4,missing?,,,
96,288,L,G1,BB_145,1,y,326.98,c,y
96,288,R,G2,BB_147,3,y,21.86,c,y
97,289,L,G1,BB_146,1,y,97.58,c,y
97,289,R,G1,BB_208,5,y,66.07,c,y
97,290,L,G2,BB_179,3,y,34.93,c,y
97,290,R,G1,BB_164,1,y,19.70,i,y
97,291,L,G1,BB_037,1,y,242.85,c,y
97,291,R,G2,BB_052,4,y,106.60,c,y
98,292,R,G1,BB_205B,5,y,85.54,c,y
98,293,L,G1,BB_094,2,y,5.84,c,y
98,293,R,G1,BB_148,5,y,25.69,c,y
99,295,L,G2,BB_060,5,y,26.12,i,y
99,295,R,G2,BB_138,5,missing?,,,
99,297,R,G1,BB_207,1,missing?,,,
100,298,L,G1,BB_081,4,y,33.08,c,y
100,298,R,G2,BB_087,4,y,124.71,c,y
100,299,R,G1,BB_143,5,missing?,,,
100,300,L,G1,BB_049,1,y,4.27,i,y
100,300,R,G1,BB_121,1,y,83.10,c,y
101,301,L,G2,BB_002,4,y,33.73,c,y
101,301,R,G1,BB_132,1,y,87.87,c,y
101,302,L,G1,BB_085,4,y,256.79,c,y
101,302,R,G2,BB_166,1,y,26.51,c,y
101,303,L,G2,BB_150,3,y,6.60,c,y
