Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? >1.09mg (y/n) 
8,14,R,G1,HR_018,3,,,,
8,15,L,G1,HR_196,1,,,,
8,15,R,G1,HR_159,4,,,,
8,16,L,G2,HR_095,2,,,,
8,16,R,G1,HR_078,1,,,,
8,17,L,G1,HR_165,5,,,,
8,17,R,G1,HR_168,1,,,,
8,18,L,G2,HR_016,1,,,,
8,18,R,G2,HR_170,4,,,,
8,19,L,G2,HR_116,5,,,,
8,19,R,G2,HR_086,2,,,,
8,20,R,G2,HR_079,3,,,,
8,21,R,G1,HR_085,3,,,,
8,22,L,G2,HR_040,3,,,,
8,22,R,G1,HR_068,2,,,,
8,23,L,G2,HR_041,1,,,,
8,23,R,G1,HR_118,2,,,,
8,24,L,G2,HR_047,4,,,,
8,24,R,G2,HR_156,5,,,,
8,25,L,G2,HR_121,1,,,,
8,25,R,G2,HR_019,1,,,,
8,26,L,G1,HR_035,2,,,,
8,26,R,G1,HR_149,3,,,,
8,27,L,G2,HR_019,3,,,,
8,27,R,G2,HR_027,1,,,,
8,28,L,G1,HR_004,2,,,,
8,29,L,G1,HR_035,5,,,,
8,29,R,G2,HR_164,2,,,,
8,30,L,G1,HR_123,5,,,,
8,30,R,G1,HR_070,2,,,,
8,31,L,G1,HR_190,5,,,,
8,31,R,G2,HR_153,1,,,,
8,32,L,G2,HR_032,2,,,,
8,32,R,G2,HR_056,4,,,,
8,33,L,G2,HR_175,2,,,,
8,33,R,G1,HR_126,2,,,,
8,34,L,G2,HR_169,1,,,,
8,34,R,G1,HR_124,5,,,,
8,35,R,G1,HR_183,3,,,,
8,36,L,G2,HR_006,1,,,,
8,36,R,G1,HR_131,2,,,,
8,37,L,G2,HR_152,5,,,,
8,37,R,G2,HR_064,4,,,,
8,38,L,G1,HR_107,3,,,,
8,38,R,G2,HR_111,1,,,,
8,39,L,G2,HR_064,5,,,,
8,39,R,G1,HR_044,2,,,,
8,40,L,G2,HR_178,3,,,,
8,40,R,G1,HR_062,5,,,,
8,41,L,G2,HR_101,4,,,,
8,41,R,G2,HR_175,5,,,,
8,42,L,G1,HR_129,2,,,,
8,42,R,G1,HR_152,5,,,,
8,43,L,G1,HR_027,4,,,,
8,43,R,G2,HR_146,4,,,,
8,44,L,G2,HR_085,4,,,,
8,44,R,G1,HR_083,1,,,,
8,45,L,G1,HR_033,1,,,,
8,45,R,G1,HR_028,2,,,,
9,1,L,G1,HR_190,2,,,,
9,1,R,G1,HR_020,3,,,,
9,2,L,G1,HR_001,3,,,,
9,2,R,G2,HR_196,2,,,,
9,3,R,G1,HR_019,2,,,,
9,4,L,G2,HR_148,5,,,,
9,4,R,G2,HR_086,1,,,,
9,5,L,G2,HR_035,3,,,,
9,5,R,G1,HR_039,4,,,,
9,6,L,G2,HR_034,5,,,,
9,7,L,G1,HR_025,3,,,,
9,7,R,G2,HR_080,2,,,,
9,8,L,G2,HR_021,1,,,,
9,8,R,G1,HR_118,3,,,,
9,9,L,G1,HR_032,5,,,,
9,9,R,G1,HR_009,4,,,,
9,10,L,G2,HR_015,5,,,,
9,10,R,G2,HR_137,1,,,,
9,11,L,G1,HR_064,4,,,,
9,11,R,G2,HR_105,5,,,,
9,12,L,G2,HR_114,2,,,,
9,13,L,G2,HR_053,1,,,,
9,13,R,G1,HR_139,3,,,,
9,14,L,G1,HR_161,1,,,,
9,14,R,G2,HR_159,4,,,,
9,15,L,G2,HR_115,5,,,,
9,15,R,G2,HR_092,4,,,,
9,16,L,G2,HR_174,4,,,,
9,16,R,G2,HR_116,2,,,,
9,17,L,G1,HR_133,4,,,,
9,17,R,G2,HR_038,1,,,,
9,18,L,G2,HR_103,3,,,,
9,18,R,G1,HR_121,1,,,,
9,19,L,G1,HR_023,3,,,,
9,19,R,G1,HR_021,3,,,,
9,20,L,G1,HR_016,3,,,,
9,20,R,G2,HR_141,4,,,,
9,21,L,G1,HR_027,1,,,,
9,21,R,G1,HR_086,2,,,,
9,22,L,G1,HR_126,3,,,,
9,22,R,G2,HR_009,4,,,,
9,23,L,G1,HR_054,1,,,,
9,23,R,G1,HR_127,4,,,,
9,24,L,G1,HR_131,1,,,,
9,24,R,G2,HR_176,4,,,,
9,25,L,G2,HR_112,2,,,,
9,25,R,G2,HR_136,5,,,,
9,26,L,G2,HR_141,2,,,,
9,26,R,G1,HR_150,3,,,,
9,27,L,G1,HR_050,5,,,,
9,27,R,G1,HR_057,4,,,,
9,28,L,G1,HR_148,3,,,,
9,28,R,G2,HR_148,5,,,,
9,29,L,G2,HR_162,2,,,,
9,29,R,G2,HR_046,3,,,,
9,30,L,G2,HR_147,1,,,,
9,30,R,G2,HR_141,5,,,,
9,31,L,G1,HR_136,5,,,,
9,31,R,G1,HR_043,5,,,,
9,32,L,G2,HR_037,3,,,,
9,32,R,G2,HR_020,5,,,,
9,33,L,G2,HR_061,4,,,,
9,33,R,G2,HR_050,1,,,,
9,34,L,G2,HR_169,2,,,,
9,34,R,G2,HR_155,5,,,,
9,35,L,G1,HR_201,5,,,,
9,35,R,G1,HR_012,4,,,,
9,36,R,G1,HR_085,2,,,,
9,37,L,G1,HR_064,4,,,,
9,38,L,G2,HR_180,1,,,,
9,38,R,G2,HR_051,3,,,,
9,39,L,G2,HR_092,3,,,,
9,39,R,G2,HR_131,2,,,,
9,40,L,G1,HR_041,4,,,,
9,40,R,G2,HR_105,4,,,,
9,41,L,G2,HR_201,3,,,,
9,41,R,G1,HR_109,1,,,,
9,42,R,G1,HR_152,1,,,,
9,43,L,G1,HR_058,3,,,,
9,43,R,G2,HR_092,1,,,,
9,44,L,G2,HR_043,2,,,,
9,44,R,G2,HR_113,3,,,,
9,45,L,G2,HR_166,5,,,,
9,45,R,G1,HR_177,2,,,,
9,46,R,G1,HR_038,3,,,,
