rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
123,8,3L,BO_027,G2,5,BO_027-G2-008-3L-5,123,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
124,8,4L,BO_008,G2,1,BO_008-G2-008-4L-1,124,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
125,8,4R,BO_087,G1,1,BO_087-G1-008-4R-1,125,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
126,8,5L,BO_027,G1,3,BO_027-G1-008-5L-3,126,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
127,8,5R,BO_169,G2,1,BO_169-G2-008-5R-1,127,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
128,8,6L,BO_122,G1,1,BO_122-G1-008-6L-1,128,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
129,8,6R,BO_115,G1,2,BO_115-G1-008-6R-2,129,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
130,8,7R,BO_122,G1,2,BO_122-G1-008-7R-2,130,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
131,8,8L,BO_056,G2,2,BO_056-G2-008-8L-2,131,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
132,8,9L,BO_082,G1,2,BO_082-G1-008-9L-2,132,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
133,8,9R,BO_028,G1,2,BO_028-G1-008-9R-2,133,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
134,8,11L,BO_090,G2,1,BO_090-G2-008-11L-1,134,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
135,8,11R,BO_069,G1,3,BO_069-G1-008-11R-3,135,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
136,8,12R,BO_090,G2,2,BO_090-G2-008-12R-2,136,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
137,8,13L,BO_164,G1,5,BO_164-G1-008-13L-5,137,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
138,8,15R,BO_079,G1,2,BO_079-G1-008-15R-2,138,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
139,8,16L,BO_090,G1,5,BO_090-G1-008-16L-5,139,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
140,8,17L,BO_149,G1,1,BO_149-G1-008-17L-1,140,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
141,8,18R,BO_027,G1,3,BO_027-G1-008-18R-3,141,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
142,8,19L,BO_072,G1,4,BO_072-G1-008-19L-4,142,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
143,8,19R,BO_152,G2,5,BO_152-G2-008-19R-5,143,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
144,8,20L,BO_008,G1,3,BO_008-G1-008-20L-3,144,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
145,8,20R,BO_137,G2,2,BO_137-G2-008-20R-2,145,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
146,8,21L,BO_008,G1,2,BO_008-G1-008-21L-2,146,,Nemo_2023_BO_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
