Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
4,27,L,G1,AC_208,4,y,7.11,c,y
4,27,R,G2,AC_040,5,y,7.31,c,y
4,28,L,G1,AC_070,2,y,9.22,c,y
4,28,R,G1,AC_040,3,y,3.78,c,y
4,29,L,G1,AC_203,3,y,,i,n
4,29,R,G1,AC_216,5,y,8.13,c,y
4,30,L,G2,AC_143,5,missing,,,
4,30,R,G1,AC_204,4,y,5.05,c,y
4,31,L,G2,AC_095,1,y,,i,n
4,31,R,G2,AC_068,1,y,14.6,c,y
4,32,L,G2,AC_179,5,y,,i,y
4,32,R,G2,AC_190,1,y,6.35,c,y
4,33,L,G2,AC_118,3,y,4.33,c,y
4,33,R,G2,AC_064,3,y,1.99,c,y
4,34,L,G2,AC_147,1,y,3.05,c,y
4,34,R,G2,AC_131,3,y,5.96,c,y
4,35,R,G1,AC_062,3,y,30.64,c,y
4,36,L,G2,AC_159A,5,y,,i,y
4,36,R,G2,AC_159B,5,y,11.78,c,y
5,1,L,G1,AC_109,2,y,39.44,c,y
5,1,R,G1,AC_153,1,y,32.25,c,y
5,2,L,G1,AC_200,5,y,5.34,c,y
5,2,R,G1,AC_171,2,y,17.36,c,y
5,3,L,G2,AC_128,5,y,21.13,c,y
5,3,L,G2,AC_128,2,missing,,,
5,3,R,G2,AC_046,2,y,37.29,c,y
5,4,L,G1,AC_058,2,y,38.41,c,y
5,4,R,G1,AC_195,5,y,18.3,c,y
5,5,L,G2,AC_208,5,y,3.05,c,y
5,5,R,G2,AC_178,5,y,13.18,c,y
5,6,R,G2,AC_010,5,y,20.49,i,y
5,7,L,G1,AC_068,2,y,13.03,c,y
5,7,R,G2,AC_188,2,y,0.43,i,n
5,8,L,G1,AC_206,5,y,10.64,c,y
5,8,R,G2,AC_032,4,y,5.64,i,y
5,9,L,G2,AC_111,1,missing,,,
5,9,R,G1,AC_056,4,y,7.23,c,y
5,10,L,G1,AC_217,3,y,4.3,c,y
5,10,R,G1,AC_064,5,y,18.85,c,y
5,11,L,G2,AC_064,3,y,32,c,y
5,11,R,G1,AC_070,2,y,3.32,c,y
5,12,R,G1,AC_142,3,missing,,,
5,13,L,G2,AC_153,2,y,5.89,c,y
5,14,L,G2,AC_128,2,missing,,,
5,14,R,G1,AC_040,2,y,4.23,c,y
5,15,L,G1,AC_104,1,y,3.45,c,y
5,15,R,G1,AC_005,3,y,0.8,c,n
5,16,L,G1,AC_030,1,y,13.48,c,y
5,16,R,G2,AC_048,5,y,7.14,c,y
5,17,L,G1,AC_144,1,y,13.88,c,y
5,17,R,G1,AC_213,4,y,,i,n
5,18,L,G1,AC_115,3,y,29.68,c,y
5,18,R,G2,AC_090,2,y,2.56,c,y
5,19,L,G2,AC_109,4,y,,i,y
5,19,R,G1,AC_090,4,y,13.52,c,y
5,20,L,G2,AC_192,4,y,18.6,c,y
5,20,R,G2,AC_205,2,y,88.71,c,y
5,21,L,G1,AC_097,5,y,10.19,c,y
5,21,R,G2,AC_182,1,y,14.73,c,y
5,22,L,G1,AC_160,4,y,14.85,c,y
5,22,R,G2,AC_204,3,y,2.33,c,y
5,23,L,G1,AC_155,4,y,2,c,y
5,24,L,G2,AC_192,4,y,23.11,c,y
