Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,23,AC_045,AC_151,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,5,3,0,8,9,14,NA,NA,2,4.25,12,28.82,NA,NA,NA,NA,NA,2.125,2.401666666666667,NA,NA,2.2633333333333336,0.19563287612827826,2.8,22.4,13.39,2022-04-21,16.743,160.377,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
1,1,24,AC_195,AC_193,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5.43,NA,NA,NA,NA,2022-04-21,169,176,168,2022-04-21,0,1,1,1,0
1,1,25,AC_089,AC_057,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,1,2,0,3,4,3,NA,NA,NA,NA,3,2.45,NA,NA,NA,NA,NA,NA,0.8166666666666668,NA,NA,0.8166666666666668,NA,3,9,NA,2022-04-21,18.683,223.966,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,26,AC_160,AC_015,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,2022-04-21,3,0,0,3,0,6,NA,NA,NA,NA,6,12.28,NA,NA,NA,NA,NA,NA,2.0466666666666664,NA,NA,2.0466666666666664,NA,2,6,NA,2022-04-21,21.334,292.453,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,27,AC_161,AC_088,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-21,1,3,0,4,35,1,NA,NA,NA,NA,1,1.7,NA,NA,NA,NA,NA,NA,1.7,NA,NA,1.7,NA,1,4,NA,2022-04-21,22.18,316.274,NA,2022-04-21,137,176,168,2022-05-03,12,1,1,1,1
1,1,28,AC_045,AC_096,n,9,TRUE,FALSE,TRUE,9,9,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,2022-06-08,NA,NA,2022-06-08,10,0,0,10,13,19,NA,NA,1,2.39,NA,NA,18,30.81,NA,NA,NA,2.39,NA,1.7116666666666667,NA,2.0508333333333333,0.47965409990487484,1.9,19,NA,2022-06-08,17.032,167.443,NA,2022-04-21,137,176,168,2022-06-08,48,1,1,1,1
1,1,29,AC_216,AC_058,R,1,FALSE,TRUE,TRUE,7,"1,7,9",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,3,3,0,6,33,3,NA,NA,3,9.27,NA,NA,NA,NA,NA,NA,NA,3.09,NA,NA,NA,3.09,NA,1,6,13.02,2022-04-21,12.461,96.483,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,29,AC_216,AC_058,R,7,TRUE,TRUE,TRUE,7,"1,7,9",NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,2,0,9,0,17,NA,NA,NA,NA,9,27.89,8,14.99,NA,NA,NA,NA,3.098888888888889,1.87375,NA,2.4863194444444443,0.8663040162286855,2.4285714285714284,21.857142857142854,17.59,2022-04-09,11.021,77.569,NA,2022-04-09,157,164,156,2022-05-13,34,1,1,1,1
1,1,29,AC_216,AC_058,R,9,FALSE,TRUE,TRUE,7,"1,7,9",NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,1,20,0,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,49.97,2022-04-09,10.956,NA,flower obstructed,2022-04-09,157,164,156,2022-05-13,34,1,1,1,0
1,1,30,AC_091,AC_218,R,2,TRUE,TRUE,TRUE,2,"6,2,9",NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-09,157,164,156,2022-04-09,0,1,1,0,0
