Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,36,6,1,1,HR_059,HR_011,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,19.166,19.166,212.083,212.083,NA,NA,NA,NA,NA,NA,NA,NA,49.68,49.68,-31.63,-31.63,3.41,11,0,11,0,16,1.85375,NA,1.4545454545454546,16,16,1,1,1,1,1
2022,37,4,1,1,HR_095,HR_178,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-05-05,28,122,148,139,25.146,25.146,368.228,368.228,NA,NA,NA,NA,59.297,2.64,22.460984848484845,0.04452164527716412,35.57,35.57,-30.87,-30.87,3.29,10,7,17,0,10,1.3892857142857142,0.27758157469876293,1,17,17,1,1,1,1,1
2022,38,2,1,1,HR_155,HR_047,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-11-19,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,139,148,139,20.479,20.479,NA,NA,NA,NA,NA,NA,84.131,4.09,20.56992665036675,0.048614660469981336,NA,NA,-31.24,-31.24,3.26,9,0,9,0,8,2.1958333333333333,1.9527932273768487,0.8888888888888888,8,8,1,1,1,1,1
2022,39,5,1,1,HR_070,HR_123,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,27.037,27.037,468.834,468.834,NA,NA,NA,NA,20.625,1.26,16.36904761904762,0.061090909090909085,29.31,29.31,-30.55,-30.55,3.12,8,2,10,0,4,3.0216666666666665,0.9523173490666508,0.5,5,5,1,1,1,1,1
2022,40,5,1,1,HR_053,HR_092,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-05-05,21,129,155,146,25.389,25.389,291.844,291.844,NA,NA,NA,NA,30.692,1.67,18.378443113772455,0.05441157304835136,40.84,40.84,-31.23,-31.23,2.97,9,0,9,0,1,2.25,NA,0.1111111111111111,1,1,1,1,1,1,1
2022,41,5,1,1,HR_110,HR_039,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,122,148,139,22.176,22.176,276.584,276.584,NA,NA,NA,NA,10.351,0.59,17.54406779661017,0.05699932373683701,11.93,11.93,-30.79,-30.79,1.27,5,0,5,0,7,2.05,NA,1.4,7,7,1,1,1,1,1
2022,42,1,1,1,HR_160,HR_173,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-04-26,12,129,155,146,24.879,24.879,383.173,383.173,NA,NA,NA,NA,51.697,2.96,17.465202702702705,0.05725670735245758,5.2,5.2,NA,NA,NA,1,0,1,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,43,3,1,1,HR_189,HR_018,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-17,2021-11-10,2021-11-19,2022-04-07,2022-04-26,19,111,148,139,23.408,23.408,324.232,324.232,NA,NA,NA,NA,58.613,2.99,19.603010033444814,0.051012574002354434,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,44,5,1,1,HR_115,HR_026,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-10,2021-11-19,2022-04-14,2022-04-20,6,129,155,146,NA,28.339,NA,509,NA,NA,NA,NA,25.196,1.49,16.910067114093962,0.05913637085251626,NA,NA,-31.91,-31.91,2.49,3,0,3,0,1,1.31,NA,0.3333333333333333,1,1,1,1,1,1,1
2022,45,5,1,1,HR_110,HR_037,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-11-19,2021-11-10,2021-11-19,2022-04-07,2022-05-05,28,139,148,139,25.619,25.619,336.521,336.521,NA,NA,NA,NA,45.424,2.49,18.242570281124497,0.05481683691440648,69.81,69.81,-30,-30,3.31,8,0,8,0,11,2.213636363636364,NA,1.375,11,11,1,1,1,1,1
