Year,Sequence,Cohort,Block,Location,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,27,5,1,9,BB_176,BB_017,G1,R,4,TRUE,TRUE,TRUE,4,"5,4,8",2021-12-12,2021-11-29,2021-12-02,2022-03-11,2022-04-01,21,89,102,99,NA,25.148,NA,387.77,NA,NA,NA,NA,31.124,2.37,13.132489451476792,0.07614702480400978,16.2,16.2,-28.28,-28.28,1.39,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,27,5,1,9,BB_176,BB_017,G1,R,5,FALSE,TRUE,TRUE,4,"5,4,8",2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-22,21,110,123,120,25.148,25.148,387.77,387.77,31.124,2.37,13.132489451476792,0.07614702480400978,31.124,2.37,13.132489451476792,0.07614702480400978,NA,16.2,NA,-28.28,NA,1,1,2,0,2,NA,NA,2,4,4,1,1,1,1,1
2022,27,5,1,9,BB_176,BB_017,G1,R,8,FALSE,TRUE,TRUE,4,"5,4,8",2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-01,15,95,108,105,NA,25.148,NA,387.77,NA,NA,NA,NA,31.124,2.37,13.132489451476792,0.07614702480400978,NA,16.2,NA,-28.28,NA,1,0,1,0,2,NA,NA,2,2,2,1,1,1,1,1
2022,28,3,1,10,BB_115,BB_187,G1,R,3,TRUE,TRUE,TRUE,3,3,2021-12-19,2021-11-29,2021-12-02,2022-04-08,2022-04-08,0,110,130,127,19.737,19.737,214.472,214.472,NA,NA,NA,NA,41.426,1.43,28.969230769230773,0.03451938396176314,NA,NA,-28.96,-28.96,2.14,2,0,2,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,29,4,1,10,BB_099,BB_032,G1,R,5,TRUE,TRUE,TRUE,5,5,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-01,7,103,116,113,18.879,18.879,207.331,207.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,30,3,1,10,BB_168,BB_058,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-01,7,103,116,113,26.133,26.133,419.786,419.786,NA,NA,NA,NA,136.06,10.74,12.66852886405959,0.07893576363369102,33.66,33.66,-30.56,-30.56,2.99,1,0,1,2,11,2.3445454545454543,NA,11,11,11,1,1,1,1,1
2022,31,2,1,10,BB_182,BB_021,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-28,34,103,116,113,21.25,21.25,288.628,288.628,NA,NA,NA,NA,58.285,5.5,10.597272727272726,0.09436390151840097,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,0,0,0,1,1,1,1,0
2022,32,2,1,11,BB_197,BB_060,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-05-25,61,103,116,113,27.32,27.32,475.731,475.731,NA,NA,NA,NA,NA,NA,NA,NA,258.43,258.43,-30.12,-30.12,1.84,13,4,17,2,47,2.9765957446808513,NA,3.6153846153846154,61.46153846153846,61,1,1,1,1,1
2022,33,2,1,11,BB_142,BB_093,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-19,2021-11-29,2021-12-02,2022-03-17,2022-04-08,22,88,108,105,26.407,26.407,442.657,442.657,NA,NA,NA,NA,32.423,2.04,15.893627450980393,0.06291829873854979,79.64,79.64,-27.98,-27.98,1.43,4,1,5,0,41,2.3756400966183575,0.08237623202083905,10.25,51.25,51,1,1,1,1,1
2022,35,3,1,12,BB_174,BB_068,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-12,2021-11-29,2021-12-02,2022-04-01,2022-04-22,21,110,123,120,30.868,30.868,576.87,576.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
