Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,2,46,BO_188,BO_052,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-04-08,0,1,1,0,0
1,2,47,BO_201,BO_189,R,4,TRUE,TRUE,TRUE,4,4,NA,NA,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-04-28,2,0,0,2,0,3,1.5,3,2022-04-08,NA,142,2022-05-12,34,0,1,1,1
1,2,49,BO_183,BO_198,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,1,0,0,0,2022-04-08,123,142,2022-04-08,0,1,1,1,0
1,2,50,BO_065,BO_078,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,1,2,0,3,0,0,0,0,2022-04-08,123,142,2022-04-28,20,1,1,1,0
1,2,51,BO_151,BO_056,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-28,1,0,0,1,1,1,1,1,2022-04-28,143,162,2022-04-28,0,1,1,1,1
1,2,52,BO_183,BO_063,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,2022-04-21,NA,NA,2022-05-12,2022-05-20,2022-05-25,NA,2022-05-12,1,0,0,1,2,0,0,0,2022-04-08,123,142,2022-05-25,47,1,1,1,0
1,2,56,BO_170,BO_111,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,NA,2022-05-05,NA,2022-05-20,NA,NA,2022-04-01,3,4,0,7,0,0,0,0,2022-04-01,116,135,2022-05-20,49,1,1,1,0
1,2,57,BO_032,BO_132,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,2022-05-12,NA,2022-05-25,NA,2022-03-25,0,4,0,4,14,0,0,0,2022-03-25,109,128,2022-05-25,61,1,1,1,0
1,2,58,BO_162,BO_164,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-08,3,0,0,3,1,4,1.3333333333333333,4,2022-04-08,123,142,2022-04-21,13,1,1,1,1
1,2,59,BO_162,BO_089,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,2,1,0,3,1,7,3.5,10.5,2022-04-01,116,135,2022-04-08,7,1,1,1,1
1,2,60,BO_188,BO_154,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,NA,NA,NA,NA,2022-04-01,6,16,0,22,17,6,1,22,2022-04-01,116,135,2022-05-05,34,1,1,1,1
1,2,61,BO_185,BO_071,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-08,3,0,0,3,16,6,2,6,2022-04-08,123,142,2022-04-13,5,1,1,1,1
1,2,62,BO_198,BO_159,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,NA,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,3,1,0,4,0,2,0.6666666666666666,2.6666666666666665,2022-04-08,123,142,2022-05-20,42,1,1,1,1
