Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,22,AC_039,AC_168,5,2021-12-05,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,6,2021-12-05,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,7,2021-11-03,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,8,NA,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,9,2021-11-03,2021-10-27,2021-11-04
1,1,22,AC_039,AC_168,10,2021-11-03,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,1,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,2,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,3,NA,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,4,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,5,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,6,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,7,NA,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,8,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,9,2021-12-05,2021-10-27,2021-11-04
1,1,23,AC_045,AC_151,10,2021-12-05,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,1,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,2,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,3,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,4,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,5,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,6,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,7,2021-12-05,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,8,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,9,2021-11-03,2021-10-27,2021-11-04
1,1,24,AC_195,AC_193,10,2021-11-03,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,1,2021-12-05,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,2,NA,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,3,2021-12-05,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,4,2021-12-05,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,5,2021-11-03,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,6,2021-12-05,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,7,2021-11-03,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,8,NA,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,9,2021-11-03,2021-10-27,2021-11-04
1,1,25,AC_089,AC_057,10,NA,2021-10-27,2021-11-04
1,1,26,AC_160,AC_015,1,2021-11-03,2021-10-27,2021-11-04
1,1,26,AC_160,AC_015,2,NA,2021-10-27,2021-11-04
1,1,26,AC_160,AC_015,3,2021-11-03,2021-10-27,2021-11-04
1,1,26,AC_160,AC_015,4,2021-12-05,2021-10-27,2021-11-04
1,1,26,AC_160,AC_015,5,2021-11-03,2021-10-27,2021-11-04
