Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,20,55,1,BB_075,BB_164,R,4,TRUE,TRUE,TRUE,4,"1,4,8",NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,6,4,4,4,2022-03-25,103,113,2022-04-08,14,1,1,1,1
1,20,56,2,BB_142,BB_150,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-19,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-11,7,1,0,8,4,53,7.571428571428571,60.57142857142857,2022-03-11,82,99,2022-04-22,42,1,1,1,1
1,20,57,4,BB_130,BB_048,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,2,2,2,2022-03-25,96,113,2022-04-01,7,1,1,1,1
1,21,58,3,BB_167,BB_110,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,102,120,2022-04-01,0,1,1,0,0
1,21,59,3,BB_169,BB_160,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-25,1,1,0,2,3,2,2,4,2022-03-17,95,105,2022-05-12,56,1,1,1,1
1,21,60,5,BB_215,BB_004,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-20,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-17,1,2,0,3,0,6,6,18,2022-03-17,87,105,2022-04-22,36,1,1,1,1
1,22,61,4,BB_073,BB_084,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,1,0,0,1,1,1,1,1,2022-04-01,102,120,2022-04-01,0,1,1,1,1
1,22,62,3,BB_011,BB_215,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,7,0,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,22,63,3,BB_038,BB_149,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,2022-05-19,NA,NA,2022-04-08,2,0,2,2,2,29,14.5,29,2022-04-08,117,127,2022-05-19,41,1,1,1,1
1,23,64,2,BB_182,BB_103,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,16,18,1,34,51,139,8.6875,295.375,2022-03-11,89,99,2022-04-28,48,1,1,1,1
