Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,18,HR_131,HR_046,6,2021-12-06,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,7,2021-12-17,2021-11-10,2021-11-19
1,1,18,HR_131,HR_046,8,2021-12-06,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,1,2021-12-17,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,2,2021-12-06,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,3,2021-12-17,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,4,NA,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,5,2021-12-06,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,6,2021-12-17,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,7,2021-12-17,2021-11-10,2021-11-19
1,1,19,HR_095,HR_020,8,2021-12-17,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,1,NA,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,2,2021-12-17,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,3,2021-11-19,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,4,2021-12-17,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,5,NA,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,6,2021-12-06,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,7,2021-12-06,2021-11-10,2021-11-19
1,1,20,HR_108,HR_016,8,2021-12-17,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,1,2021-12-06,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,2,NA,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,3,NA,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,4,2021-12-06,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,5,2021-12-06,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,6,2021-12-06,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,7,2021-12-17,2021-11-10,2021-11-19
1,1,21,HR_200,HR_010,8,2021-12-06,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,1,NA,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,2,2021-12-17,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,3,NA,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,4,NA,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,5,NA,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,6,2021-11-19,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,7,NA,2021-11-10,2021-11-19
1,1,22,HR_164,HR_041,8,NA,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,1,NA,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,2,NA,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,3,NA,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,4,2021-11-19,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,5,2021-12-06,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,6,2021-12-06,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,7,NA,2021-11-10,2021-11-19
1,1,23,HR_168,HR_148,8,NA,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,1,2021-12-06,2021-11-10,2021-11-19
1,1,24,HR_121,HR_105,2,NA,2021-11-10,2021-11-19
