Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
29,10,L,G1,BB_029,3,,,,,,,,,,,
29,10,L,G1,BB_029,4,,,,,,,,,,,
29,10,L,G1,BB_029,5,,,,,,,,,,,
29,10,R,G1,BB_135,1,,,,,,,,,,,
29,10,R,G1,BB_135,2,,,,,,,,,,,
29,10,R,G1,BB_135,3,,,,,,,,,,,
29,10,R,G1,BB_135,4,,,,,,,,,,,
29,10,R,G1,BB_135,5,,,,,,,,,,,
30,10,L,G2,BB_039,1,,,,,,,,,,,
30,10,L,G2,BB_039,2,,,,,,,,,,,
30,10,L,G2,BB_039,3,,,,,,,,,,,
30,10,L,G2,BB_039,4,,,,,,,,,,,
30,10,L,G2,BB_039,5,,,,,,,,,,,
30,10,R,G1,BB_094,1,,,,,,,,,,,
30,10,R,G1,BB_094,2,,,,,,,,,,,
30,10,R,G1,BB_094,3,,,,,,,,,,,
30,10,R,G1,BB_094,4,,,,,,,,,,,
30,10,R,G1,BB_094,5,,,,,,,,,,,
31,11,L,G1,BB_159,1,,,,,,,,,,,
31,11,L,G1,BB_159,2,,,,,,,,,,,
31,11,L,G1,BB_159,3,,,,,,,,,,,
31,11,L,G1,BB_159,4,,,,,,,,,,,
31,11,L,G1,BB_159,5,,,,,,,,,,,
31,11,R,G1,BB_063,1,,,,,,,,,,,
31,11,R,G1,BB_063,2,,,,,,,,,,,
31,11,R,G1,BB_063,3,,,,,,,,,,,
31,11,R,G1,BB_063,4,,,,,,,,,,,
31,11,R,G1,BB_063,5,,,,,,,,,,,
32,11,L,G1,BB_192,1,,,,,,,,,,,
32,11,L,G1,BB_192,2,,,,,,,,,,,
32,11,L,G1,BB_192,3,,,,,,,,,,,
32,11,L,G1,BB_192,4,,,,,,,,,,,
32,11,L,G1,BB_192,5,,,,,,,,,,,
32,11,R,G1,BB_004,1,,,,,,,,,,,
32,11,R,G1,BB_004,2,,,,,,,,,,,
32,11,R,G1,BB_004,3,,,,,,,,,,,
32,11,R,G1,BB_004,4,,,,,,,,,,,
32,11,R,G1,BB_004,5,,,,,,,,,,,
33,11,L,G1,BB_088,1,,,,,,,,,,,
33,11,L,G1,BB_088,2,,,,,,,,,,,
33,11,L,G1,BB_088,3,,,,,,,,,,,
33,11,L,G1,BB_088,4,,,,,,,,,,,
33,11,L,G1,BB_088,5,,,,,,,,,,,
33,11,R,G1,BB_045,1,,,,,,,,,,,
33,11,R,G1,BB_045,2,,,,,,,,,,,
33,11,R,G1,BB_045,3,,,,,,,,,,,
33,11,R,G1,BB_045,4,,,,,,,,,,,
33,11,R,G1,BB_045,5,,,,,,,,,,,
34,12,L,G2,BB_058,1,,,,,,,,,,,
34,12,L,G2,BB_058,2,,,,,,,,,,,
34,12,L,G2,BB_058,3,,,,,,,,,,,
34,12,L,G2,BB_058,4,,,,,,,,,,,
34,12,L,G2,BB_058,5,,,,,,,,,,,
34,12,R,G1,BB_172,1,,,,,,,,,,,
34,12,R,G1,BB_172,2,,,,,,,,,,,
34,12,R,G1,BB_172,3,,,,,,,,,,,
34,12,R,G1,BB_172,4,,,,,,,,,,,
34,12,R,G1,BB_172,5,,,,,,,,,,,
35,12,L,G1,BB_103,1,,,,,,,,,,,
35,12,L,G1,BB_103,2,,,,,,,,,,,
35,12,L,G1,BB_103,3,,,,,,,,,,,
35,12,L,G1,BB_103,4,,,,,,,,,,,
35,12,L,G1,BB_103,5,,,,,,,,,,,
35,12,R,G1,BB_183,1,,,,,,,,,,,
35,12,R,G1,BB_183,2,,,,,,,,,,,
35,12,R,G1,BB_183,3,,,,,,,,,,,
35,12,R,G1,BB_183,4,,,,,,,,,,,
35,12,R,G1,BB_183,5,,,,,,,,,,,
36,12,L,G2,BB_009,1,,,,,,,,,,,
36,12,L,G2,BB_009,2,,,,,,,,,,,
36,12,L,G2,BB_009,3,,,,,,,,,,,
36,12,L,G2,BB_009,4,,,,,,,,,,,
36,12,L,G2,BB_009,5,,,,,,,,,,,
36,12,R,G2,BB_148,1,,,,,,,,,,,
36,12,R,G2,BB_148,2,,,,,,,,,,,
36,12,R,G2,BB_148,3,,,,,,,,,,,
36,12,R,G2,BB_148,4,,,,,,,,,,,
36,12,R,G2,BB_148,5,,,,,,,,,,,
37,13,L,G1,BB_032,1,,,,,,,,,,,
37,13,L,G1,BB_032,2,,,,,,,,,,,
37,13,L,G1,BB_032,3,,,,,,,,,,,
37,13,L,G1,BB_032,4,,,,,,,,,,,
37,13,L,G1,BB_032,5,,,,,,,,,,,
37,13,R,G1,BB_024,1,,,,,,,,,,,
37,13,R,G1,BB_024,2,,,,,,,,,,,
37,13,R,G1,BB_024,3,,,,,,,,,,,
37,13,R,G1,BB_024,4,,,,,,,,,,,
37,13,R,G1,BB_024,5,,,,,,,,,,,
38,13,L,G1,BB_089,1,,,,,,,,,,,
38,13,L,G1,BB_089,2,,,,,,,,,,,
38,13,L,G1,BB_089,3,,,,,,,,,,,
38,13,L,G1,BB_089,4,,,,,,,,,,,
38,13,L,G1,BB_089,5,,,,,,,,,,,
38,13,R,G1,BB_018,1,,,,,,,,,,,
38,13,R,G1,BB_018,2,,,,,,,,,,,
38,13,R,G1,BB_018,3,,,,,,,,,,,
38,13,R,G1,BB_018,4,,,,,,,,,,,
38,13,R,G1,BB_018,5,,,,,,,,,,,
39,13,L,G1,BB_102,1,,,,,,,,,,,
39,13,L,G1,BB_102,2,,,,,,,,,,,
39,13,L,G1,BB_102,3,,,,,,,,,,,
39,13,L,G1,BB_102,4,,,,,,,,,,,
39,13,L,G1,BB_102,5,,,,,,,,,,,
39,13,R,G1,BB_179,1,,,,,,,,,,,
39,13,R,G1,BB_179,2,,,,,,,,,,,
39,13,R,G1,BB_179,3,,,,,,,,,,,
39,13,R,G1,BB_179,4,,,,,,,,,,,
39,13,R,G1,BB_179,5,,,,,,,,,,,
40,14,L,G1,BB_048,1,,,,,,,,,,,
40,14,L,G1,BB_048,2,,,,,,,,,,,
40,14,L,G1,BB_048,3,,,,,,,,,,,
40,14,L,G1,BB_048,4,,,,,,,,,,,
40,14,L,G1,BB_048,5,,,,,,,,,,,
40,14,R,G1,BB_078,1,,,,,,,,,,,
40,14,R,G1,BB_078,2,,,,,,,,,,,
40,14,R,G1,BB_078,3,,,,,,,,,,,
40,14,R,G1,BB_078,4,,,,,,,,,,,
40,14,R,G1,BB_078,5,,,,,,,,,,,
41,14,L,G2,BB_200,1,,,,,,,,,,,
41,14,L,G2,BB_200,2,,,,,,,,,,,
41,14,L,G2,BB_200,3,,,,,,,,,,,
41,14,L,G2,BB_200,4,,,,,,,,,,,
41,14,L,G2,BB_200,5,,,,,,,,,,,
41,14,R,G1,BB_207,1,,,,,,,,,,,
41,14,R,G1,BB_207,2,,,,,,,,,,,
41,14,R,G1,BB_207,3,,,,,,,,,,,
41,14,R,G1,BB_207,4,,,,,,,,,,,
41,14,R,G1,BB_207,5,,,,,,,,,,,
42,14,L,G1,BB_121,1,,,,,,,,,,,
42,14,L,G1,BB_121,2,,,,,,,,,,,
42,14,L,G1,BB_121,3,,,,,,,,,,,
42,14,L,G1,BB_121,4,,,,,,,,,,,
42,14,L,G1,BB_121,5,,,,,,,,,,,
42,14,R,G1,BB_009,1,,,,,,,,,,,
42,14,R,G1,BB_009,2,,,,,,,,,,,
42,14,R,G1,BB_009,3,,,,,,,,,,,
42,14,R,G1,BB_009,4,,,,,,,,,,,
