Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,65,1,1,2,BO_119,BO_051,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-25,54,116,141,135,26.928,451.953,NA,NA,NA,NA,75.71,-25.32,2.52,2,25,27,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,67,5,1,2,BO_194,BO_125,G1,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-11,2021-11-17,2022-04-01,2022-05-25,54,NA,141,135,25.068,379.678,NA,NA,NA,NA,NA,-27.57,4.24,0,14,14,4,0,NA,NA,NA,NA,NA,0,1,1,0,0
2022,68,2,1,2,BO_029,BO_061,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,24.933,422.993,79.698,6.5,12.261230769230767,0.08155788100077795,NA,NA,NA,2,20,22,2,2,4.55,NA,1,22,22,1,1,1,1,1
2022,69,3,1,2,BO_163,BO_072,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-28,2021-11-11,2021-11-17,2022-04-08,2022-04-21,13,101,148,142,25.662,377.749,61.945,4.61,13.437093275488069,0.07442085721204295,NA,NA,NA,2,0,2,3,2,2.885,NA,1,2,2,1,1,1,1,1
2022,70,1,1,2,BO_119,BO_017,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-05-20,49,116,141,135,27.695,475.09,49.304,3.13,15.752076677316294,0.0634836930066526,133.34,-27.29,3.75,14,18,32,0,21,6.5335,2.8680911334893113,1.5,48,48,1,1,1,1,1
2022,71,3,1,2,BO_039,BO_200,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-03-25,2022-05-05,41,109,134,128,NA,NA,NA,NA,NA,NA,68.03,-28.44,3.58,3,39,42,0,3,3.9433333333333334,NA,1,42,42,1,1,1,1,1
2022,72,2,1,2,BO_189,BO_086,G1,R,7,TRUE,TRUE,TRUE,7,"2,7,8",2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-21,20,116,141,135,NA,NA,NA,NA,NA,NA,38.84,-29.22,3.98,4,4,8,0,6,4.24,0.1838477631085022,1.5,12,12,1,1,1,1,1
2022,73,5,1,2,BO_143,BO_152,G1,R,1,TRUE,TRUE,TRUE,1,"1,7,8",2021-12-15,2021-11-11,2021-11-17,2022-03-25,2022-04-13,19,100,134,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,74,4,1,2,BO_170,BO_055,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-15,2021-11-11,2021-11-17,2022-03-25,2022-05-05,41,100,134,128,NA,NA,38.016,2.51,15.14581673306773,0.06602483164983165,NA,NA,NA,9,18,27,5,2,8.629999999999999,1.9657568516986017,0.2222222222222222,6,6,1,1,1,1,1
2022,75,5,1,2,BO_109,BO_095,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,95.638,7.08,13.50819209039548,0.07402915159246325,NA,NA,NA,0,0,0,3,0,NA,NA,NA,0,0,1,1,0,0,0
