,,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,Plant number of fitness plant (when chosen),,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Open Fruits ,Eaten or damaged fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Total number of non-fitness fruits collected from segment,Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,,,,,,,,,,,,,,,,,,,,
101,3,AC_192,AC_192,10,0,6,0,0,6,0,#DIV/0!,#DIV/0!,11/04/2021,,,,,,,,,,,6,,,,,,,,,,
78,3,AC_197,AC_197,4,6,1,0,7,7,0,1.166666667,8.166666667,11/04/2021,,,,,,4,,,,2,,,,,1,,,,,,
78,3,AC_197,AC_197,9,19,1,0,40,20,0,2.105263158,42.10526316,11/04/2021,,,,,,8,,,,8,,,,3,1,,,,,,
78,3,AC_197,AC_197,10,9,2,0,22,11,0,2.444444444,26.88888889,11/04/2021,,,,,,5,,,,4,1,,,,1,,,,,,
87,3,AC_201,AC_201,8,7,0,0,9,7,7,1.285714286,9,11/04/2021,,,,,,5,,,,2,,,7,,,,,,,,
79,3,AC_208,AC_208,3,5,3,0,18,8,0,3.6,28.8,11/04/2021,,,,,,4,,,,1,1,,,,2,,,,,,
79,3,AC_208,AC_208,6,1,0,0,0,1,0,0,0,11/04/2021,,,,,,1,,,,,,,,,,,,,,,
79,3,AC_208,AC_208,8,5,2,0,4,7,0,0.8,5.6,11/04/2021,,,,,,1,,,,2,,,,2,2,,,,,,
106,3,AC_212,AC_212,8,5,1,0,8,6,0,2,12,11/04/2021,,,,,,5,1,,,,,,,,,,,,,,
88,3,AC_216,AC_216,1,4,1,0,2,5,0,0.5,2.5,11/04/2021,,,,,,2,1,,,2,,,,,,,,,,,
88,3,AC_216,AC_216,5,14,2,0,32,16,0,2.285714286,36.57142857,11/04/2021,,,,,,6,,,,6,2,,,2,,,,,,,
88,3,AC_216,AC_216,10,4,0,0,10,4,0,2.5,10,11/04/2021,,,,,,1,,,,3,,,,,,,,,,,
97,3,AC_217,AC_217,5,4,3,0,13,7,0,3.25,22.75,11/04/2021,,,,,,4,1,,,,,,,,2,,,,,,
97,3,AC_217,AC_217,10,7,2,0,17,9,0,2.428571429,21.85714286,11/04/2021,,,,,,7,,,,,,,,,2,,,,,,
111,4,AC_10,AC_010,7,1,2,0,0,3,2,0,0,,,,,,,1,,,2,,,,,,2,,,,,,
135,4,AC_14,AC_014,1,5,1,0,1,6,38,0.2,1.2,,,,,,,4,,,31,1,,,7,,1,,,,,,
114,4,AC_16,AC_016,2,4,4,0,11,8,14,2.75,22,,,,,,,,,,2,4,,,12,,4,,,,,,
109,4,AC_32,AC_032,5,3,5,0,0,8,19,0,0,,,,,,,,,,,3,3,,19,,2,,,,,,
125,4,AC_34,AC_034,1,6,1,0,0,7,0,0,0,,,,,,,4,1,,,2,,,,,,,,,,,
125,4,AC_34,AC_034,4,13,12,0,0,25,0,0,0,,,,,,,,2,,,5,3,,,,7,,,8,,,
125,4,AC_34,AC_034,7,6,5,0,0,11,19,0,0,,,,,,,4,1,,12,2,,,7,,4,,,,,,
116,4,AC_40,AC_040,2,7,7,0,0,14,0,0,0,,,,,,,,,,,7,5,,,,2,,,,,,
116,4,AC_40,AC_040,7,12,4,0,0,16,0,0,0,,,,,,,,,,,12,4,,,,,,,,,,
116,4,AC_40,AC_040,8,10,5,0,0,15,20,0,0,,,,,,,,,,3,10,5,,17,,,,,,,,
126,4,AC_46,AC_046,8,10,3,0,0,13,19,0,0,,,1,,,,4,1,,19,5,2,,,,,,,,,,
113,4,AC_55,AC_055,1,9,9,0,0,18,0,0,0,,,,,,,2,,,,7,4,,,,5,,,,,,
113,4,AC_55,AC_055,2,16,11,0,0,27,0,0,0,,,,,,,1,,,,15,4,,,,7,,,,,,
