,,,,,,,,,,,,,,,,,,,,Collection Date: 2022-04-08,,,Collection Date: 2022-04-22 to 2022-04-23,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-04,,,Collection Date: 2022-05-12,,,Collection Date: 2022-05-19 ,,,Collection Date: 2022-05-25 to 2022-05-26,,,Collection Date: 2022-06-09,,,Collection Date: NA,,
Sequence,Block,Location,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),Total number of viable seeds counted across multiple dates,Identifier,Idnetifier,ff_date,Index Match ,Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Total number of all Open fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Sown Date ,Flowering Date ,Days from sown to flower ,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
125,1,11,BB_60,BB_060,3,47,11_BB_60_3,9_BB_17_4,11-Mar,25-Mar,13,#REF!,47,#REF!,3.615384615,47,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,,,,,,,13,,47,,,
133,1,11,BB_71,BB_071,,0,11_BB_71_,9_BB_17_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,11,BB_93,BB_093,7,41,11_BB_93_7,9_BB_189_6,1-Apr,#N/A,7,#REF!,41,#REF!,5.857142857,41,12/04/2022,03/17/2022,,,,,,,,,,,,,,3,,23,4,,18,,,,,,,,,
141,1,12,BB_18,BB_018,6,14,12_BB_18_6,9_BB_17_5,1-Apr,25-Mar,1,#REF!,14,#REF!,14,14,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,1,,14,,,,,,,,,
137,1,12,BB_68,BB_068,,0,12_BB_68_,9_BB_17_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,13,BB_29,BB_029,5,3,13_BB_29_5,10_BB_187_3,8-Apr,#N/A,1,#REF!,3,#REF!,3,3,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
153,1,13,BB_45,BB_045,6,0,13_BB_45_6,10_BB_58_2,25-Mar,25-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,13,BB_131,BB_131,6,4,13_BB_131_6,10_BB_21_3,25-Mar,11-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,
161,1,14,BB_83,BB_083,7,25,14_BB_83_7,10_BB_32_5,25-Mar,17-Mar,4,#REF!,25,#REF!,6.25,25,12/04/2022,03/17/2022,,,,,,,,,,,,,,3,,18,1,,7,,,,,,,,,
165,1,14,BB_116,BB_116,6,0,14_BB_116_6,11_BB_60_3,25-Mar,1-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,14,BB_172,BB_172,4,1,14_BB_172_4,12_BB_68_2,1-Apr,1-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
169,1,15,BB_19,BB_019,,0,15_BB_19_,12_BB_18_6,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,15,BB_61,BB_061,8,0,15_BB_61_8,13_BB_131_6,11-Mar,22-Apr,2,#REF!,0,#REF!,0,0,12/04/2022,04/22/2022,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,
,1,16,BB_166,BB_166,5,5,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,
177,1,16,BB_210,BB_210,,0,16_BB_210_,13_BB_45_6,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1,17,BB_34,BB_034,5,3,17_BB_34_5,14_BB_172_4,1-Apr,17-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,
193,1,17,BB_98,BB_098,2,0,17_BB_98_2,14_BB_83_7,17-Mar,25-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
189,1,17,BB_146,BB_146,7,12,17_BB_146_7,14_BB_116_6,1-Apr,17-Mar,2,#REF!,12,#REF!,6,12,12/04/2022,03/17/2022,,,,,,,,,,,,,,1,,0,1,,12,,,,,,,,,
201,1,18,BB_52,BB_052,5,1,18_BB_52_5,15_BB_19_1,22-Apr,#N/A,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
197,1,18,BB_101,BB_101,2,9,18_BB_101_2,15_BB_61_8,22-Apr,1-Apr,2,#REF!,9,#REF!,4.5,9,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,2,,9,,,,,,
209,1,19,BB_117,BB_117,5,8,19_BB_117_5,16_BB_210_6,1-Apr,8-Apr,6,#REF!,8,#REF!,1.333333333,8,12/04/2022,04/08/2022,,,,,,,,,,,,,,,,,,,,1,,3,5,,5,,,
205,1,19,BB_134,BB_134,6,0,19_BB_134_6,16_BB_166_5,25-Mar,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,19,BB_209,BB_209,6,0,19_BB_209_6,17_BB_98_2,25-Mar,25-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1,20,BB_48,BB_048,8,2,20_BB_48_8,17_BB_34_5,17-Mar,25-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
221,1,20,BB_150,BB_150,3,53,20_BB_150_3,17_BB_146_7,17-Mar,11-Mar,6,#REF!,46,#REF!,7.666666667,46,12/04/2022,03/11/2022,,1,,7,,,,,,,,,,2,,10,4,,36,,,,,,,1,,0
217,1,20,BB_164,BB_164,4,4,20_BB_164_4,18_BB_101_2,1-Apr,25-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,03/25/2022,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
217,1,20,BB_164,BB_164,1,2,20_BB_164_1,19_BB_134_6,17-Mar,1-Apr,3,#REF!,2,#REF!,0.6666666667,2,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,
237,1,21,BB_4,BB_004,4,6,21_BB_4_4,19_BB_117_5,8-Apr,#N/A,1,#REF!,6,#REF!,6,6,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,
229,1,21,BB_110,BB_110,,0,21_BB_110_,19_BB_209_6,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1,21,BB_160,BB_160,3,2,21_BB_160_3,20_BB_164_1,1-Apr,17-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,
241,1,22,BB_84,BB_084,4,1,22_BB_84_4,20_BB_164_4,25-Mar,1-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
249,1,22,BB_149,BB_149,6,29,22_BB_149_6,20_BB_150_3,11-Mar,8-Apr,2,#REF!,29,#REF!,14.5,29,12/04/2022,04/08/2022,,,,,,,,,,,,,,,,,,,,2,,29,,,,,,
245,1,22,BB_215,BB_215,5,0,22_BB_215_5,20_BB_164_4,25-Mar,1-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1,23,BB_7,BB_007,NF,0,23_BB_7_NF,20_BB_164_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1,23,BB_44,BB_044,,0,23_BB_44_,20_BB_164_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1,23,BB_103,BB_103,5,139,23_BB_103_5,20_BB_48_8,25-Mar,11-Mar,7,#REF!,66,#REF!,9.428571429,66,12/04/2022,03/11/2022,,,,,,,,,,,,,,3,,30,4,,36,,,,,,,9,,73
269,1,24,BB_199,BB_199,,0,24_BB_199_,21_BB_160_3,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,24,BB_200,BB_200,5,10,24_BB_200_5,21_BB_110_6,1-Apr,11-Mar,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,12/04/2022,03/25/2022,,,,,,,,2,,10,,,,,,,,,,,,,,,,,,
273,1,24,BB_211,BB_211,,0,24_BB_211_,22_BB_84_4,1-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1,25,BB_94,BB_094,2,0,25_BB_94_2,22_BB_215_5,1-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,1,25,BB_113,BB_113,2,0,25_BB_113_2,22_BB_149_6,8-Apr,17-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
281,1,25,BB_171,BB_171,NF,0,25_BB_171_NF,23_BB_44_4,dead,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1,26,BB_25,BB_025,NF,0,26_BB_25_NF,23_BB_103_5,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1,26,BB_59,BB_059,3,0,26_BB_59_3,23_BB_7_7,8-Apr,8-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,04/08/2022,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
297,1,26,BB_185,BB_185,4,2,26_BB_185_4,24_BB_199_1,22-Apr,25-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
297,1,26,BB_185,BB_185,6,0,26_BB_185_6,24_BB_211_3,1-Apr,25-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
