,,,,,,,,,,,,,,,,,,,,Collection Date: 2022-04-08,,,Collection Date: 2022-04-22 to 2022-04-23,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-04,,,Collection Date: 2022-05-12,,,Collection Date: 2022-05-19 ,,,Collection Date: 2022-05-25 to 2022-05-26,,,Collection Date: 2022-06-09,,,Collection Date: NA,,
Sequence,Block,Location,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),Total number of viable seeds counted across multiple dates,Identifier,Idnetifier,ff_date,Index Match ,Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Total number of all Open fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Sown Date ,Flowering Date ,Days from sown to flower ,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
1173,2,97,BB_190,BB_190,,0,97_BB_190_,87_BB_126_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,2,98,BB_86,BB_086,,0,98_BB_86_,88_BB_17_2,25-Feb,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,2,98,BB_110,BB_110,,0,98_BB_110_,88_BB_17_4,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,2,99,BB_35,BB_035,,0,99_BB_35_,88_BB_116_1,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,2,99,BB_59,BB_059,2,1,99_BB_59_2,88_BB_17_5,18-Mar,11-Mar,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
1201,2,99,BB_192,BB_192,4,0,99_BB_192_4,88_BB_149_8,23-Apr,11-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,2,99,BB_205 A,BB_205 A,6,0,99_BB_205 A_6,90_BB_164_4,8-Apr,18-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
1205,W2,100,BB_32,BB_032,,0,100_BB_32_,90_BB_164_5,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,W2,100,BB_85,BB_085,1,4,100_BB_85_1,90_BB_164_7,2-Apr,18-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
1213,W2,100,BB_161,BB_161,,0,100_BB_161_,90_BB_24_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2,101,BB_21,BB_021,3,7,101_BB_21_3,90_BB_24_8,NA,11-Mar,1,#REF!,7,#REF!,7,7,12/04/2022,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,
1221,2,101,BB_74,BB_074,,0,101_BB_74_,90_BB_79_8,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,2,101,BB_97,BB_097,,0,101_BB_97_,91_BB_7_2,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,2,102,BB_34,BB_034,,0,102_BB_34_,91_BB_49_7,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2,102,BB_89,BB_089,,0,102_BB_89_,92_BB_160_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,2,102,BB_183,BB_183,,0,102_BB_183_,92_BB_10_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,2,103,BB_30,BB_030,6,0,103_BB_30_6,92_BB_80_8,11-Mar,23-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1241,2,103,BB_54,BB_054,,0,103_BB_54_,93_BB_138_2,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,2,103,BB_181,BB_181,,0,103_BB_181_,94_BB_94_3,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,2,103,BB_215,BB_215,2,0,103_BB_215_2,94_BB_13_4,18-Mar,29-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
1261,2,104,BB_46,BB_046,,0,104_BB_46_,95_BB_63_7,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,2,104,BB_48,BB_048,4,3,104_BB_48_4,96_BB_200_1,NA,23-Apr,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,
1265,2,104,BB_170,BB_170,,0,104_BB_170_,96_BB_44_3,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,2,105,BB_123,BB_123,7,4,105_BB_123_7,97_BB_71_1,2-Apr,2-Apr,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,
1273,3,106,BB_71,BB_071,,0,106_BB_71_,97_BB_60_5,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,3,106,BB_72,BB_072,5,3,106_BB_72_5,98_BB_86_3,2-Apr,2-Apr,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,
1277,3,106,BB_103,BB_103,5,2,106_BB_103_5,98_BB_110_5,11-Mar,2-Apr,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
1293,3,107,BB_20,BB_020,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,3,107,BB_20,BB_020,7,0,107_BB_20_7,99_BB_59_2,11-Mar,11-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,3,107,BB_20,BB_020,8,1,107_BB_20_8,99_BB_192_4,11-Mar,18-Mar,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
1285,3,107,BB_159,BB_159,,0,107_BB_159_,99_BB_205 A_6,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,3,107,BB_181,BB_181,,0,107_BB_181_,99_BB_35_5,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,3,108,BB_186,BB_186,,0,108_BB_186_,100_BB_85_1,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,3,108,BB_204,BB_204,7,0,108_BB_204_7,100_BB_85_2,2-Apr,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,3,108,BB_215,BB_215,,0,108_BB_215_,100_BB_85_8,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,3,109,BB_24,BB_024,,0,109_BB_24_,101_BB_21_3,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,3,109,BB_87,BB_087,,0,109_BB_87_,102_BB_183_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,3,109,BB_97,BB_097,,0,109_BB_97_,103_BB_215_2,29-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,W2,110,BB_61,BB_061,,0,110_BB_61_,103_BB_181_2,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,W2,110,BB_77,BB_077,7,3,110_BB_77_7,103_BB_54_7,8-Apr,2-Apr,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
1321,W2,110,BB_187,BB_187,8,1,110_BB_187_8,103_BB_30_6,23-Apr,#N/A,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1337,3,111,BB_27,BB_027,,0,111_BB_27_,104_BB_48_4,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,3,111,BB_69,BB_069,,0,111_BB_69_,104_BB_46_4,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,3,111,BB_127,BB_127,7,1,111_BB_127_7,104_BB_170_1,2-Apr,2-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1353,3,112,BB_68,BB_068,,0,112_BB_68_,105_BB_123_7,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,3,112,BB_151,BB_151,,0,112_BB_151_,106_BB_71_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,3,112,BB_161,BB_161,,0,112_BB_161_,106_BB_103_5,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,3,112,BB_218,BB_218,,0,112_BB_218_,106_BB_72_5,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,3,113,BB_30,BB_030,,0,113_BB_30_,107_BB_20_3,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,3,113,BB_118,BB_118,,0,113_BB_118_,107_BB_20_3,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,3,113,BB_201,BB_201,,0,113_BB_201_,107_BB_20_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,3,114,BB_32,BB_032,,0,114_BB_32_,107_BB_20_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,3,114,BB_35,BB_035,,0,114_BB_35_,107_BB_20_8,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,3,114,BB_126,BB_126,,0,114_BB_126_,108_BB_204_7,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,3,115,BB_77,BB_077,7,4,115_BB_77_7,108_BB_186_8,18-Mar,18-Mar,2,#REF!,4,#REF!,2,4,12/04/2022,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,
1389,3,115,BB_77,BB_077,8,0,115_BB_77_8,109_BB_87_3,25-Feb,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,3,115,BB_101,BB_101,,0,115_BB_101_,109_BB_97_2,12145,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,3,115,BB_214,BB_214,,0,115_BB_214_,109_BB_24_8,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,3,116,BB_64,BB_064,,0,116_BB_64_,110_BB_77_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,3,116,BB_78,BB_078,7,0,116_BB_78_7,110_BB_61_4,8-Apr,#N/A,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1401,3,116,BB_149,BB_149,,0,116_BB_149_,110_BB_187_7,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,3,117,BB_92,BB_092,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,1,,0,,,,,,
1417,3,117,BB_98,BB_098,1,0,117_BB_98_1,110_BB_77_5,8-Apr,18-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,3,117,BB_190,BB_190,3,2,117_BB_190_3,110_BB_77_7,2-Apr,#N/A,2,#REF!,2,#REF!,1,2,12/04/2022,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,
1421,3,118,BB_2,BB_002,,0,118_BB_2_,110_BB_61_6,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,3,118,BB_34,BB_034,,0,118_BB_34_,111_BB_27_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,3,118,BB_207,BB_207,,0,118_BB_207_,111_BB_69_1,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,3,119,BB_86,BB_086,,0,119_BB_86_,111_BB_127_7,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,3,119,BB_143,BB_143,,0,119_BB_143_,112_BB_151_1,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,3,119,BB_189,BB_189,,0,119_BB_189_,112_BB_161_8,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,W2,120,BB_17,BB_017,3,9,120_BB_17_3,112_BB_218_8,26-Mar,11-Mar,2,#REF!,9,#REF!,4.5,9,12/04/2022,,,,,,,,,,,,,,,,,,,,,2,,9,,,,,,
1449,W2,120,BB_17,BB_017,4,10,120_BB_17_4,113_BB_30_4,26-Mar,4-Mar,7,#REF!,7,#REF!,1,7,12/04/2022,,,,,,,,,2,,3,,,,5,,4,,,,,,,,,,2,,3
1449,W2,120,BB_17,BB_017,7,5,120_BB_17_7,113_BB_201_6,26-Mar,4-Mar,5,#REF!,5,#REF!,1,5,12/04/2022,,,,,,1,,0,2,,2,1,,2,,,,1,,1,,,,,,,,,
1445,W2,120,BB_24,BB_024,1,1,120_BB_24_1,113_BB_118_6,2-Apr,11-Mar,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
1445,W2,120,BB_24,BB_024,2,22,120_BB_24_2,114_BB_32_2,23-Apr,11-Mar,4,#REF!,22,#REF!,5.5,22,12/04/2022,,,,,,,,,1,,6,1,,6,,,,1,,6,1,,4,,,,,,
1445,W2,120,BB_24,BB_024,5,119,120_BB_24_5,114_BB_32_5,26-Mar,4-Mar,22,#REF!,119,#REF!,5.409090909,119,12/04/2022,,,,,,,,,2,,11,,,,4,,28,12,,73,4,,7,,,,,,
1453,W2,120,BB_137,BB_137,2,4,120_BB_137_2,115_BB_77_1,26-Mar,18-Mar,3,#REF!,4,#REF!,1.333333333,4,12/04/2022,,,,,,,,,1,,2,,,,2,,2,,,,,,,,,,,,
1453,W2,120,BB_137,BB_137,8,5,120_BB_137_8,115_BB_214_7,18-Mar,18-Mar,2,#REF!,5,#REF!,2.5,5,12/04/2022,,,,,,,,,,,,,,,,,,1,,1,1,,4,,,,,,
1453,W2,120,BB_137,BB_137,6,1,120_BB_137_6,115_BB_77_7,18-Mar,26-Mar,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
1469,3,121,BB_88,BB_088,1,7,121_BB_88_1,115_BB_77_8,26-Mar,#N/A,3,#REF!,7,#REF!,2.333333333,7,12/04/2022,,,,,,,,,,,,3,,7,,,,,,,,,,,,,,,
1461,3,121,BB_109,BB_109,7,1,121_BB_109_7,116_BB_149_5,NA,18-Mar,2,#REF!,1,#REF!,0.5,1,12/04/2022,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
1465,3,121,BB_123,BB_123,2,8,121_BB_123_2,116_BB_64_8,NA,4-Mar,1,#REF!,8,#REF!,8,8,12/04/2022,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,
1457,3,121,BB_134,BB_134,8,7,121_BB_134_8,117_BB_98_1,18-Mar,4-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7
1481,3,122,BB_21,BB_021,5,0,122_BB_21_5,117_BB_92_8,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,3,122,BB_120,BB_120,1,1,122_BB_120_1,118_BB_2_4,11-Mar,NA,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
1473,3,122,BB_152,BB_152,,0,122_BB_152_,118_BB_34_8,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,3,123,BB_3,BB_003,,0,123_BB_3_,118_BB_207_5,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,3,123,BB_10,BB_010,,0,123_BB_10_,119_BB_143_1,29-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,3,123,BB_18,BB_018,5,4,123_BB_18_5,119_BB_189_4,26-Mar,12-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,
1501,3,124,BB_42,BB_042,4,0,124_BB_42_4,119_BB_86_5,2-Apr,4-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,3,124,BB_74,BB_074,,0,124_BB_74_,120_BB_24_1,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,3,124,BB_193,BB_193,8,0,124_BB_193_8,120_BB_24_2,11-Mar,12-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,3,124,BB_195,BB_195,4,0,124_BB_195_4,120_BB_17_3,11-Mar,12-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,3,125,BB_44,BB_044,,0,125_BB_44_,120_BB_17_4,4-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,3,125,BB_49,BB_049,4,1,125_BB_49_4,120_BB_137_2,18-Mar,8-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
1513,3,125,BB_49,BB_049,2,3,125_BB_49_2,120_BB_24_1,11-Mar,18-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,
1517,3,125,BB_131,BB_131,,0,125_BB_131_,120_BB_17_3,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,3,126,BB_13,BB_013,6,0,126_BB_13_6,120_BB_137_2,18-Mar,18-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1525,3,126,BB_117,BB_117,,0,126_BB_117_,120_BB_24_5,4-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,3,126,BB_172,BB_172,3,4,126_BB_172_3,120_BB_17_7,4-Mar,12-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
1529,3,126,BB_205 B,BB_205 B,,0,126_BB_205 B_,120_BB_137_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,3,127,BB_60,BB_060,8,2,127_BB_60_8,120_BB_24_5,4-Mar,2-Apr,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
1545,3,127,BB_80,BB_080,8,0,127_BB_80_8,120_BB_17_7,4-Mar,18-Mar,2,#REF!,0,#REF!,0,0,12/04/2022,,,,,,1,,0,1,,0,,,,,,,,,,,,,,,,,,
1541,3,127,BB_206,BB_206,,0,127_BB_206_,120_BB_137_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,3,128,BB_16,BB_016,,0,128_BB_16_,120_BB_137_8,18-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,3,128,BB_153,BB_153,1,7,128_BB_153_1,121_BB_123_2,4-Mar,12-Mar,1,#REF!,7,#REF!,7,7,12/04/2022,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,
1561,3,128,BB_183,BB_183,,0,128_BB_183_,121_BB_134_8,4-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,3,129,BB_58,BB_058,1,1,129_BB_58_1,121_BB_109_7,18-Mar,8-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
1569,3,129,BB_89,BB_089,8,24,129_BB_89_8,122_BB_152_2,12-Mar,#N/A,4,#REF!,24,#REF!,6,24,12/04/2022,,,,,,,,,2,,15,,,,,,,2,,9,,,,,,,,,
1573,3,129,BB_137,BB_137,8,0,129_BB_137_8,122_BB_152_3,26-Mar,18-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1585,W2,130,BB_105,BB_105,5,1,130_BB_105_5,122_BB_152_4,26-Mar,18-Mar,1,#REF!,1,#REF!,1,1,12/04/2022,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
1585,W2,130,BB_105,BB_105,6,9,130_BB_105_6,122_BB_120_1,NA,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,9
1585,W2,130,BB_105,BB_105,8,6,130_BB_105_8,123_BB_10_3,26-Mar,26-Mar,2,#REF!,6,#REF!,3,6,12/04/2022,,,,,,,,,1,,2,,,,,,,1,,4,,,,,,,,,
1581,W2,130,BB_118,BB_118,4,4,130_BB_118_4,123_BB_18_5,12-Mar,12-Mar,2,#REF!,4,#REF!,2,4,12/04/2022,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,
1577,W2,130,BB_185,BB_185,6,1,130_BB_185_6,123_BB_3_6,18-Mar,18-Mar,3,#REF!,1,#REF!,0.3333333333,1,12/04/2022,,,,,,1,,1,2,,0,,,,,,,,,,,,,,,,,,
1577,W2,130,BB_185,BB_185,7,4,130_BB_185_7,124_BB_42_4,4-Mar,18-Mar,4,#REF!,4,#REF!,1,4,12/04/2022,,,,,,,,,,,,1,,1,3,,3,,,,,,,,,,,,
1593,3,131,BB_19,BB_019,,0,131_BB_19_,124_BB_195_4,12-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,3,131,BB_84,BB_084,,0,131_BB_84_,124_BB_193_8,12-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,3,131,BB_170,BB_170,,0,131_BB_170_,124_BB_74_6,12-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
