Transect,Sequence,Recipient,Plant ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,# of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),"Notes (highlight key: purple=HEIC file, orange=something wrong with data, green=where John M left off)",URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units
12,1570,BO_014,4,https://drive.google.com/file/d/1buE5--pP4zjmZF68rjbI_kuUmF2QRHz7/view?usp=sharing,2022-05-20,,184.022,17.81,,,,,,
12,1571,BO_014,5,,,,,,,,,,,
12,1571,BO_014,6,,,,,,,,,,,
12,1572,BO_014,7,,,,,,,,,,,
12,1572,BO_014,8,,,,,,,,,,,
12,1573,BO_144,1,,,,,,,,,,,
12,1573,BO_144,2,https://drive.google.com/file/d/1pbvogV6a4LWm_xGHA56_gsBGmHB40J7E/view?usp=sharing,2022-05-05,,332.421,23.333,,,,,,
12,1574,BO_144,3,https://drive.google.com/file/d/1XMJddutE18GldAROAv-VU0ALjrPvS7mn/view?usp=sharing,2022-04-01,,405.297,26.905,,https://drive.google.com/file/d/1v0U7IN3a65JKsvTNgYQ7U6ibWcYiXehz/view?usp=sharing,2022-04-01,22.159,15.639,
12,1574,BO_144,4,,,,,,,,,,,
12,1575,BO_144,5,,,,,,,,,,,
12,1575,BO_144,6,,,,,,,,,,,
12,1576,BO_144,7,,,,,,,,,,,
12,1576,BO_144,8,,,,,,,,,,,
12,1577,BO_190,1,https://drive.google.com/file/d/1Zkm-WyBrHp-6AFBdiBOkYxRb3H91_bwx/view?usp=sharing,2022-04-01,,222.372,20.979,,https://drive.google.com/file/d/1CfewAjBuR2orAX5LDh8X6huiLZg4nraN/view?usp=sharing,2022-04-01,77.642,43.117,
12,1577,BO_190,2,,,,,,,,,,,
12,1578,BO_190,3,,,,,,,,,,,
12,1578,BO_190,4,,,,,,,,,,,
12,1579,BO_190,5,,,,,,,,,,,
12,1579,BO_190,6,,,,,,,,,,,
12,1580,BO_190,7,,,,,,,,,,,
12,1580,BO_190,8,,,,,,,,,,,
12,1581,BO_029,1,,,,,,,,,,,
12,1581,BO_029,2,,,,,,,,,,,
12,1582,BO_029,3,,,,,,,,,,,
12,1582,BO_029,4,,,,,,,,,,,
12,1583,BO_029,5,,,,,,,,,,,
12,1583,BO_029,6,,,,,,,,,,,
12,1584,BO_029,7,,,,,,,,,,,
12,1584,BO_029,8,,,,,,,,,,,
