Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
30,1,30L,G1,HR_027,HR_119,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.54,-,0,0,0,0,0,,0,1,0,0,0
30,1,30R,G2,HR_133,HR_072,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,5.89,X,4,2,4,6,6,1,6,1,1,1,1
31,1,31L,G2,HR_141,HR_044,4,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,,X,1,0,2,2,1,2,2,0,1,1,1
31,1,31R,G2,HR_059,HR_166,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,4.49,X,3,0,4,13,3,1.333333333,4,1,1,1,1
32,1,32L,G1,HR_133,HR_158,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,3.81,-,1,0,0,3,1,0,0,1,1,1,0
32,1,32R,G1,HR_115,HR_111,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,10.06,-,3,1,6,11,4,2,8,1,1,1,1
33,1,33L,G2,HR_180,HR_179,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,X,0,0,0,0,0,,0,1,0,0,0
33,1,33R,G1,HR_095,HR_178,1,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,4.05,-,0,1,0,0,1,,,0,1,0,0
34,1,34L,G2,HR_066,HR_137,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,12.64,X,6,0,18,22,6,3,18,1,1,1,1
34,1,34R,G1,HR_195,HR_068,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,-,2,0,7,9,2,3.5,7,1,1,1,1
35,1,35L,G2,HR_164,HR_005,5,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,1.64,X,0,0,0,0,0,,0,0,0,0,0
35,1,35R,G2,HR_139,HR_127,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,11.8,X,2,3,7,11,5,3.5,17.5,1,1,1,1
36,1,36L,G2,HR_053,HR_038,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,4.22,X,2,0,8,8,2,4,8,1,1,1,1
36,1,36R,G2,HR_164,HR_005,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.98,X,1,0,4,5,1,4,4,1,1,1,1
37,1,37L,G2,HR_148,HR_109,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,0.73,X,0,0,0,0,0,,0,1,0,0,0
37,1,37R,G1,HR_057,HR_147,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,1,0,7,9,1,7,7,1,1,1,1
38,1,38L,G1,HR_156,HR_197,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,1.54,-,1,1,1,2,2,1,2,1,1,1,1
38,1,38R,G2,HR_189,HR_168,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,9.87,X,5,1,8,10,6,1.6,9.6,1,1,1,1
39,1,39L,G1,HR_069,HR_156,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,21.88,-,10,2,15,27,12,1.5,18,1,1,1,1
39,1,39R,G1,HR_133,HR_158,5,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,2.3,-,1,1,2,6,2,2,4,0,1,1,1
40,1,40L,G1,HR_149,HR_065,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,3,0,9,13,3,3,9,1,1,1,1
40,1,40R,G1,HR_074,HR_115,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,1,0,0,2,1,0,0,1,1,1,0
41,1,41R,G1,HR_160,HR_033,2,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,,-,1,0,2,2,1,2,2,0,1,1,1
42,1,42L,G2,HR_141,HR_184,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,43.71,X,8,2,8,33,10,1,10,1,1,1,1
42,1,42R,G1,HR_100,HR_135,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,14.57,-,7,0,13,15,7,1.857142857,13,1,1,1,1
43,1,43L,G1,HR_095,HR_178,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,4.11,-,1,0,1,1,1,1,1,1,1,1,1
43,1,43R,G1,HR_062,HR_116,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,1.54,-,1,0,3,3,1,3,3,1,1,1,1
44,1,44L,G2,HR_168,HR_101,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,5.65,X,2,0,14,14,2,7,14,1,1,1,1
44,1,44R,G1,HR_189,HR_018,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,3.03,-,3,0,15,16,3,5,15,1,1,1,1
45,1,45L,G2,HR_110,HR_037,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,X,1,0,2,2,1,2,2,1,1,1,1
