Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes,latitude,longitude
12,4,12L,G1,BB_125,BB_051,5,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-03-29,28,,2023-03-01,2023-03-15,2023-03-29,,,,,,,2023-03-01,,,,25-May,,38.31509,-123.06911
12,4,12R,G2,BB_177,BB_134,1,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,,,,,,2023-03-15,,,,25-May,,38.31509,-123.06911
12,4,12R,G2,BB_177,BB_134,2,FALSE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-11,55,2023-02-15,2023-03-01,2023-03-15,2023-03-29,2023-04-11,,,,,,2023-02-15,,,,,,38.31509,-123.06911
12,4,12R,G2,BB_177,BB_134,3,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-11,27,,,2023-03-15,2023-03-29,2023-04-11,,,,,2023-05-10,,,,,,,38.31509,-123.06911
12,4,12R,G2,BB_177,BB_134,4,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-11,27,,,2023-03-15,2023-03-29,2023-04-11,,,,,,,,,,,,38.31509,-123.06911
12,4,12R,G2,BB_177,BB_134,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31509,-123.06911
13,5,13L,G1,BB_215,BB_148,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
13,5,13L,G1,BB_215,BB_148,2,FALSE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-26,28,,,,2023-03-29,2023-04-11,2023-04-26,,,,2023-05-10,,,,,,male sterile,38.31506,-123.06911
13,5,13L,G1,BB_215,BB_148,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,,2023-03-01,1,,,8-Jun,,38.31506,-123.06911
13,5,13L,G1,BB_215,BB_148,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
13,5,13L,G1,BB_215,BB_148,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,7-Jun,,38.31506,-123.06911
13,5,13R,G1,BB_215,BB_004,1,FALSE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-26,28,,,,2023-03-29,2023-04-11,2023-04-26,,,,2023-05-10,,,,,,,38.31506,-123.06911
13,5,13R,G1,BB_215,BB_004,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
13,5,13R,G1,BB_215,BB_004,3,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,2023-03-15,,,,,,,,,,,,,,38.31506,-123.06911
13,5,13R,G1,BB_215,BB_004,4,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,,2023-03-01,2,,,21-Jun,,38.31506,-123.06911
13,5,13R,G1,BB_215,BB_004,5,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,,,1,,,,,38.31506,-123.06911
14,5,14L,G2,BB_051,BB_143,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,,,2023-03-15,,2023-04-11,2023-04-26,,,,,2023-03-15,,,,25-May,,38.31506,-123.06911
14,5,14L,G2,BB_051,BB_143,2,FALSE,2022-10-03,2022-10-06,2023-04-26,205,202,2023-04-26,0,,,,,,2023-04-26,,,,2023-05-10,,,,,,,38.31506,-123.06911
14,5,14L,G2,BB_051,BB_143,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
14,5,14L,G2,BB_051,BB_143,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
14,5,14L,G2,BB_051,BB_143,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
14,5,14R,G2,BB_194,BB_159,1,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,2023-05-10,2023-03-01,,,,,,38.31506,-123.06911
14,5,14R,G2,BB_194,BB_159,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
14,5,14R,G2,BB_194,BB_159,3,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-29,14,,,2023-03-15,2023-03-29,,,,,,,,,,,,,38.31506,-123.06911
14,5,14R,G2,BB_194,BB_159,4,FALSE,2022-10-03,2022-10-06,2023-04-11,190,187,2023-04-11,0,,,,,2023-04-11,,,,,,,,,,,,38.31506,-123.06911
14,5,14R,G2,BB_194,BB_159,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-11,27,,,2023-03-15,2023-03-29,2023-04-11,,,,,,2023-03-15,,,,25-May,,38.31506,-123.06911
15,5,15L,G1,BB_176,BB_017,1,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-02-15,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,,,,,2023-02-15,,,,21-Jun,,38.31506,-123.06911
15,5,15L,G1,BB_176,BB_017,2,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-26,56,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,,,,,,,,,,,38.31506,-123.06911
15,5,15L,G1,BB_176,BB_017,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
15,5,15L,G1,BB_176,BB_017,4,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,2023-05-10,,4,,,,,38.31506,-123.06911
15,5,15L,G1,BB_176,BB_017,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
15,5,15R,G1,BB_196,BB_088,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
15,5,15R,G1,BB_196,BB_088,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31506,-123.06911
15,5,15R,G1,BB_196,BB_088,3,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-26,2023-05-10,,,,2023-02-15,3,,,8-Jun,,38.31506,-123.06911
