Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FD_01,FD_02,FD_03,FD_04,FD_05,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
15,1,15L,G2,AC_159,AC_094,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
15,1,15L,G2,AC_159,AC_094,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
15,1,15R,G2,AC_177,AC_107,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
15,1,15R,G2,AC_177,AC_107,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
15,1,15R,G2,AC_177,AC_107,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
15,1,15R,G2,AC_177,AC_107,4,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,,,2023-06-22,
15,1,15R,G2,AC_177,AC_107,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16L,G2,AC_165,AC_199,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16L,G2,AC_165,AC_199,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16L,G2,AC_165,AC_199,3,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,2023-06-08,
16,1,16L,G2,AC_165,AC_199,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16L,G2,AC_165,AC_199,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16R,G1,AC_047,AC_113,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16R,G1,AC_047,AC_113,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16R,G1,AC_047,AC_113,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16R,G1,AC_047,AC_113,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
16,1,16R,G1,AC_047,AC_113,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17L,G1,AC_068,AC_195,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17L,G1,AC_068,AC_195,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17L,G1,AC_068,AC_195,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17L,G1,AC_068,AC_195,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17L,G1,AC_068,AC_195,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17R,G2,AC_198,AC_066,1,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,2023-05-12,,,,,
17,1,17R,G2,AC_198,AC_066,2,TRUE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,2023-06-22,
17,1,17R,G2,AC_198,AC_066,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
17,1,17R,G2,AC_198,AC_066,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
17,1,17R,G2,AC_198,AC_066,5,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,2023-05-12,,,,,,
18,1,18L,G1,AC_007,AC_081,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
