Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
156,5,13L,G2,AC_186,AC_153,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,5.89,X,0,1,0,0,1,0,0,1,1,0
157,5,14L,G2,AC_096,AC_128,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,0,,,,X,0,0,0,0,0,0,0,1,0,0
157,5,14R,G1,AC_172,AC_040,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,0,,,4.23,-,4,2,8,10,6,2,12,1,1,1
158,5,15L,G1,AC_002,AC_104,1,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,0,,,3.45,-,0,0,0,0,0,0,0,1,0,0
158,5,15R,G1,AC_156,AC_005,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,0,,,0.8,-,0,0,0,0,0,0,0,1,0,0
159,5,16L,G1,AC_124,AC_030,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,13.48,-,4,2,12,14,6,3,18,1,1,1
159,5,16R,G2,AC_186,AC_048,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,7.14,X,4,1,10,12,5,2.5,12.5,1,1,1
160,5,17L,G1,AC_103,AC_144,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,13.88,-,2,3,12,12,5,6,30,1,1,1
160,5,17R,G1,AC_161,AC_213,4,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,,-,1,1,2,2,2,2,4,1,1,1
161,5,18L,G1,AC_071,AC_115,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,4,,,29.68,-,6,1,3,15,7,0.5,3.5,1,1,1
161,5,18R,G2,AC_156,AC_090,2,TRUE,2022-10-17,2022-10-21,,,,,,,,0,,,2.56,X,0,0,0,0,0,0,0,0,0,0
162,5,19L,G2,AC_094,AC_109,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,,X,3,1,2,9,4,0.6666666667,2.666666667,1,1,1
162,5,19R,G1,AC_156,AC_090,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,1,,,13.52,-,3,0,1,5,3,0.3333333333,1,1,1,1
163,5,20L,G2,AC_159,AC_192,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,2,,,18.6,X,4,0,5,20,4,1.25,5,1,1,1
163,5,20R,G2,AC_064,AC_205,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,4,2,,88.71,X,3,1,1,2,4,0.3333333333,1.333333333,1,1,1
