Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
15,1,15R,G2,HR_085,HR_107,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-16,,,,,14-Jun,
16,1,16L,G1,HR_195,HR_104,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-05-04,,,,16-May,"photo 4/20, marked 6/22"
16,1,16L,G1,HR_195,HR_104,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
16,1,16L,G1,HR_195,HR_104,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
16,1,16L,G1,HR_195,HR_104,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
16,1,16L,G1,HR_195,HR_104,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
16,1,16R,G2,HR_008,HR_012,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
16,1,16R,G2,HR_008,HR_012,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
16,1,16R,G2,HR_008,HR_012,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
16,1,16R,G2,HR_008,HR_012,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,16-May,
16,1,16R,G2,HR_008,HR_012,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
17,1,17L,G2,HR_069,HR_156,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
17,1,17L,G2,HR_069,HR_156,2,FALSE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,2023-05-04,,,,,,,,
17,1,17L,G2,HR_069,HR_156,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
17,1,17L,G2,HR_069,HR_156,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
17,1,17L,G2,HR_069,HR_156,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
17,1,17R,G2,HR_148,HR_050,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
17,1,17R,G2,HR_148,HR_050,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,16-May,
17,1,17R,G2,HR_148,HR_050,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,,
17,1,17R,G2,HR_148,HR_050,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
17,1,17R,G2,HR_148,HR_050,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
18,1,18L,G1,HR_002,HR_071,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
18,1,18L,G1,HR_002,HR_071,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
