Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
16,1,16L,G2,BO_185,BO_071,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16L,G2,BO_185,BO_071,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16L,G2,BO_185,BO_071,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16L,G2,BO_185,BO_071,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16L,G2,BO_185,BO_071,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16R,G2,BO_119,BO_051,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16R,G2,BO_119,BO_051,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16R,G2,BO_119,BO_051,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16R,G2,BO_119,BO_051,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
16,1,16R,G2,BO_119,BO_051,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17L,G1,BO_201,BO_189,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17L,G1,BO_201,BO_189,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17L,G1,BO_201,BO_189,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17L,G1,BO_201,BO_189,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,2023-05-17,,,,2023-05-17,,,,28-Jun,
17,1,17L,G1,BO_201,BO_189,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
17,1,17R,G1,BO_069,BO_043,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
