Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
142,5,18L,G1,BO_143,BO_152,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,,2023-05-05,3,6,0,51.84,-,5,11,11,11,16,2.2,35.2,1,1,1
142,5,18R,G2,BO_189,BO_086,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,,2023-05-17,,3,0,,X,0,1,0,0,1,0,0,1,1,0
144,5,20L,G1,BO_033,BO_124,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,3,2,,87.89,-,13,0,54,60,13,4.153846154,54,1,1,1
146,5,22L,G1,BO_005,BO_019,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-06-01,,,2,,-,3,0,2,2,3,0.6666666667,2,1,1,1
147,5,23L,G1,BO_153,BO_177,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,,,,,,-,0,1,0,0,1,0,0,1,1,0
149,5,25L,G1,BO_187,BO_031,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,,-,1,0,0,3,1,0,0,1,1,0
153,5,29L,G1,BO_109,BO_001,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,-,2,0,3,9,2,1.5,3,1,1,1
156,5,32R,G2,BO_162,BO_108,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,2.09,X,1,0,2,2,1,2,2,1,1,1
158,5,34L,G2,BO_194,BO_125,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,,X,1,0,4,4,1,4,4,1,1,1
158,5,34R,G2,BO_022,BO_146,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-05-05,1,,,,X,3,0,7,13,3,2.333333333,7,1,1,1
168,6,22L,G2,BO_188,BO_052,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,23.19,X,5,0,7,14,5,1.4,7,1,1,1
168,6,22R,G2,BO_187,BO_031,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,,X,3,3,5,12,6,1.666666667,10,1,1,1
169,6,1R,G1,BO_149,BO_185,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,4,2,,86.68,-,10,0,20,20,10,2,20,1,1,1
170,6,2L,G1,BO_151,BO_056,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,,1,,,5.37,-,1,0,2,2,1,2,2,1,1,1
170,6,2R,G2,BO_040,BO_067,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,2,2,,21.3,X,5,0,8,9,5,1.6,8,1,1,1
171,6,3L,G1,BO_153,BO_022,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,,2023-05-05,,1,1,15.87,-,3,1,2,9,4,0.6666666667,2.666666667,1,1,1
171,6,3R,G1,BO_162,BO_089,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-01,41,,,0,,0,12.11,-,1,3,3,3,4,3,12,1,1,1
172,6,4L,G1,BO_198,BO_158,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,,2023-05-17,,1,1(6/15),17.61,-,2,0,5,5,2,2.5,5,1,1,1
172,6,4R,G1,BO_101,BO_182,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,2,,9.98,-,2,0,1,3,2,0.5,1,1,1,1
173,6,5L,G1,BO_106,BO_131,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,,,,,,-,0,0,0,0,0,0,0,1,0,0
175,6,7L,G2,BO_106,BO_191,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,1.59,X,1,0,0,0,1,0,0,1,1,0
176,6,8L,G2,BO_163,BO_072,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-01,41,,2023-04-21,0,,0,4.24,X,2,0,3,3,2,1.5,3,1,1,1
176,6,8R,G1,BO_177,BO_121,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,,2,,140.1,-,17,3,104,117,20,6.117647059,122.3529412,1,1,1
177,6,9L,G1,BO_192,BO_166,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,6.33,-,2,0,8,8,2,4,8,1,1,1
177,6,9R,G1,BO_039,BO_087,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,7.41,-,0,0,0,0,0,0,0,1,0,0
179,6,11L,G2,BO_199,BO_015,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,,,,,,X,2,0,11,13,2,5.5,11,1,1,1
179,6,11R,G2,BO_109,BO_001,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,X,1,1,8,8,2,8,16,1,1,1
180,6,12L,G1,BO_069,BO_145,2,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,,,,,1,16.26,-,0,1,0,0,1,0,0,1,1,0
180,6,12R,G1,BO_198,BO_158,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,,,,,5.65,-,1,1,1,2,2,1,2,1,1,1
181,6,13L,G1,BO_201,BO_199,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,,,,75.38,-,10,0,27,29,10,2.7,27,1,1,1
181,6,13R,G2,BO_128,BO_060,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,4.87,X,2,0,0,2,2,0,0,1,1,0
182,6,14R,G2,BO_201,BO_130,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,1,,,X,2,0,2,3,2,1,2,1,1,1
184,6,16L,G1,BO_074,BO_027,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,54.23,-,8,0,24,42,8,3,24,1,1,1
