Block,Location,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
3,136,BB_210,,7,,Never marked in field but fruit collected
3,136,BB_48,2,2,,
3,136,BB_61,"5,2,8",8,R,
3,137,BB_31,1,1,,
3,137,BB_140,7,7,,
3,137,BB_150,7,7,,
3,138,BB_185,,NA,R,
3,138,BB_160,4,4,,
3,138,BB_76,5,5,,
3,139,BB_113,,NA,,
3,139,BB_46,2,2,,
3,139,BB_200,7,7,,
W2,140,BB_164,,NA,R,
W2,140,BB_49,"1,2,3",NA,R,
W2,140,BB_143,"3,4",NA,R,
3,141,BB_192,1,1,,
3,141,BB_164,"1,4,8",1,R,
3,141,BB_163,5,5,,
3,141,BB_37,8,8,,
3,142,BB_104,1,1,,
3,142,BB_54,4,4,,
3,142,BB_154,5,5,,two plants - 5 and 3 originally recorded
3,143,BB_94,4,4,,
3,143,BB_17,"5,2,6",2,R,
3,143,BB_110,6,6,,
3,144,BB_105,"1,4,8",8,R,
3,144,BB_81,2,2,,
3,144,BB_119,3,3,,
3,144,BB_70,7,7,,
3,145,BB_50,,NA,,
3,145,BB_209,,NA,,
3,145,BB_83,4,4,,
3,145,BB_216,6,6,,
3,146,BB_102,"2,7,8",7,R,
3,146,BB_116,4,4,,
3,146,BB_39,6,6,,
3,146,BB_158,8,8,,
3,147,BB_25,4,4,,
3,147,BB_111,5,5,,
3,147,BB_187,7,7,R,
3,148,BB_40,,NA,,
3,148,BB_171,,NA,,
3,148,BB_29,8,8,,
3,149,BB_93,,NA,,
3,149,BB_138,5,5,,
3,149,BB_139,7,7,,
3,149,BB_56,8,8,,
W2,150,BB_59,"2,6,3",NA,R,
W2,150,BB_79,"5,6,8",NA,R,
W2,150,BB_51,"6,3,7",NA,R,
3,151,BB_4,,NA,,
3,151,BB_211,2,2,,
3,151,BB_51,"2,3",3,R,
3,151,BB_8,7,7,,
3,152,BB_7,1,1,,
3,152,BB_43,5,5,,
3,152,BB_114,8,8,,
