Site: Angelo Coast 2021-22,,,,,,,,,,,
Block (1-3),Transect (1-9),Section (A/B),Sequence (1-321),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds plantable 2021,Number seeds per block
1,3,A,86,5,2,1,AC_007,AC_147,115,57,19
1,3,A,87,5,3,5,AC_103,AC_201,88,44,14.66666667
1,3,A,88,5,4,4,AC_94,AC_216,118,59,19.66666667
1,3,A,89,5,5,5,AC_172,AC_40,100,50,16.66666667
1,3,A,90,5,6,1,AC_007,AC_81,147,73,24.33333333
1,3,B,91,5,7,2,AC_125,AC_95,197,98,32.66666667
1,3,B,92,5,8,1,AC_002,AC_122,125,62,20.66666667
1,3,B,93,5,9,5,AC_103,AC_154,100,50,16.66666667
1,3,B,94,5,10,1,AC_156,AC_90,120,60,20
1,3,B,95,5,11,6,AC_52,AC_133,34,17,5.666666667
1,3,B,96,5,12,5,AC_54,AC_155,100,50,16.66666667
1,3,B,97,5,13,4,AC_94,AC_217,113,56,18.66666667
1,3,B,98,5,14,4,AC_97,AC_64,103,51,17
1,3,B,99,5,15,5,AC_54,AC_119,100,50,16.66666667
1,3,B,100,5,16,5,AC_71,AC_115,100,50,16.66666667
1,3,B,101,5,17,3,AC_159,AC_192,120,60,20
1,3,B,102,5,18,5,AC_216,AC_99,100,50,16.66666667
1,3,B,103,5,19,1,AC_156,AC_5,119,59,19.66666667
1,3,B,104,5,20,1,AC_002,AC_160,101,50,16.66666667
1,3,B,105,5,21,5,AC_172,AC_111,100,50,16.66666667
1,3,B,106,6,1,6,AC_52,AC_212,100,50,16.66666667
1,3,B,107,6,2,1,AC_198,AC_51,150,75,25
2,4,A,108,6,3,5,AC_54,AC_119,100,50,16.66666667
2,4,A,109,6,4,4,AC_89,AC_32,73,36,12
2,4,A,110,6,5,5,AC_165,AC_206,100,50,16.66666667
2,4,A,111,6,6,7,AC_168,AC_10,100,50,16.66666667
2,4,A,112,6,7,3,AC_170,AC_185,38,19,6.333333333
2,4,A,113,6,8,2,AC_207,AC_55,184,92,30.66666667
2,4,A,114,6,9,1,AC_156,AC_16,130,65,21.66666667
2,4,A,115,6,10,7,AC_169,AC_182,35,17,5.666666667
2,4,A,116,6,11,5,AC_172,AC_40,100,50,16.66666667
2,4,A,117,6,12,5,AC_103,AC_144,100,50,16.66666667
2,4,A,118,6,13,3,AC_161,AC_88,112,56,18.66666667
2,4,A,119,6,14,3,AC_8,AC_92,126,63,21
2,4,A,120,6,15,4,AC_91,AC_204,116,58,19.33333333
2,4,A,121,6,16,3,AC_170,AC_118,155,77,25.66666667
2,4,A,122,6,17,7,AC_107,AC_130,38,19,6.333333333
2,4,A,123,6,18,2,AC_039,AC_148,108,54,18
2,4,A,124,6,19,3,AC_47,AC_113,133,66,22
2,4,A,125,6,20,5,AC_216,AC_34,100,50,16.66666667
2,4,B,126,6,21,5,AC_54,AC_46,100,50,16.66666667
2,4,B,127,7,1,6,AC_195,AC_179,100,50,16.66666667
2,4,B,128,7,2,7,AC_45,AC_151,92,46,15.33333333
2,4,B,129,7,3,5,AC_71,AC_215,100,50,16.66666667
2,4,B,130,7,4,3,AC_15,AC_197,141,70,23.33333333
2,4,B,131,7,5,1,AC_198,AC_72,136,68,22.66666667
2,4,B,132,7,6,5,AC_216,AC_58,100,50,16.66666667
2,4,B,133,7,7,4,AC_94,AC_109,171,85,28.33333333
2,4,B,134,7,8,1,AC_150,AC_83,161,80,26.66666667
2,4,B,135,7,9,5,AC_124,AC_14,100,50,16.66666667
2,4,B,136,7,10,5,AC_103,AC_154,100,50,16.66666667
2,4,B,137,7,11,2,AC_207,AC_70,207,103,34.33333333
2,4,B,138,7,12,1,AC_179,AC_171,149,74,24.66666667
2,4,B,139,7,13,5,AC_71,AC_115,100,50,16.66666667
2,4,B,140,7,14,3,AC_47,AC_152,37,18,6
2,4,B,141,7,15,2,AC_061,AC_158,123,61,20.33333333
2,4,B,142,7,16,3,AC_170,AC_203,31,15,5
2,4,B,143,7,17,3,AC_102,AC_178,66,33,11
2,5,A,144,7,18,6,AC_52,AC_131,91,45,15
2,5,A,145,7,19,4,AC_94,AC_216,118,59,19.66666667
2,5,A,146,7,20,5,AC_165,AC_62,96,48,16
2,5,A,147,7,21,1,AC_156,AC_5,119,59,19.66666667
2,5,A,148,8,1,1,AC_150,AC_110,205,102,34
2,5,A,149,8,2,3,AC_68,AC_56,106,53,17.66666667
2,5,A,150,8,3,5,AC_54,AC_155,100,50,16.66666667
2,5,A,151,8,4,1,AC_156,AC_90,120,60,20
2,5,A,152,8,5,2,AC_177,AC_211,106,53,17.66666667
2,5,A,153,8,6,3,AC_159,AC_143,138,69,23
2,5,A,154,8,7,7,AC_168,AC_159,61,30,10
2,5,A,155,8,8,5,AC_186,AC_48,100,50,16.66666667
2,5,A,156,8,9,4,AC_97,AC_64,103,51,17
2,5,A,157,8,10,6,AC_160,AC_186,100,50,16.66666667
2,5,A,158,8,11,2,AC_207,AC_82,131,65,21.66666667
2,5,A,159,8,12,3,AC_68,AC_89,35,17,5.666666667
2,5,A,160,8,13,5,AC_103,AC_201,88,44,14.66666667
2,5,A,161,8,14,3,AC_15,AC_97,119,59,19.66666667
2,5,B,162,8,15,3,AC_161,AC_213,30,15,5
2,5,B,163,8,16,5,AC_96,AC_128,100,50,16.66666667
2,5,B,164,8,17,5,AC_64,AC_17,100,50,16.66666667
2,5,B,165,8,18,1,AC_002,AC_122,125,62,20.66666667
2,5,B,166,8,19,4,AC_94,AC_217,113,56,18.66666667
2,5,B,167,8,20,1,AC_007,AC_147,115,57,19
2,5,B,168,8,21,6,AC_52,AC_212,100,50,16.66666667
2,5,B,169,9,1,5,AC_64,AC_86,100,50,16.66666667
2,5,B,170,9,2,7,AC_45,AC_123,100,50,16.66666667
2,5,B,171,9,3,7,AC_107,AC_172,93,46,15.33333333
2,5,B,172,9,4,1,AC_150,AC_200,110,55,18.33333333
2,5,B,173,9,5,1,AC_179,AC_136,197,98,32.66666667
2,5,B,174,9,6,4,AC_97,AC_54,122,61,20.33333333
2,5,B,175,9,7,7,AC_45,AC_96,64,32,10.66666667
2,5,B,176,9,8,3,AC_159,AC_192,120,60,20
2,5,B,177,9,9,5,AC_172,AC_111,100,50,16.66666667
2,5,B,178,9,10,4,AC_91,AC_218,103,51,17
2,5,B,179,9,11,5,AC_124,AC_100,60,30,10
2,6,A,180,9,12,2,AC_061,AC_52,110,55,18.33333333
2,6,A,181,9,13,3,AC_159,AC_94,78,39,13
2,6,A,182,9,14,7,AC_169,AC_120,97,48,16
2,6,A,183,9,15,3,AC_15,AC_190,129,64,21.33333333
2,6,A,184,9,16,5,AC_172,AC_208,100,50,16.66666667
2,6,A,185,9,17,2,AC_125,AC_95,197,98,32.66666667
2,6,A,186,9,18,4,AC_91,AC_189,103,51,17
2,6,A,187,9,19,5,AC_165,AC_199,100,50,16.66666667
2,6,A,188,9,20,3,AC_68,AC_195,91,45,15
2,6,A,189,9,21,7,AC_168,AC_142,60,30,10
2,6,A,190,10,1,6,AC_160,AC_15,98,49,16.33333333
2,6,A,191,10,2,2,AC_125,AC_38,129,64,21.33333333
2,6,A,192,10,3,2,AC_039,AC_168,150,75,25
2,6,A,193,10,4,1,AC_007,AC_81,147,73,24.33333333
2,6,A,194,10,5,1,AC_198,AC_51,150,75,25
2,6,A,195,10,6,5,AC_64,AC_205,100,50,16.66666667
2,6,A,196,10,7,1,AC_198,AC_66,181,90,30
2,6,A,197,10,8,5,AC_96,AC_181,100,50,16.66666667
2,6,B,198,10,9,6,AC_195,AC_193,93,46,15.33333333
2,6,B,199,10,10,7,AC_169,AC_75,100,50,16.66666667
2,6,B,200,10,11,5,AC_96,AC_74,100,50,16.66666667
2,6,B,201,10,12,6,AC_52,AC_133,34,17,5.666666667
2,6,B,202,10,13,5,AC_216,AC_99,100,50,16.66666667
